fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-12-31,USD,818000000,16660000000,15842000000,15842000000,818000000,390000000,None,557000000,None,-97000000,21000000,97000000,5358000000,4000000,None,103000000,467000000,131000000,97000000,818000000,576000000,564000000,667000000,336000000
2022-09-30,USD,888000000,16759000000,15871000000,15871000000,551000000,337000000,None,337000000,None,-103000000,95000000,103000000,5376000000,40000000,None,101000000,493000000,113000000,103000000,383000000,205000000,596000000,697000000,380000000
2022-06-30,USD,772000000,17933000000,17161000000,17161000000,438000000,334000000,None,334000000,None,-92000000,11000000,92000000,5412000000,-6000000,None,204000000,242000000,36000000,92000000,225000000,-17000000,334000000,538000000,206000000
2022-03-31,USD,1204000000,15880000000,14676000000,14676000000,882000000,308000000,None,322000000,None,-111000000,9000000,111000000,4949000000,-47000000,None,102000000,796000000,108000000,111000000,696000000,946000000,907000000,1009000000,688000000
2021-12-31,USD,689000000,16683000000,15994000000,15994000000,689000000,338000000,None,654000000,None,-59000000,14000000,59000000,4825000000,-10000000,None,107000000,295000000,64000000,59000000,689000000,196000000,354000000,461000000,231000000
2021-09-30,USD,862000000,14117000000,13255000000,13255000000,535000000,327000000,None,327000000,None,-57000000,14000000,57000000,4637000000,220000000,None,105000000,745000000,92000000,57000000,649000000,478000000,802000000,907000000,653000000
2021-06-30,USD,665000000,15391000000,14726000000,14726000000,368005000,297000000,None,296995000,None,-54000000,6000000,54000000,3982000000,35000000,None,106000000,412000000,50000000,54000000,369000000,588000000,466000000,572000000,362000000
2021-03-31,USD,1147000000,12961000000,11814000000,11814000000,1108000000,271000000,None,39000000,None,-73000000,9000000,73000000,3358000000,263000000,None,106000000,1023000000,192000000,73000000,917000000,591000000,1096000000,1202000000,831000000
2020-12-31,USD,904000000,12610000000,11706000000,11706000000,904000000,365000000,None,339000000,None,-70000000,38000000,70000000,3109000000,89000000,None,112000000,648000000,97000000,70000000,549000000,809000000,718000000,830000000,551000000
2020-09-30,USD,602000000,10159000000,9557000000,9557000000,250000000,352000000,None,352000000,None,-56000000,38000000,56000000,2727000000,17000000,None,106000000,300000000,38000000,56000000,267000000,273000000,356000000,462000000,262000000
2020-06-30,USD,1105000000,9462000000,8357000000,8357000000,759000000,346000000,None,346000000,None,-62000000,6000000,62000000,2342000000,27000000,None,104000000,684000000,168000000,62000000,522000000,413000000,746000000,850000000,516000000
2020-03-31,USD,174000000,9173000000,8999000000,8999000000,-135000000,295000000,None,309000000,None,-77000000,7000000,77000000,2529000000,-9000000,None,None,-239000000,-55000000,77000000,-193000000,-972000000,-162000000,-162000000,-184000000
2019-12-31,USD,571000000,10783000000,10212000000,10212000000,571000000,382000000,None,524000000,None,-90000000,9000000,90000000,2936000000,-104000000,None,None,-35000000,16000000,90000000,-51000000,1558000000,55000000,55000000,-51000000
2019-09-30,USD,-978000000,10323000000,11301000000,11301000000,-1307000000,329000000,None,329000000,None,-86000000,8000000,86000000,2677000000,-4000000,None,None,-1516000000,-28000000,86000000,-1488000000,-1803000000,-1430000000,-1430000000,-1488000000
2019-06-30,USD,512000000,10096000000,9584000000,9584000000,177000000,335000000,None,335000000,None,-88000000,7000000,88000000,2619000000,181000000,None,None,274000000,60000000,88000000,214000000,295000000,362000000,362000000,214000000
2019-03-31,USD,437000000,9938000000,9501000000,9501000000,116000000,305000000,None,321000000,None,-75000000,75000000,75000000,2540000000,31000000,None,None,83000000,38000000,75000000,45000000,1000000,158000000,158000000,45000000
2018-12-31,USD,422000000,11543000000,11121000000,11121000000,422000000,369000000,15000000,516000000,None,-74000000,None,74000000,2956000000,-18000000,None,None,8000000,73000000,74000000,-63000000,-43000000,82000000,82000000,-65000000
2018-09-30,USD,918000000,11412000000,10494000000,10494000000,585000000,333000000,None,333000000,None,-101000000,None,101000000,2806000000,-19000000,None,None,450000000,85000000,101000000,358000000,202000000,551000000,551000000,365000000
2018-06-30,USD,542000000,12147000000,11605000000,11605000000,165000000,377000000,None,377000000,None,-94000000,None,94000000,2752000000,4000000,None,None,-10000000,2000000,94000000,-19000000,-860000000,84000000,84000000,-12000000
2018-03-31,USD,384000000,10641000000,10257000000,10257000000,28000000,344000000,None,356000000,None,-70000000,None,70000000,2617000000,24000000,None,None,-2000000,19000000,70000000,-19000000,-38000000,68000000,68000000,-21000000
