fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-12-31,USD,24554100000,9791200000,3419300000,5112200000,1344400000,1705000000,14784000000,3298600000,2165700000,7599100000,1850100000,5749000000,2179200000,705700000,2264600000,1417600000,1529200000,11165700000,3272800000,491500000,None,0,None,8720900000,333000000,6281000000,None,6567300000,6281000000,2521400000,944200000,13397900000,2977100000,16466500000,100000,144000000
2022-09-30,USD,24854200000,9765800000,3675600000,5323300000,1375000000,1568800000,15088400000,3266400000,2098000000,7750100000,2008900000,5741200000,2095800000,860300000,2131500000,1495500000,1612600000,12087400000,3926400000,383200000,None,None,None,2636900000,354800000,6279200000,None,None,6279200000,3305900000,1198100000,12775500000,2977100000,15916100000,100000,144400000
2022-06-30,USD,25081400000,9740900000,2646600000,5081800000,1294200000,1567600000,15340500000,3355100000,2131000000,7824900000,2075300000,5749600000,3254200000,1102900000,2936900000,1645300000,1500800000,13218000000,5018000000,434800000,None,999800000,999800000,2619700000,274200000,6277400000,999800000,None,6277400000,3298500000,1167800000,11872500000,2977100000,14959900000,100000,145900000
2022-03-31,USD,23614400000,7915900000,1749300000,4146400000,1215400000,1632000000,15698500000,3372800000,2082000000,7908800000,2150800000,5758000000,3004000000,1001600000,2862700000,927400000,1767500000,12393700000,3946600000,398700000,None,999500000,999500000,3013900000,312300000,6275700000,999500000,None,6275700000,2231100000,1287900000,11242300000,2977100000,14215500000,100000,147100000
2021-12-31,USD,23877300000,7856500000,2261400000,4221800000,1351500000,1549400000,16020800000,3416400000,2006600000,7982400000,2221300000,5761100000,2433100000,892000000,2589600000,740800000,1939500000,12917600000,4298200000,589200000,None,999100000,999100000,10577200000,330400000,6274000000,999100000,7567300000,6274000000,2535200000,1320500000,10896200000,2977100000,13911700000,100000,147000000
2021-09-30,USD,23806700000,7162300000,1541800000,3558400000,1347900000,1723000000,16644400000,3410700000,1944200000,8047300000,2286800000,5760500000,3547800000,968300000,2579500000,736300000,2018600000,12925000000,4211600000,427900000,None,998800000,998800000,3309400000,348200000,6272300000,998800000,None,6272300000,2550700000,1318200000,10429900000,2977100000,13543500000,100000,148000000
2021-06-30,USD,24470400000,7183700000,1742000000,2489000000,1254800000,1688000000,17286700000,3442200000,1880300000,8148900000,2385000000,5763900000,2223900000,915100000,1308800000,767900000,2528100000,13255600000,3347200000,375300000,None,None,7269000000,3518200000,363900000,7269200000,None,None,7269200000,2741000000,1356400000,10751900000,2977100000,13900700000,100000,149700000
2021-03-31,USD,23854700000,6719500000,1217500000,2065800000,1171800000,1854300000,17135200000,3438300000,1827600000,8751200000,2988100000,5763100000,2141900000,821900000,1320000000,786100000,2423000000,13191500000,3165800000,430400000,None,None,None,3709700000,380000000,7267200000,None,None,7267200000,2592300000,1411800000,10682200000,2977100000,13833500000,100000,151900000
2020-12-31,USD,24618900000,6887100000,1331200000,1905800000,1068600000,1913800000,17731800000,3411500000,1782300000,8846400000,3084300000,5762100000,2051000000,772100000,1278900000,881100000,2899000000,13932800000,3742200000,454900000,None,0,7426000000,10974300000,402000000,7426200000,None,7500000000,7426200000,3145300000,1329600000,10700300000,2977100000,13976300000,100000,152400000
2020-09-30,USD,24934100000,7843100000,2224800000,2925300000,1027700000,2024900000,17091000000,3359900000,1734800000,9079300000,3323600000,5755700000,2364800000,1009800000,1355000000,683500000,1834900000,14189600000,3804000000,398400000,None,None,None,3863100000,409100000,7425000000,None,None,7425000000,3286200000,1428100000,10758500000,2977100000,13961000000,100000,156900000
2020-06-30,USD,25511800000,8493800000,2384900000,3812300000,952700000,2133600000,17018000000,3330700000,1687000000,9134800000,3383800000,5751000000,2865500000,922800000,1942700000,638800000,1483300000,14222600000,3447100000,383900000,None,None,None,4297400000,414800000,7423800000,None,None,7423800000,2486500000,1475400000,11308700000,2977100000,14466700000,100000,160600000
2020-03-31,USD,26119200000,8007200000,2591300000,3243200000,858800000,2092600000,18112000000,3281600000,1636700000,9198900000,3446900000,5752000000,2238600000,969500000,1269100000,683800000,1130600000,13582300000,4638600000,389000000,None,1501800000,1501800000,5479300000,403700000,4459900000,1501800000,None,4459900000,2437800000,1357300000,12546900000,2977100000,15673100000,100000,172800000
2019-12-31,USD,27234300000,8381800000,2913700000,2913700000,804200000,1880500000,15620400000,3247300000,1590900000,9285200000,3527400000,5757800000,2970300000,1408100000,1562200000,631000000,1252800000,13895200000,4863800000,530800000,None,1495800000,1495800000,8564900000,412700000,4459000000,1495800000,6000000000,4459000000,2765800000,1348900000,13343200000,2977100000,16455400000,100000,174200000
2019-09-30,USD,27484000000,8448200000,2343900000,4437400000,751800000,1933500000,15751300000,3138100000,1555300000,9138500000,3392400000,5746100000,3907400000,1813900000,2093500000,743200000,1238800000,13492200000,4432200000,382200000,None,1495300000,1495300000,2779100000,410500000,4458200000,1495300000,None,4458200000,2429100000,1370900000,13995900000,2977100000,17065200000,100000,184000000
2019-06-30,USD,26287600000,7909800000,1723400000,2952200000,776700000,1959600000,15557700000,3077500000,1886200000,9430500000,3681300000,5749200000,2538100000,1309300000,1228800000,980400000,1306000000,13338800000,3210900000,377100000,None,None,72300000,2835400000,423000000,5948500000,72300000,None,5948500000,2318000000,1355800000,12952900000,2977100000,16182800000,100000,190300000
2019-03-31,USD,26445500000,8942600000,2243200000,3909000000,770200000,2088900000,17055100000,3013800000,1841000000,8695900000,3056200000,5639700000,3038500000,1372700000,1665800000,965400000,1898300000,12623500000,3148700000,378000000,None,None,72500000,4165600000,436100000,5943200000,72500000,None,5943200000,2435000000,1353800000,13829900000,2977100000,17026700000,100000,196600000
2018-12-31,USD,25288900000,7640900000,1224600000,1224600000,929900000,1958500000,17654600000,3601200000,1797400000,8826400000,3120000000,5706400000,3546100000,1375900000,2313400000,687600000,1690600000,12257300000,3295200000,370500000,None,0,None,9817000000,None,5936500000,None,6000000000,5936500000,2861200000,1389400000,13039600000,2977100000,16257000000,100000,197200000
2018-09-30,USD,25492200000,8719000000,2386700000,4428400000,916600000,2017300000,16782900000,3538900000,1730600000,8819100000,3379000000,5440100000,3286200000,1244500000,2041700000,848300000,1009800000,11732400000,3174900000,342300000,None,0,None,3743800000,None,5931100000,None,None,5931100000,2578500000,1511800000,13766600000,2977100000,16944100000,100000,201400000
2018-06-30,USD,23952900000,7432100000,1250200000,3224200000,931700000,1951000000,16533700000,3409000000,1671700000,8831600000,3661300000,5170300000,3134200000,1160200000,1974000000,843300000,902100000,11699200000,3152400000,295700000,None,0,5928400000,3702600000,None,5928400000,5928400000,None,5928400000,2633700000,1457600000,12260900000,2977100000,15499500000,100000,207100000
2018-03-31,USD,26090100000,10195400000,4108000000,5916000000,890800000,1939200000,17110700000,3334700000,1631500000,8702300000,3794500000,4907800000,3008200000,1200200000,1808000000,895900000,380100000,12052600000,3152100000,345800000,None,3300000,3300000,3244800000,None,5929400000,3300000,None,5929400000,2571100000,1640000000,14053700000,2977100000,17334600000,100000,211400000
