fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-12-31,USD,199144000000,7799000000,2012000000,7799000000,None,None,41308000000,2400000000,None,21728000000,5441000000,16287000000,113551000000,16573000000,5787000000,-32806000000,None,148604000000,475000000,None,None,475000000,475000000,292000000,None,14402000000,475000000,None,14877000000,None,117848000000,50540000000,5113000000,48334000000,10346000000,414594856
2022-09-30,USD,198111000000,7506000000,2128000000,7506000000,None,None,35593000000,458000000,None,21490000000,5383000000,16107000000,111740000000,13645000000,5378000000,18754000000,None,150472000000,1475000000,None,None,1475000000,1475000000,2000000,None,14044000000,1475000000,12067000000,15519000000,20520000000,118278000000,47639000000,4978000000,47022000000,10346000000,415020484
2022-06-30,USD,195651000000,13202000000,7122000000,13202000000,None,None,33482000000,433000000,None,20317000000,5272000000,15045000000,109849000000,12168000000,6080000000,-100051000000,None,143984000000,1474000000,None,None,1474000000,1474000000,14311000000,None,14311000000,1474000000,13122000000,15785000000,20386000000,113683000000,51667000000,6794000000,48363000000,10666000000,418474087
2022-03-31,USD,197990000000,9471000000,1734000000,8737000000,None,None,33360000000,437000000,None,20643000000,5399000000,15244000000,118247000000,11947000000,7003000000,19137000000,None,141292000000,1474000000,None,None,1474000000,1474000000,14585000000,None,14585000000,1474000000,14702000000,16059000000,20557000000,110319000000,56698000000,5700000000,47148000000,10666000000,423675327
2021-12-31,USD,200054000000,9587000000,1659000000,9587000000,None,None,37412000000,2000000000,None,20668000000,5455000000,15213000000,122323000000,14299000000,7928000000,-115491000000,None,140340000000,999000000,None,None,999000000,999000000,389000000,None,15169000000,999000000,16848000000,16168000000,19101000000,108779000000,59714000000,7464000000,47365000000,10985000000,426572612
2021-09-30,USD,199054000000,10338000000,1620000000,9706000000,None,None,32242000000,434000000,None,20965000000,5578000000,15387000000,122129000000,10843000000,8086000000,16648000000,None,139736000000,92150000000,None,None,None,None,217000000,None,14823000000,None,16648000000,14823000000,19519000000,109226000000,59318000000,6621000000,45224000000,10985000000,430876252
2021-06-30,USD,197174000000,11525000000,1843000000,10920000000,None,None,31086000000,429000000,None,21200000000,5694000000,15506000000,121370000000,9457000000,9077000000,-112561000000,None,137112000000,107346000000,None,None,None,None,581000000,None,14954000000,None,16822000000,14954000000,20033000000,106993000000,60062000000,5772000000,43902000000,11064000000,438717213
2021-03-31,USD,191977000000,10462000000,1684000000,9824000000,None,None,30245000000,448000000,None,21161000000,5749000000,15412000000,118979000000,8636000000,8140000000,-110922000000,None,132901000000,14051000000,None,None,None,None,482000000,None,14879000000,None,16408000000,14879000000,-6566000000,103489000000,59076000000,3901000000,41637000000,11064000000,449676959
2020-12-31,USD,190774000000,10119000000,1747000000,10119000000,None,None,34442000000,2000000000,None,21211000000,5811000000,15400000000,118669000000,10758000000,8372000000,-121322000000,None,131333000000,14052000000,None,None,0,0,892000000,None,14948000000,None,17487000000,14948000000,-6708000000,101441000000,59441000000,3644000000,39337000000,11064000000,450732625
2020-09-30,USD,187786000000,10032000000,1707000000,9455000000,None,None,28369000000,470000000,None,21103000000,5849000000,15254000000,116047000000,6796000000,7748000000,5662000000,None,131373000000,1300000000,None,None,1300000000,1300000000,815000000,None,14830000000,1300000000,16995000000,16130000000,11082000000,101354000000,56413000000,3541000000,36919000000,11064000000,451376194
