fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-12-31,USD,26272000000,6611000000,1508000000,1508000000,2808000000,2413000000,19837000000,5584000000,3687000000,11247000000,4105000000,7142000000,1215000000,1062000000,None,241000000,547000000,20635000000,4068000000,1518000000,None,1306000000,800000000,16099000000,147000000,13953000000,481000000,13419000000,14753000000,1201000000,387000000,5637000000,5491000000,11274000000,0,108473932
2022-09-30,USD,21337000000,13192000000,9671000000,9671000000,1723000000,1612000000,8145000000,4089000000,3475000000,1939000000,645000000,1294000000,1179000000,954000000,None,186000000,695000000,16387000000,2788000000,1128000000,None,977000000,15000000,13255000000,248000000,12398000000,962000000,11360000000,12413000000,555000000,247000000,4950000000,5492000000,10584000000,0,108386739
2022-06-30,USD,12713000000,4459000000,783000000,7000000,1713000000,1827000000,8254000000,4158000000,3497000000,2023000000,675000000,1348000000,1056000000,935000000,7000000,129000000,642000000,7833000000,2595000000,1250000000,None,809000000,284000000,4893000000,220000000,3562000000,525000000,3022000000,3846000000,419000000,263000000,4880000000,5492000000,10466000000,0,108346035
2022-03-31,USD,12426000000,4200000000,605000000,9000000,1549000000,1913000000,8226000000,4188000000,3538000000,2111000000,715000000,1396000000,918000000,847000000,9000000,124000000,569000000,7819000000,2554000000,1169000000,None,860000000,335000000,4919000000,223000000,3675000000,525000000,3132000000,4010000000,419000000,162000000,4607000000,5492000000,10106000000,0,108307341
2021-12-31,USD,11975000000,3807000000,536000000,546000000,1524000000,1786000000,8299000000,4193000000,3484000000,2147000000,735000000,1412000000,871000000,823000000,10000000,80000000,521000000,7786000000,2505000000,1160000000,None,791000000,264000000,4933000000,148000000,3722000000,502000000,3176000000,3986000000,473000000,164000000,4189000000,5492000000,9677000000,0,108023735
2021-09-30,USD,11583000000,4355000000,1340000000,28000000,1159000000,1738000000,7228000000,3924000000,3424000000,1434000000,303000000,1131000000,919000000,842000000,28000000,90000000,543000000,7664000000,1812000000,1042000000,4000000,103000000,75000000,5571000000,197000000,3772000000,28000000,3724000000,3847000000,529000000,178000000,3919000000,5293000000,9227000000,0,109180323
2021-06-30,USD,11220000000,4061000000,1054000000,29000000,1118000000,1788000000,7159000000,3922000000,3409000000,1447000000,304000000,1143000000,882000000,818000000,29000000,72000000,500000000,7422000000,2129000000,998000000,4000000,500000000,470000000,5027000000,181000000,3197000000,30000000,3156000000,3667000000,531000000,200000000,3798000000,4993000000,8797000000,0,111115442
2021-03-31,USD,10756000000,3710000000,791000000,331000000,1025000000,1510000000,7046000000,3876000000,3309000000,1442000000,308000000,1134000000,1156000000,796000000,331000000,53000000,456000000,7214000000,1935000000,906000000,4000000,497000000,66000000,4999000000,223000000,3578000000,431000000,3135000000,3644000000,489000000,191000000,3542000000,4744000000,8335000000,0,112632584
2020-12-31,USD,10909000000,3763000000,955000000,1488000000,978000000,1335000000,7294000000,3939000000,3279000000,1485000000,319000000,1166000000,1366000000,820000000,533000000,55000000,411000000,7383000000,1973000000,797000000,4000000,496000000,65000000,5147000000,171000000,3671000000,401000000,3227000000,3736000000,680000000,214000000,3526000000,4494000000,8091000000,0,114168464
2020-09-30,USD,9769000000,2771000000,615000000,35000000,1001000000,1063000000,6998000000,3851000000,3201000000,1445000000,317000000,1128000000,1040000000,993000000,35000000,57000000,412000000,7261000000,2409000000,699000000,4000000,958000000,529000000,4559000000,222000000,3584000000,429000000,3140000000,4113000000,632000000,197000000,2508000000,4106000000,6710000000,0,117229789
