fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-01-29,USD,11791000000,12652000000,861000000,8413000000,2518000000,952000000,495000000,1785000000,None,-479000000,479000000,479000000,-151000000,1000000,None,39000000,2496000000,537000000,479000000,1957000000,2635000000,2975000000,3014000000,1959000000
2022-10-30,USD,13772000000,15536000000,1764000000,10562000000,2956000000,1191000000,576000000,2162000000,None,-349000000,349000000,349000000,164000000,1000000,None,67000000,2889000000,643000000,349000000,2244000000,2672000000,3238000000,3305000000,2246000000
2022-07-31,USD,13101000000,14102000000,1001000000,9807000000,2646000000,959000000,481000000,1798000000,None,-296000000,296000000,296000000,-68000000,None,None,42000000,2538000000,654000000,296000000,1885000000,1703000000,2834000000,2876000000,1884000000
2022-05-01,USD,4265000000,13370000000,9105000000,9105000000,2670000000,932000000,453000000,1713000000,None,-187000000,-1000000,187000000,None,6000000,None,447000000,2559000000,461000000,None,2097000000,1963000000,2746000000,2780000000,2098000000
2022-01-30,USD,8758000000,9569000000,811000000,6924000000,1235000000,781000000,402000000,1211000000,None,-229000000,229000000,229000000,158000000,3000000,None,28000000,1153000000,250000000,229000000,904000000,290000000,1382000000,1410000000,903000000
2021-10-31,USD,10328000000,11327000000,999000000,8221000000,1692000000,935000000,450000000,405000000,None,-210000000,210000000,210000000,-149000000,1000000,None,53000000,1613000000,330000000,210000000,1283000000,3755000000,1823000000,1876000000,1283000000
2021-08-01,USD,10659000000,11527000000,868000000,7818000000,2243000000,841000000,394000000,1586000000,None,-244000000,244000000,244000000,-16000000,8000000,None,27000000,2158000000,491000000,244000000,1667000000,1616000000,2402000000,2429000000,1667000000
2021-05-02,USD,11216000000,12058000000,842000000,8196000000,2439000000,838000000,377000000,1577000000,None,-268000000,268000000,268000000,-121000000,8000000,None,27000000,2320000000,530000000,268000000,1790000000,1908000000,2588000000,2615000000,1790000000
2021-01-31,USD,8264000000,9112000000,848000000,6076000000,1638000000,769000000,366000000,1219000000,None,-271000000,271000000,271000000,-182000000,4000000,None,34000000,1532000000,308000000,271000000,1224000000,1685000000,1803000000,1837000000,1224000000
2020-11-01,USD,2189000000,9731000000,7542000000,6937000000,1304000000,1010000000,443000000,1717000000,None,-278000000,278000000,278000000,20000000,-28000000,None,46000000,1087000000,330000000,278000000,758000000,538000000,1365000000,1411000000,757000000
2020-08-02,USD,2024000000,8925000000,6901000000,6214000000,1390000000,752000000,370000000,1148000000,None,-290000000,290000000,290000000,-80000000,-2000000,None,26000000,1268000000,457000000,290000000,1270000000,1207000000,1558000000,1584000000,811000000
2020-05-03,USD,1930000000,9253000000,7323000000,6833000000,965000000,906000000,406000000,1338000000,None,-342000000,106000000,342000000,237000000,-17000000,None,26000000,911000000,245000000,342000000,929000000,280000000,1253000000,1279000000,666000000
2020-02-02,USD,1452000000,7631000000,6179000000,5502000000,645000000,809000000,425000000,1259000000,None,-336000000,330000000,336000000,8000000,-1000000,None,25000000,567000000,50000000,336000000,569000000,795000000,903000000,928000000,517000000
2019-11-03,USD,1968000000,9896000000,7928000000,7243000000,917000000,944000000,488000000,1541000000,None,-388000000,None,388000000,-33000000,1100000,None,27000000,825000000,104000000,388000000,825000000,-305000000,1213000000,1240000000,721000000
2019-07-28,USD,2099000000,10036000000,7937000000,7202000000,1194000000,896000000,431000000,1354000000,None,-374000000,None,374000000,-33000000,7000000,None,27000000,1120000000,221000000,374000000,899000000,928000000,1494000000,1521000000,899000000
2019-04-28,USD,2518000000,11342000000,8824000000,8206200000,1536000000,947000000,457000000,1433000000,None,-350800000,200000,351000000,75000000,6400000,None,29000000,1478000000,343000000,350800000,1136300000,1103000000,1829000000,1858000000,1135000000
2019-01-27,USD,1509000000,7984000000,6475000000,5797900000,769000000,764000000,407000000,1200000000,None,-353000000,None,353000000,-3000000,6500000,None,27000000,682000000,184000000,353000000,499600000,355000000,1035000000,1062000000,498000000
2018-10-28,USD,1962000000,9416000000,7454000000,-18262500000,1063000000,898000000,470000000,1647000000,None,-322600000,400000,323000000,95000000,8900000,None,29000000,988000000,203000000,322600000,979000000,1627000000,1311000000,1340000000,785000000
2018-07-29,USD,2134000000,10309000000,8175000000,7152700000,1283000000,913000000,416000000,1258700000,None,-291100000,-100000,291000000,131000000,9900000,None,27000000,1199000000,289000000,291100000,911300000,530000000,1490000000,1517000000,910000000
2018-04-29,USD,2414000000,10720000000,8306000000,7333300000,1494000000,939200000,415200000,1284100000,None,-303700000,None,303700000,195000000,3100000,None,31000000,1385100000,177100000,303700000,1209700000,1324100000,1688800000,1719800000,1208000000
