fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-12-31,USD,12837000000,1898000000,315000000,315000000,192000000,1195000000,10970000000,1766000000,3337000000,8312000000,1092000000,7220000000,134000000,132000000,None,196000000,144000000,6944000000,1551000000,324000000,None,96000000,92000000,5279000000,7000000,3980000000,2000000,3978000000,4072000000,153000000,812000000,5893000000,4673000000,8290000000,2000000,113000000
2022-09-30,USD,13223000000,2334000000,700000000,700000000,183000000,1280000000,10889000000,1707000000,None,8305000000,1115000000,7190000000,138000000,138000000,None,171000000,132000000,6988000000,1602000000,None,None,2000000,155000000,5272000000,658000000,3980000000,2000000,None,4640000000,1447000000,787000000,6235000000,4271000000,8263000000,2000000,116000000
2022-06-30,USD,13312000000,2426000000,790000000,790000000,187000000,1293000000,10886000000,1664000000,None,8339000000,1144000000,7195000000,147000000,147000000,None,156000000,137000000,6901000000,1577000000,None,None,2000000,157000000,5208000000,652000000,3983000000,2000000,None,4637000000,1420000000,728000000,6411000000,3901000000,8083000000,2000000,117000000
2022-03-31,USD,13442000000,2475000000,712000000,712000000,197000000,1371000000,10967000000,1668000000,None,8369000000,1172000000,7197000000,155000000,155000000,None,195000000,155000000,7065000000,1700000000,None,None,2000000,156000000,5249000000,676000000,3985000000,2000000,None,4663000000,1544000000,742000000,6377000000,3761000000,7926000000,2000000,119000000
2021-12-31,USD,13611000000,2741000000,872000000,872000000,208000000,1438000000,10924000000,1707000000,3088000000,8262000000,1167000000,7095000000,263000000,141000000,None,223000000,163000000,7167000000,1753000000,357000000,None,120000000,116000000,5296000000,32000000,4012000000,2000000,4010000000,4128000000,1600000000,792000000,6444000000,3453000000,7649000000,2000000,119000000
2021-09-30,USD,13572000000,2854000000,987000000,987000000,205000000,1473000000,10718000000,1634000000,None,8209000000,1152000000,7057000000,124000000,124000000,124000000,189000000,155000000,7180000000,1759000000,None,None,1000000,149000000,5302000000,643000000,4006000000,1000000,None,4650000000,1610000000,801000000,6392000000,2866000000,7333000000,2000000,123000000
2021-06-30,USD,12861000000,2146000000,560000000,560000000,199000000,1255000000,10715000000,1622000000,None,8217000000,1172000000,7045000000,111000000,111000000,111000000,132000000,176000000,6962000000,1551000000,None,None,2000000,147000000,5292000000,637000000,4008000000,2000000,None,4647000000,1404000000,792000000,5899000000,6894000000,10246000000,2000000,125000000
2021-03-31,USD,13931000000,2999000000,1230000000,1230000000,223000000,1382000000,10932000000,1624000000,None,8011000000,1141000000,6870000000,527000000,527000000,None,164000000,170000000,7186000000,1707000000,None,None,2000000,148000000,5355000000,649000000,4010000000,2000000,None,4661000000,1559000000,842000000,6745000000,5740000000,9690000000,2000000,133000000
2020-12-31,USD,14026000000,3058000000,1158000000,1158000000,223000000,1520000000,11018000000,1627000000,2992000000,8040000000,1167000000,6873000000,533000000,521000000,521000000,157000000,176000000,7267000000,1776000000,446000000,None,157000000,153000000,5359000000,25000000,4015000000,2000000,4013000000,4168000000,991000000,847000000,6759000000,5366000000,9303000000,2000000,134000000
2020-09-30,USD,14143000000,3348000000,1605000000,1605000000,205000000,1421000000,10824000000,1544000000,None,8072000000,1192000000,6880000000,480000000,480000000,480000000,117000000,164000000,7743000000,2389000000,None,None,555000000,703000000,5228000000,576000000,4573000000,555000000,4018000000,4573000000,1686000000,782000000,6400000000,5161000000,8800000000,2000000,135000000
