fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-12-31,USD,505551000,883581000,378030000,201610000,369270000,288237000,None,419150000,None,-74152000,75015000,74152000,2400000,3184000,24944000,89793000,297439000,72120000,0,225319000,376114000,369270000,459063000,225319000
2022-09-30,USD,592488000,893000000,300512000,203315000,389170000,223299000,None,300512000,None,-45410000,45584000,45410000,-1900000,-3688000,23283000,77213000,339898000,91013000,0,248885000,2273000,389170000,466383000,248885000
2022-06-30,USD,556056000,861300000,305244000,185588000,370480000,226770000,None,305244000,None,-23070000,14763000,23070000,-1800000,-3564000,22643000,78474000,343653000,81482000,None,262171000,111775000,370480000,448954000,262171000
2022-03-31,USD,492028000,789241000,297213000,174194000,317721000,220411000,None,322691000,None,-22030000,123418000,22030000,-400000,-869000,21140000,76802000,294670000,76718000,None,217952000,419131000,317721000,394523000,217952000
2021-12-31,USD,802255000,802255000,75013000,171533000,340292000,271082000,None,75013000,None,-21436000,27666000,27666000,-10764000,-6405000,19966000,75013000,302487000,77483000,9964000,340292000,196432000,340292000,415305000,225004000
2021-09-30,USD,488274000,755477000,267226000,149564000,338687000,192989000,None,267226000,None,-29033000,29033000,29033000,-1200000,-1532000,19511000,74237000,308122000,74115000,0,234007000,63140000,338687000,412924000,234007000
2021-06-30,USD,419930000,667400000,247451000,122294000,297612000,178233000,None,247451000,None,-34685000,56915000,34685000,-600000,-408000,18470000,69218000,262519000,66272000,None,196247000,412089000,297612000,366830000,196247000
2021-03-31,USD,382450000,608623000,226173000,116428000,265965000,160444000,None,228650000,None,-28551000,96042000,28551000,-1200000,-1743000,17624000,65729000,235680000,51441000,None,184239000,66378000,265965000,331694000,184239000
2020-12-31,USD,614533000,617333000,2800000,121514000,293939000,167198000,None,2800000,None,-30329000,30329000,30329000,-300000,-422000,17031000,64685000,263188000,53337000,0,306939000,429829000,293939000,358624000,209851000
2020-09-30,USD,383891000,585283000,201109000,119856000,264532000,137630000,None,201109000,None,-31383000,21387000,31383000,3700000,3591000,16543000,63479000,235410000,46593000,0,188817000,187656000,264532000,328011000,188817000
2020-06-30,USD,333871000,525146000,191275000,121290000,212811000,129113000,None,191275000,None,-32412000,20297000,32412000,-2400000,-2480000,15819000,62162000,211628000,53140000,None,158488000,168637000,212811000,274973000,158488000
2020-03-31,USD,434555000,661093000,226445000,233703000,200983000,161969000,None,344191000,None,-35679000,200150000,35679000,2000000,9366000,15788000,64476000,172299000,25239000,None,147060000,-472599000,200983000,265459000,147060000
2019-12-31,USD,696081000,698881000,2800000,146081000,320796000,195191000,None,2800000,None,-34960000,147430000,34960000,400000,535000,16391000,68510000,298561000,63051000,None,333796000,377723000,320796000,389306000,235510000
2019-09-30,USD,463861000,681048000,217187000,135016000,329141000,149840000,None,217187000,None,-36504000,84804000,36504000,100000,120000,15753000,67347000,292757000,66952000,None,225805000,39324000,329141000,396488000,225805000
2019-06-30,USD,417546000,647094000,229548000,120458000,297317000,158640000,None,229548000,None,-39529000,4471000,39529000,-300000,-528000,15508000,70908000,257260000,-4391000,None,261651000,267646000,297317000,368225000,261651000
2019-03-31,USD,412335000,621825000,209490000,129114000,284176000,142045000,None,231654000,None,-39055000,131685000,39055000,30000,-220000,15132000,67445000,229241000,57134000,None,172107000,151773000,284176000,351621000,172107000
2018-12-31,USD,638422000,643422000,5000000,131609000,284738000,177421000,None,5000000,-1141000,-38207000,None,38207000,150352000,152631000,14762000,67230000,397063000,95063000,2098000,284738000,332888000,284738000,351968000,302000000
2018-09-30,USD,409490000,619586000,210096000,128400000,281090000,142829000,None,210096000,-1663000,-36072000,None,36072000,-200000,-303000,13141000,67267000,237568000,79874000,0,157694000,83636000,281090000,348357000,157694000
2018-06-30,USD,375984000,584985000,209001000,111201000,264783000,140391000,None,209001000,-1270000,-33150000,None,33150000,-200000,-458000,12636000,68610000,231175000,54323000,None,176852000,-185233000,264783000,333393000,176852000
2018-03-31,USD,932007000,585500000,208928000,116485000,260087000,137426000,None,220925000,-1269000,-31065000,None,31065000,586500000,297000,12397000,71502000,229319000,54382000,None,174937000,218191000,260087000,331589000,174937000
