fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-12-31,USD,182906000000,3412000000,6704000000,2883000000,None,None,7913000000,1156000000,1122000000,6478000000,907000000,5571000000,74954000000,41348000000,873000000,None,None,165137000000,2027000000,None,None,2027000000,2027000000,112062,None,9686000000,2027000000,None,11713000000,147914000000,5510000000,17731000000,80000000,3419000000,14000000,1443068036
2022-09-30,USD,179402000000,3644000000,4376000000,2751000000,11000000,None,7457000000,1171000000,None,6286000000,715000000,5571000000,40930000000,41329000000,850000000,2245000000,None,162231000000,426000000,None,None,426000000,426000000,111400000000,None,10168000000,426000000,None,10594000000,146313000000,5324000000,17136000000,80000000,3029000000,14000000,1442734255
2022-06-30,USD,178782000000,3755000000,3908000000,2786000000,11000000,None,7449000000,1175000000,None,6274000000,703000000,5571000000,59553000000,42529000000,797000000,3138000000,None,160803000000,3048000000,None,None,3048000000,3048000000,109644000000,None,7866000000,3048000000,None,10914000000,-661000000,4454000000,17950000000,85000000,2691000000,14000000,1442194344
2022-03-31,USD,176856000000,4006000000,4524000000,2936000000,26000000,None,7187000000,1173000000,None,6014000000,665000000,5349000000,60307000000,43472000000,1130000000,-35182000000,None,158375000000,652000000,None,None,652000000,652000000,6508000000,None,6508000000,652000000,None,7160000000,-567000000,4250000000,18452000000,78000000,2408000000,14000000,1439174659
2021-12-31,USD,174064000000,4573000000,5522000000,2897000000,34000000,None,7682000000,1164000000,1049000000,6202000000,853000000,5349000000,54000000000,41601000000,694000000,114614000000,None,154746000000,334000000,None,None,334000000,334000000,7108000000,None,7108000000,334000000,None,7442000000,-56000000,4041000000,19297000000,79000000,2202000000,14000000,1437742172
2021-09-30,USD,173878000000,4266000000,9745000000,2780000000,32000000,None,7311000000,1126000000,None,6185000000,869000000,5316000000,149514000000,38835000000,726000000,113090000000,None,154379000000,435000000,None,None,435000000,435000000,7779000000,None,7779000000,435000000,None,8214000000,-118000000,4267000000,19479000000,79000000,2051000000,15000000,1446461249
2021-06-30,USD,175172000000,4326000000,13255000000,2935000000,37000000,None,7332000000,1128000000,None,6204000000,888000000,5316000000,147149000000,35115000000,785000000,114372000000,None,154641000000,391000000,None,None,391000000,391000000,7342000000,None,7342000000,391000000,None,7733000000,-150000000,4103000000,20511000000,105000000,1939000000,15000000,1476557426
2021-03-31,USD,125768000000,3147000000,8589000000,1610000000,2000000,None,3217000000,747000000,None,2470000000,480000000,1990000000,108366000000,107305000000,462000000,86253000000,None,112168000000,219000000,None,None,219000000,219000000,7210000000,None,7210000000,219000000,None,7429000000,-11000000,2555000000,13600000000,59000000,2223000000,10000000,1018052923
2020-12-31,USD,123038000000,3191000000,6595000000,1916000000,4000000,None,3565000000,757000000,966000000,2609000000,619000000,1990000000,107979000000,106477000000,480000000,87380000000,None,110045000000,183000000,None,None,183000000,183000000,8352000000,None,8352000000,183000000,None,8535000000,1035000000,2562000000,12993000000,59000000,1878000000,10000000,1017196776
2020-09-30,USD,120116000000,2916000000,6275000000,1613000000,5000000,None,3161000000,752000000,None,2409000000,419000000,1990000000,24506000000,104081000000,475000000,86750000000,None,107199000000,222000000,None,None,222000000,222000000,9174000000,None,9174000000,222000000,None,9396000000,95154000000,2649000000,12917000000,59000000,1752000000,10000000,1017310599
2020-06-30,USD,118425000000,3015000000,6293000000,1850000000,7000000,None,3152000000,751000000,None,2401000000,411000000,1990000000,23865000000,102360000000,483000000,85747000000,None,106111000000,146000000,None,None,146000000,146000000,9753000000,None,9753000000,146000000,None,9899000000,93691000000,2521000000,12314000000,59000000,1633000000,10000000,1017309583
2020-03-31,USD,113897000000,3089000000,1767000000,2092000000,10000000,None,3150000000,743000000,None,2407000000,417000000,1990000000,25933000000,102379000000,524000000,83687000000,None,102128000000,2826000000,None,None,2826000000,2826000000,9796000000,None,9796000000,2826000000,None,12622000000,86830000000,2676000000,11769000000,56000000,1657000000,10000000,1014218094
2019-12-31,USD,109002000000,2564000000,1170000000,1687000000,11000000,None,3670000000,763000000,960000000,2697000000,707000000,1990000000,99093000000,98816000000,540000000,80901000000,None,97207000000,2606000000,None,None,2606000000,2606000000,9849000000,None,9849000000,1565000000,None,12455000000,82347000000,2405000000,11795000000,56000000,2088000000,10000000,1020003482
2019-09-30,USD,108735000000,3155000000,1636000000,2091000000,12000000,None,3420000000,775000000,None,2445000000,455000000,1990000000,98223000000,98007000000,455000000,80578000000,None,96826000000,2173000000,None,None,2173000000,2173000000,9874000000,None,9874000000,2173000000,None,12047000000,82395000000,2384000000,11909000000,55000000,1946000000,10000000,1032755207
2019-06-30,USD,108247000000,2816000000,1598000000,2038000000,14000000,None,3245000000,774000000,None,2471000000,481000000,1990000000,50497000000,97612000000,440000000,80355000000,None,96579000000,4161000000,None,None,4161000000,4161000000,8973000000,None,8973000000,4161000000,None,13134000000,80882000000,2563000000,11668000000,52000000,1750000000,10000000,1037841268
2019-03-31,USD,108203000000,2515000000,1336000000,1822000000,18000000,None,3287000000,784000000,None,2503000000,513000000,1990000000,50389000000,97903000000,486000000,80261000000,None,96771000000,2862000000,None,None,2862000000,2862000000,9400000000,None,9400000000,2862000000,None,12262000000,82155000000,2354000000,11432000000,45000000,1551000000,11000000,1046440116
2018-12-31,USD,108781000000,4041000000,2672000000,3237000000,23000000,None,3595000000,790000000,915000000,2805000000,816000000,1989000000,49951000000,97382000000,565000000,80085000000,None,97679000000,2017000000,None,None,2017000000,2017000000,8625000000,None,8625000000,575000000,None,10642000000,84774000000,2263000000,11102000000,45000000,1361000000,11000000,1046767252
2018-09-30,USD,105652000000,2091000000,1299000000,1299000000,27000000,None,3126000000,827000000,None,2299000000,306000000,1993000000,36110000000,81949000000,13727000000,62168000000,None,94718000000,1348000000,None,None,1348000000,1348000000,9385000000,None,9385000000,None,None,10733000000,81689000000,2296000000,10934000000,44000000,1196000000,11000000,1061529259
2018-06-30,USD,105358000000,2176000000,1382000000,1467000000,28000000,None,3152000000,840000000,None,2312000000,319000000,1993000000,50130000000,81141000000,85000000,60792000000,None,93886000000,2442000000,None,None,2442000000,2442000000,9726000000,None,9726000000,12370000000,None,12168000000,79587000000,2131000000,11472000000,40000000,990000000,11000000,1104226603
2018-03-31,USD,104246000000,1660000000,1069000000,1154000000,536000000,None,3173000000,847000000,None,2326000000,333000000,1993000000,50324000000,79822000000,85000000,73266000000,None,92938000000,2854000000,None,None,2854000000,2854000000,8618000000,None,8618000000,11562000000,None,11472000000,79471000000,1995000000,11308000000,34000000,780000000,11000000,1101795768
