fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-12-31,USD,-2900000000,6016000000,8916000000,None,-4261000000,1198000000,None,1361000000,None,-50000000,50000000,50000000,5354000000,None,None,160000000,732000000,143000000,50000000,589000000,1127000000,782000000,942000000,589000000
2022-09-30,USD,-2927000000,5580000000,8507000000,None,-4151000000,1203000000,None,1224000000,None,-50000000,50000000,50000000,5258000000,None,None,18000000,431000000,92000000,50000000,339000000,-813000000,481000000,499000000,339000000
2022-06-30,USD,-2473000000,5373000000,7846000000,None,-3714000000,1222000000,None,1241000000,None,-51000000,51000000,51000000,5171000000,None,None,17000000,552000000,110000000,51000000,442000000,-1121000000,603000000,620000000,442000000
2022-03-31,USD,-2513000000,5393000000,7906000000,None,-3743000000,1207000000,None,1230000000,None,-62000000,62000000,62000000,5030000000,None,None,18000000,543000000,98000000,62000000,445000000,-1426000000,605000000,623000000,445000000
2021-12-31,USD,-2482000000,5816000000,8298000000,None,-4006000000,1233000000,None,1524000000,None,-62000000,62000000,62000000,5030000000,None,None,229000000,900000000,171000000,62000000,729000000,594000000,962000000,1191000000,729000000
2021-09-30,USD,-2779000000,5686000000,8465000000,None,-3985000000,1200000000,None,1206000000,None,-58000000,58000000,58000000,4964000000,None,None,18000000,583000000,101000000,58000000,482000000,219000000,641000000,659000000,482000000
2021-06-30,USD,-1619000000,5589000000,7208000000,None,-2838000000,1202000000,None,1219000000,None,-57000000,57000000,57000000,4856000000,None,None,17000000,1110000000,205000000,57000000,905000000,1211000000,1167000000,1184000000,905000000
2021-03-31,USD,-2990000000,5299000000,8289000000,None,-4163000000,1144000000,None,1173000000,None,-57000000,57000000,57000000,4717000000,None,None,18000000,303000000,54000000,57000000,249000000,-657000000,360000000,378000000,249000000
2020-12-31,USD,5328000000,5328000000,7940000000,None,5328000000,1086000000,None,1460000000,None,-57000000,57000000,57000000,4571000000,None,None,216000000,652000000,115000000,57000000,537000000,851000000,709000000,925000000,537000000
2020-09-30,USD,-2372000000,5171000000,7543000000,None,-3570000000,1093000000,None,1147000000,None,-58000000,58000000,58000000,4744000000,None,None,18000000,532000000,73000000,58000000,459000000,836000000,590000000,608000000,459000000
2020-06-30,USD,-2198000000,5068000000,7266000000,None,-3341000000,1125000000,None,1143000000,None,-57000000,57000000,57000000,4553000000,None,None,18000000,592000000,124000000,57000000,468000000,1904000000,649000000,667000000,468000000
2020-03-31,USD,-1332000000,4956000000,6288000000,None,-2508000000,1176000000,None,1176000000,None,-64000000,64000000,64000000,4732000000,None,None,19000000,344000000,71000000,64000000,273000000,-736000000,408000000,427000000,273000000
2019-12-31,USD,5361000000,5361000000,6677000000,3377000000,5361000000,1224000000,None,1224000000,None,-65000000,65000000,65000000,4775000000,None,None,236000000,676000000,128000000,65000000,548000000,386000000,741000000,977000000,548000000
2019-09-30,USD,-937000000,5347000000,6284000000,3351000000,-2104000000,1167000000,None,1167000000,None,-67000000,67000000,67000000,4663000000,None,None,19000000,653000000,118000000,157000000,535000000,947000000,720000000,739000000,535000000
2019-06-30,USD,-1183000000,5092000000,6275000000,3326000000,-2324000000,1141000000,None,1141000000,None,-63000000,63000000,63000000,4520000000,None,None,15000000,456000000,84000000,63000000,372000000,1059000000,519000000,534000000,372000000
2019-03-31,USD,-798000000,4940000000,5738000000,3040000000,-1846000000,1048000000,None,1048000000,None,-64000000,64000000,64000000,4279000000,None,None,13000000,775000000,145000000,64000000,630000000,1324000000,839000000,852000000,630000000
2018-12-31,USD,4633000000,4633000000,6606000000,3296000000,4633000000,1074000000,None,1086000000,None,-70000000,None,70000000,4001000000,None,None,178000000,167000000,-29000000,70000000,196000000,136000000,237000000,415000000,196000000
2018-09-30,USD,-1096000000,4842000000,5938000000,3134000000,-2187000000,1079000000,None,1091000000,None,-69000000,None,69000000,3987000000,None,None,18000000,535000000,103000000,69000000,427000000,266000000,604000000,622000000,432000000
2018-06-30,USD,-1049000000,4789000000,5838000000,3082000000,-2116000000,1056000000,None,1067000000,None,-79000000,None,79000000,4279000000,None,None,18000000,685000000,103000000,85000000,434000000,-532000000,764000000,782000000,582000000
2018-03-31,USD,-1059000000,4691000000,5750000000,3037000000,-2096000000,1025000000,None,1037000000,None,-80000000,None,80000000,4251000000,None,None,18000000,688000000,91000000,80000000,428000000,-300000000,768000000,786000000,597000000
