fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-12-31,USD,324086000,579836000,255750000,232385000,300721000,16921000,None,23365000,None,-78409000,None,78409000,0,344000,163318000,621000,100487000,-85000,78409000,318627000,106665000,178896000,179517000,100572000
2022-09-30,USD,301701000,568675000,266974000,226172000,260899000,20123000,None,40802000,None,-76454000,None,76454000,0,-8372000,160428000,675000,79252000,73000,76454000,275557000,191283000,155706000,156381000,79179000
2022-06-30,USD,323414000,557300000,233886000,212494000,302022000,19342000,None,21392000,None,-74840000,None,74840000,0,-3827000,158572000,695000,111046000,83000,74840000,322919000,171212000,185886000,186581000,110963000
2022-03-31,USD,309235000,532310000,223075000,203236000,289396000,17639000,None,19839000,None,-74389000,None,74389000,-1452000,594000,155796000,685000,92694000,79000,74389000,304037000,299019000,167083000,167768000,92615000
2021-12-31,USD,298745000,520225000,221480000,198056000,275321000,19668000,None,23424000,None,-79121000,None,79121000,-21544000,-2654000,151660000,710000,74630000,87000,79121000,302975000,166033000,153751000,154461000,74543000
2021-09-30,USD,282800000,509532000,226732000,202370000,258438000,19369000,None,24362000,None,-79370000,None,79370000,14173000,-1508000,150694000,699000,69258000,81000,79370000,260244000,104433000,148628000,149327000,69177000
2021-06-30,USD,276995000,491633000,214638000,193118000,255475000,19828000,None,21520000,None,-80764000,None,80764000,1888000,-1903000,145280000,712000,60480000,142000,80764000,262470000,77161000,141244000,141956000,60338000
2021-03-31,USD,273000000,475225000,202225000,184215000,254990000,16950000,None,18010000,None,-83406000,None,83406000,0,230000,144501000,704000,57608000,241000,83406000,266674000,174351000,141014000,141718000,57367000
2020-12-31,USD,185545000,464100000,196934000,183516000,172127000,16679000,None,13418000,None,-95382000,None,95382000,None,-2087000,142090000,713000,70847000,148000,95382000,-148000,122723000,166229000,166942000,70699000
2020-09-30,USD,173990000,459184000,213223000,192821000,153588000,17972000,None,20402000,None,-87713000,None,87713000,None,-3049000,138147000,707000,32947000,293000,87713000,150246000,65836000,120660000,121367000,32654000
2020-06-30,USD,178990000,449755000,196490000,181531000,164031000,14426000,None,14959000,None,-86071000,None,86071000,None,1370000,137266000,713000,43202000,299000,86071000,165102000,18157000,129273000,129986000,42903000
2020-03-31,USD,-103460000,449789000,34583000,14372000,-123671000,14228000,None,20211000,None,-84757000,84757000,84757000,None,3680000,135027000,2856000,50086000,130000,84757000,-119957000,-280846000,134843000,137699000,49956000
2019-12-31,USD,444277000,444277000,44136000,14561000,444277000,15375000,None,29575000,None,-88417000,88417000,88417000,None,-3350000,133764000,2913000,52301000,309000,88417000,444277000,117817000,140718000,143631000,51992000
2019-09-30,USD,-104576000,443326000,37017000,15872000,-125721000,16405000,None,21145000,None,-89067000,89067000,89067000,None,4735000,133315000,137000,34283000,576000,89067000,-120986000,-41647000,123350000,123487000,33707000
2019-06-30,USD,-102469000,441582000,33648000,16021000,-120096000,15956000,None,17627000,None,-95706000,95706000,95706000,None,610000,133031000,129000,39786000,844000,95706000,-119486000,-115773000,135492000,135621000,38942000
2019-03-31,USD,-126849000,435500000,49669000,15160000,-161358000,26538000,None,34509000,None,-93983000,93983000,93983000,-33000,3125000,133609000,2579000,21583000,761000,93983000,-158233000,-76291000,115566000,118145000,20822000
2018-12-31,USD,432616000,432616000,52673000,17281000,432616000,25340000,None,-930795000,None,-96506000,None,96506000,316913000,261000,130220000,2709000,46669000,None,96506000,432616000,-139581000,432616000,435325000,25268000
2018-09-30,USD,393155000,434251000,41096000,16692000,83763000,21152000,None,350488000,None,-97564000,None,97564000,434241000,3330000,139371000,2716000,-10471000,None,97564000,98605000,33952000,83763000,86479000,1020000
2018-06-30,USD,389339000,432426000,43087000,14348000,77466000,24636000,None,354960000,None,-97226000,None,97226000,431828000,1631000,146450000,2989000,-18129000,None,97226000,-18129000,-1910000,77466000,80455000,-13946000
2018-03-31,USD,909382000,423669000,214532000,177931000,67481000,27636000,None,356188000,None,-92299000,None,92299000,396045000,1736000,144500000,2844000,-23082000,None,92299000,-23082000,41838000,67481000,70325000,-17269000
