fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-12-31,USD,7787000000,2211778000,51927000,51927000,40602000,1528075000,5574804000,4979817000,3019663000,236390000,115941000,120449000,None,None,0,546932000,358597000,4119814000,1568231000,798776000,None,None,None,2551583000,None,1261700000,0,1261738000,1261700000,769455000,369314000,3666768000,3258530000,6423730000,1671000,103743382
2022-09-30,USD,7432000000,2152416000,84334000,84334000,None,1726155000,5279143000,4708007000,2972231000,241443000,120800000,120600000,None,None,None,341927000,329693000,3926450000,1500724000,838859000,None,None,None,2425726000,None,1261700000,0,1243814000,1243800000,661865000,346007000,3505109000,None,394526.33,3505109000,103757000
2022-06-30,USD,7252562000,2281918000,123841000,123841000,None,1776773000,4970644000,4447695000,2846384000,236489000,124789000,111700000,None,None,None,381304000,286460000,3927698000,1870065000,886617000,None,349955000,349955000,2057633000,None,945999000,349955000,945999000,1295954000,633493000,301003000,3324864000,None,297076000,3324864000,104252000
2022-03-31,USD,7031941000,2269797000,144529000,144529000,None,1745647000,4762144000,4234266000,2716061000,241633000,128733000,112900000,None,None,None,379621000,286245000,3778399000,1784730000,854879000,None,351214000,351214000,1993669000,None,945628000,351214000,945628000,1296842000,578637000,294314000,3253542000,None,285265,3253542000,104894000
2021-12-31,USD,6794000000,2313369000,355549000,355549000,25032000,1506619000,4480979000,4067655000,2612661000,191093000,90572000,100500000,None,None,0,209554000,222231000,3676532000,1729600000,772736000,None,355972000,356000000,1946932000,None,945200000,356000000,945257000,1301200000,600892000,256233000,3117816000,2953175000,5621103000,1671000,105093706
2021-09-30,USD,6513190000,2265147000,529595000,529595000,None,1442948000,4248043000,3854584000,2495557000,201706000,201706000,None,None,None,None,292604000,191753000,3590962000,1644627000,749071000,None,354755000,354755000,1946335000,None,944887000,354755000,944887000,1299642000,540801000,270860000,2922228000,None,5410445000,2922228000,105173000
2021-06-30,USD,6323000000,2209299000,570918000,570918000,None,1293924000,4114095000,3717728000,2390467000,204886000,204886000,None,None,None,None,344457000,191481000,3524366000,1228355000,674856000,None,None,None,2296011000,None,1303467000,None,1303467000,1303467000,553499000,263576000,2799028000,None,5242206000,2799028000,105509000
2021-03-31,USD,6163000000,2131999000,552970000,552970000,None,1219162000,4030607000,3650921000,2302310000,208399000,208399000,None,None,None,None,359867000,171287000,3440540000,1166400000,641887000,None,None,None,2274140000,None,1301430000,None,1301430000,1301430000,524513000,249692000,2722066000,None,5101748000,2722066000,105678000
2020-12-31,USD,5928348000,1842117000,313302000,313302000,23804000,1124403000,4086264000,3688894000,2219816000,212122000,106755000,105367000,None,None,0,194759000,185215000,3328210000,1084803000,587510000,None,None,250706000,2243407000,None,610400000,0,1305424000,610400000,497293000,245961000,2600138000,2794516000,4984739000,1671000,105653644
2020-09-30,USD,5779000000,1728598000,318549000,318549000,None,1121825000,3857816000,3682404000,2159710000,None,None,None,None,None,None,288224000,175412000,3291638000,1095423000,603523000,None,None,None,2196215000,None,1303353000,None,1303353000,1303353000,491900000,181561000,2487424000,None,4859258000,1671000,105653000
