fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-12-31,USD,17970000000,5729000000,427000000,427000000,2269000000,2280000000,12241000000,7885000000,10664000000,2925000000,851000000,2074000000,238000000,238000000,None,753000000,1193000000,17423000000,7334000000,3813000000,None,844000000,373000000,9678000000,127000000,8049000000,471000000,None,8422000000,2677000000,799000000,547000000,5137000000,8201000000,473000000,337500000
2022-09-30,USD,17836000000,5625000000,362000000,362000000,2281000000,2333000000,12243000000,7737000000,10407000000,2941000000,898000000,2043000000,266000000,266000000,None,649000000,1299000000,17399000000,7197000000,3660000000,None,959000000,959000000,9796000000,None,7628000000,959000000,7988000000,8587000000,2578000000,695000000,437000000,5126000000,8086000000,473000000,337500000
2022-06-30,USD,18114000000,5662000000,311000000,311000000,2278000000,2469000000,12484000000,7931000000,10522000000,3027000000,925000000,2102000000,270000000,270000000,None,604000000,1256000000,17521000000,7209000000,3701000000,None,1031000000,1031000000,9903000000,None,7698000000,1031000000,8061000000,8729000000,2477000000,673000000,593000000,5111000000,8022000000,473000000,337600000
2022-03-31,USD,18672000000,5903000000,493000000,493000000,2265000000,2516000000,12801000000,8114000000,10591000000,3135000000,958000000,2177000000,266000000,266000000,None,629000000,1286000000,17967000000,7257000000,3846000000,None,969000000,969000000,10301000000,None,8101000000,969000000,8115000000,9070000000,2442000000,716000000,705000000,None,7988000000,473000000,337000000
2021-12-31,USD,17837000000,5565000000,270000000,270000000,2239000000,2207000000,12272000000,8097000000,10431000000,2650000000,810000000,1840000000,290000000,290000000,None,849000000,1235000000,17323000000,6749000000,3840000000,None,433000000,118000000,10325000000,130000000,8456000000,315000000,8456000000,8574000000,2023000000,681000000,514000000,5183000000,7858000000,473000000,336800000
2021-09-30,USD,17775000000,5626000000,286000000,286000000,2098000000,2399000000,12149000000,7964000000,10378000000,2606000000,810000000,1796000000,340000000,340000000,340000000,843000000,1239000000,17068000000,7258000000,3519000000,None,1387000000,1387000000,9782000000,None,7555000000,1387000000,7870000000,8942000000,2352000000,657000000,707000000,5191000000,7883000000,473000000,336700000
2021-06-30,USD,17827000000,5572000000,306000000,306000000,2110000000,2340000000,12255000000,8018000000,10445000000,2637000000,803000000,1834000000,350000000,350000000,350000000,816000000,1250000000,17069000000,7244000000,3337000000,None,1493000000,1493000000,9797000000,None,7591000000,1493000000,7904000000,9084000000,2414000000,666000000,758000000,5159000000,7798000000,473000000,336900000
2021-03-31,USD,17226000000,5143000000,320000000,320000000,1956000000,2199000000,12083000000,7887000000,10313000000,2625000000,805000000,1820000000,349000000,349000000,None,668000000,1222000000,16480000000,6694000000,3152000000,None,1274000000,1274000000,9758000000,None,28000000,1274000000,7859000000,8822000000,2268000000,673000000,746000000,5050000000,7764000000,473000000,337600000
2020-12-31,USD,17523000000,5174000000,303000000,303000000,1903000000,2235000000,12889000000,8042000000,10291000000,2727000000,832000000,1895000000,300000000,300000000,300000000,733000000,1280000000,16897000000,6443000000,3336000000,None,486000000,223000000,10183000000,133000000,8141000000,263000000,8141000000,8364000000,2156000000,718000000,626000000,4899000000,7567000000,473000000,338700000
2020-09-30,USD,16531000000,6075000000,1518000000,1518000000,1787000000,2125000000,10456000000,7497000000,10476000000,1418000000,None,1418000000,333000000,333000000,333000000,645000000,1208000000,15954000000,6102000000,2995000000,None,517000000,517000000,9823000000,None,29000000,517000000,8108000000,8368000000,2590000000,599000000,577000000,4661000000,7395000000,473000000,340400000
2020-06-30,USD,16173000000,5904000000,1448000000,1448000000,1825000000,2024000000,10269000000,7366000000,10372000000,1401000000,None,1401000000,319000000,319000000,None,607000000,1183000000,15678000000,6494000000,3032000000,None,850000000,850000000,9155000000,None,29000000,850000000,7980000000,8073000000,2612000000,546000000,495000000,4545000000,7299000000,473000000,341000000
2020-03-31,USD,15677000000,5646000000,979000000,979000000,1539000000,2519000000,10031000000,7226000000,10168000000,1361000000,None,1361000000,314000000,314000000,None,609000000,1130000000,15631000000,6483000000,2876000000,None,1238000000,1238000000,9119000000,None,29000000,1238000000,7967000000,8448000000,2369000000,538000000,46000000,4562000000,6978000000,473000000,340800000
2019-12-31,USD,15283000000,5057000000,442000000,442000000,1790000000,2263000000,10226000000,7450000000,10389000000,1496000000,29000000,1467000000,268000000,268000000,None,562000000,1012000000,15316000000,6919000000,3055000000,None,1534000000,775000000,8141000000,130000000,7731000000,759000000,6972000000,7877000000,1969000000,520000000,-33000000,4454000000,6686000000,473000000,341400000
2019-09-30,USD,15033000000,5064000000,416000000,416000000,1779000000,2306000000,9969000000,7158000000,10462000000,1438000000,None,1438000000,294000000,294000000,None,563000000,1079000000,14945000000,6782000000,2942000000,None,1555000000,1555000000,8125000000,None,38000000,1555000000,6957000000,7753000000,2285000000,540000000,88000000,4222000000,6485000000,473000000,343100000
2019-06-30,USD,15347000000,5321000000,534000000,534000000,1856000000,2397000000,10026000000,7207000000,10765000000,1478000000,None,1478000000,249000000,249000000,None,534000000,1092000000,15297000000,6585000000,2993000000,None,1291000000,1291000000,8674000000,None,38000000,1291000000,6961000000,7992000000,2301000000,571000000,50000000,4062000000,6170000000,473000000,344200000
2019-03-31,USD,15204000000,5255000000,491000000,491000000,1857000000,2377000000,9949000000,7139000000,10685000000,1476000000,None,1476000000,246000000,246000000,None,530000000,1088000000,15286000000,7197000000,3027000000,None,1900000000,1900000000,8025000000,None,64000000,1900000000,6552000000,7890000000,2270000000,617000000,-82000000,None,None,473000000,343900000
2018-12-31,USD,14518000000,5041000000,539000000,539000000,1813000000,2164000000,9477000000,7159000000,10555000000,1474000000,1474000000,1474000000,224000000,224000000,None,525000000,620000000,14805000000,6536000000,3190000000,None,1208000000,495000000,7964000000,None,7673000000,713000000,6960000000,7455000000,1878000000,328000000,-287000000,3956000000,5947000000,473000000,345000000
2018-09-30,USD,14583000000,5108000000,494000000,494000000,1770000000,2308000000,9475000000,7030000000,10469000000,1480000000,1480000000,1480000000,251000000,251000000,None,536000000,714000000,14471000000,6805000000,2937000000,None,1786000000,1786000000,7605000000,None,61000000,806000000,6545000000,7525000000,2082000000,369000000,112000000,None,None,473000000,346600000
