fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-12-31,USD,1223000000,3001000000,1778000000,1778000000,293000000,861000000,None,938000000,None,-17000000,6000000,32000000,-6000000,11000000,150000000,59000000,275000000,81000000,-78000000,193000000,410000000,293000000,352000000,194000000
2022-09-30,USD,1276000000,3104000000,1828000000,1828000000,358000000,861000000,None,916000000,None,-17000000,None,17000000,4000000,6000000,6000000,58000000,350000000,88000000,0,261000000,78000000,358000000,416000000,262000000
2022-06-30,USD,1367000000,3341000000,1974000000,1974000000,559000000,898000000,None,804000000,None,-14000000,None,14000000,155000000,-2000000,7000000,61000000,547000000,127000000,0,420000000,271000000,559000000,620000000,420000000
2022-03-31,USD,1357000000,3348000000,1991000000,1991000000,371000000,924000000,None,978000000,None,-15000000,None,15000000,0,0,6000000,59000000,362000000,89000000,0,269000000,220000000,371000000,430000000,273000000
2021-12-31,USD,1269000000,3186000000,1917000000,1917000000,280000000,920000000,None,-2000000,None,-9312000,6096000,16949000,-3267000,6000000,162789000,65000000,277000000,41000000,72078000,235000000,232000000,280000000,345000000,236000000
2021-09-30,USD,1344000000,3297000000,1953000000,1953000000,378000000,898000000,None,961891000,None,-15427000,None,15427000,0,3000000,5947000,64000000,373000000,89000000,0,284000000,236000000,378000000,442000000,284000000
2021-06-30,USD,1415000000,3435000000,2020000000,2020000000,445000000,901000000,None,967563000,None,-16172000,None,16172000,-23564000,6000000,5649000,65000000,413000000,108000000,23564000,305000000,330000000,445000000,510000000,305000000
2021-03-31,USD,1294000000,3171000000,1877000000,1877000000,371000000,849000000,None,916366000,None,-24179000,None,24179000,0,6000000,5615000,66000000,359000000,93000000,0,266000000,238800000,371000000,437000000,266000000
2020-12-31,USD,1169578000,2954058000,1784480000,1784480000,267696000,814927000,None,898041000,None,-20406000,5026000,20027000,4065000,6696000,163838000,72103000,249799000,69210000,103784000,179848000,291426000,267696000,339799000,180589000
2020-09-30,USD,1198542000,3047684000,1849142000,1849142000,296002000,813893000,None,890548000,None,-25182000,None,25182000,0,-2492000,7067000,68655000,271993000,78510000,0,193483000,263524000,296002000,364657000,193483000
2020-06-30,USD,1011004000,2626323000,1615319000,1615319000,180453000,737369000,None,803116000,None,-25616000,None,25616000,0,8174000,4010000,65747000,160661000,41869000,0,118515000,152932000,180453000,246200000,118792000
2020-03-31,USD,1213876000,3000935000,1787059000,1787059000,241849000,899811000,None,965306000,None,-25931000,25931000,25931000,-12751000,3622000,5085000,65495000,205547000,60411000,12751000,146154000,32118000,241849000,307344000,145136000
2019-12-31,USD,1196014000,3009860000,1813846000,1813846000,206768000,893276000,None,2000000,None,-1800000,15845000,34555000,0,17232000,158252000,77421000,190596000,50208000,138632000,140354000,200249000,206768000,284189000,140388000
2019-09-30,USD,1200329000,3147773000,1947444000,1947444000,231364000,892124000,None,962036000,None,-31976000,31976000,31976000,128000,5939000,5223000,71513000,210010000,57747000,-128000,151858000,80070000,231364000,302877000,152263000
2019-06-30,USD,1247187000,3248173000,2000986000,2000986000,236111000,898368000,None,1002699000,None,-35884000,35884000,35884000,0,5733000,5320000,70834000,206386000,55825000,0,150355000,152862000,236111000,306945000,150561000
2019-03-31,USD,1208264000,3100303000,1892039000,1892039000,222400000,896532000,None,1022108000,None,-36089000,36089000,36089000,0,3851000,5205000,71002000,149598000,51550000,0,98048000,82144000,222400000,293402000,98048000
2018-12-31,USD,1161809000,3002781000,1840972000,1840972000,164146000,880646000,None,33000000,None,None,None,38730000,None,-497000,42000000,77891000,71017000,34968000,38730000,40446000,-4110000,164146000,242037000,36049000
2018-09-30,USD,1197198000,3122378000,1925180000,1925180000,234733000,879150000,None,956851000,None,None,None,40860000,None,6959000,39000000,76701000,180170000,46068000,40860000,134102000,115372000,234733000,311434000,134102000
2018-06-30,USD,1161879000,3030751000,1868872000,1868872000,256794000,826044000,None,905645000,None,None,None,38272000,None,-427000,39000000,63163000,217782000,60775000,38272000,157007000,55564000,256794000,319957000,157007000
2018-03-31,USD,1053971000,2720764000,1666793000,1666793000,226568000,766891000,None,823349000,None,None,None,28515000,None,2882000,37000000,56458000,202544000,49584000,28515000,152960000,203473000,226568000,283026000,152960000
