fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-12-31,USD,5052000000,5923000000,871000000,4644000000,996000000,871000000,None,871000000,8000000,-115000000,8000000,115000000,0,2000000,None,70000000,891000000,218000000,115000000,673000000,934000000,1006000000,1076000000,673000000
2022-09-30,USD,5097000000,5313000000,216000000,4087000000,958000000,216000000,None,210000000,7000000,-100000000,7000000,100000000,0,3000000,None,72000000,869000000,239000000,100000000,630000000,291000000,969000000,1041000000,630000000
2022-06-30,USD,5107000000,5338000000,231000000,4108000000,950000000,231000000,None,245000000,6000000,-95000000,6000000,95000000,None,2000000,None,68000000,878000000,200000000,95000000,678000000,355000000,973000000,1041000000,678000000
2022-03-31,USD,3991000000,4199000000,208000000,3376000000,558000000,208000000,None,227000000,5000000,-93000000,5000000,93000000,None,4000000,None,72000000,476000000,99000000,93000000,377000000,391000000,569000000,641000000,377000000
2021-12-31,USD,-164000000,4446000000,683000000,3544000000,635000000,683000000,None,678000000,6000000,-97000000,6000000,97000000,-164000000,4000000,None,73000000,548000000,80000000,164000000,-164000000,458000000,645000000,718000000,468000000
2021-09-30,USD,3734000000,3946000000,212000000,3121000000,545000000,212000000,None,213000000,8000000,-107000000,8000000,107000000,-164000000,0,None,85000000,278000000,58000000,271000000,220000000,82000000,385000000,470000000,220000000
2021-06-30,USD,2962000000,3149000000,187000000,2423000000,486000000,187000000,None,191000000,7000000,-109000000,7000000,109000000,None,5000000,None,68000000,381000000,-41000000,109000000,422000000,518000000,490000000,558000000,422000000
2021-03-31,USD,2105000000,2316000000,211000000,1968000000,84000000,211000000,None,230000000,7000000,-107000000,7000000,107000000,None,1000000,None,69000000,-27000000,-16000000,107000000,-11000000,-166000000,80000000,149000000,-11000000
2020-12-31,USD,2172000000,2172000000,661000000,1784000000,-128000000,459000000,None,678000000,7000000,-112000000,7000000,112000000,0,6000000,None,109000000,-314000000,-150000000,0,-128000000,147000000,-202000000,-93000000,-164000000
2020-09-30,USD,2123000000,2254000000,131000000,1817000000,252000000,131000000,None,131000000,6000000,-113000000,6000000,113000000,0,2000000,None,101000000,127000000,27000000,113000000,100000000,262000000,240000000,341000000,100000000
2020-06-30,USD,1286000000,1464000000,178000000,1362000000,-154000000,178000000,None,223000000,8000000,-127000000,8000000,127000000,None,5000000,None,93000000,-298000000,-64000000,127000000,-234000000,-103000000,-171000000,-78000000,-234000000
2020-03-31,USD,4411000000,4681000000,270000000,4149000000,114000000,270000000,None,348000000,6000000,-93000000,6000000,93000000,None,-4000000,None,175000000,19000000,-12000000,93000000,31000000,-347000000,112000000,287000000,31000000
2019-12-31,USD,5371000000,5371000000,1118000000,4704000000,274000000,1118000000,None,986000000,6000000,-95000000,6000000,95000000,None,138000000,None,196000000,326000000,47000000,95000000,274000000,422000000,421000000,617000000,279000000
2019-09-30,USD,5064000000,5284000000,220000000,4396000000,607000000,220000000,None,220000000,8000000,-100000000,8000000,100000000,None,10000000,None,68000000,527000000,140000000,100000000,387000000,209000000,627000000,695000000,387000000
2019-06-30,USD,5076000000,5305000000,229000000,4438000000,409000000,229000000,None,229000000,6000000,-102000000,6000000,102000000,None,1000000,None,71000000,314000000,82000000,102000000,232000000,266000000,416000000,487000000,232000000
2019-03-31,USD,4790000000,5012000000,222000000,4217000000,510000000,222000000,None,218000000,6000000,-97000000,78000000,97000000,None,5000000,None,68000000,432000000,57000000,97000000,375000000,406000000,529000000,597000000,375000000
2018-12-31,USD,5289000000,5289000000,902000000,4406000000,422000000,902000000,None,899000000,6000000,-94000000,None,94000000,None,3000000,None,76000000,345000000,28000000,94000000,422000000,235000000,439000000,649000000,317000000
2018-09-30,USD,4828000000,5051000000,221000000,4194000000,596000000,221000000,None,221000000,5000000,-86000000,None,86000000,None,18000000,None,65000000,594000000,91000000,86000000,483000000,438000000,680000000,719000000,503000000
2018-06-30,USD,5129000000,5409000000,217000000,4313000000,818000000,217000000,None,217000000,6000000,-85000000,None,85000000,42000000,114000000,None,70000000,874000000,207000000,85000000,610000000,282000000,959000000,951000000,667000000
2018-03-31,USD,588000000,5009000000,4418000000,4171000000,530000000,247000000,None,187000000,5000000,-75000000,None,75000000,None,59000000,None,73000000,532000000,112000000,75000000,398000000,582000000,607000000,650000000,420000000
