fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-12-31,USD,3683000000,5716000000,2033000000,1501000000,2046000000,717000000,None,4444000000,None,-685000000,556000000,33000000,5542000000,40000000,None,1171000000,1851000000,329000000,None,1267000000,1418000000,2046000000,3217000000,1522000000
2022-09-30,USD,5819000000,6400000000,581000000,1933000000,1862000000,581000000,None,5028000000,None,-259000000,153000000,259000000,6400000000,83000000,None,1289000000,2019000000,323000000,None,1559000000,1641000000,1862000000,3151000000,1696000000
2022-06-30,USD,5389000000,5900000000,511000000,1589000000,948000000,511000000,None,4236000000,None,217000000,217000000,217000000,5900000000,34000000,None,1158000000,1674000000,294000000,None,1113000000,1341000000,948000000,2106000000,1380000000
2022-03-31,USD,3657000000,5020000000,1363000000,1366000000,-775000000,478000000,None,3688000000,None,142000000,142000000,142000000,5020000000,45000000,None,885000000,-810000000,-359000000,None,-693000000,-471000000,-775000000,110000000,-451000000
2021-12-31,USD,3123000000,4872000000,1749000000,2323000000,1355000000,644000000,None,3748000000,None,-599000000,267000000,599000000,4724000000,23000000,None,964000000,1468000000,264000000,None,953000000,1298000000,1355000000,2319000000,1204000000
2021-09-30,USD,4919000000,5400000000,481000000,2293000000,379000000,481000000,None,4004000000,None,-328000000,7000000,335000000,5400000000,32000000,None,1230000000,420000000,-27000000,None,304000000,438000000,379000000,1609000000,447000000
2021-06-30,USD,4240000000,4700000000,460000000,1969000000,510000000,460000000,None,3410000000,None,-750000000,7000000,757000000,4700000000,38000000,None,981000000,116000000,-140000000,None,72000000,269000000,510000000,1491000000,256000000
2021-03-31,USD,2875000000,4051000000,1176000000,1895000000,669000000,427000000,None,3071000000,None,440000000,19000000,421000000,4051000000,38000000,None,749000000,1916000000,250000000,None,1498000000,1662000000,669000000,1418000000,1666000000
2020-12-31,USD,2335000000,4081000000,1746000000,1971000000,940000000,633000000,None,3529000000,None,-104000000,7000000,111000000,3961000000,67000000,None,944000000,-40000000,-35000000,None,-190000000,55000000,940000000,1884000000,-5000000
2020-09-30,USD,4446000000,4900000000,454000000,2033000000,1008000000,454000000,None,3766000000,None,-201000000,7000000,208000000,4900000000,21000000,None,1279000000,1358000000,129000000,None,1123000000,1240000000,1008000000,2287000000,1229000000
2020-06-30,USD,3681000000,4100000000,419000000,1635000000,1186000000,419000000,None,3035000000,None,-309000000,11000000,320000000,4100000000,-4000000,None,981000000,1460000000,185000000,None,1129000000,1304000000,1186000000,2167000000,1275000000
2020-03-31,USD,2685000000,3939000000,1254000000,1651000000,1981000000,406000000,None,2905000000,None,-1298000000,13000000,1311000000,3939000000,10000000,None,848000000,186000000,-235000000,None,308000000,398000000,1981000000,2829000000,421000000
2019-12-31,USD,2665000000,4414000000,1749000000,2119000000,878000000,501000000,None,4117000000,None,-175000000,13000000,188000000,4313000000,78000000,None,969000000,1167000000,192000000,None,878000000,987000000,878000000,1847000000,975000000
2019-09-30,USD,4347000000,4900000000,553000000,2129000000,1593000000,553000000,None,3979000000,None,-730000000,16000000,746000000,4900000000,12000000,None,1295000000,937000000,58000000,None,798000000,889000000,1593000000,2888000000,879000000
2019-06-30,USD,4078000000,4500000000,422000000,1974000000,1747000000,416000000,None,3223000000,None,-588000000,13000000,601000000,4500000000,16000000,None,1180000000,1358000000,124000000,None,1139000000,1256000000,1747000000,2927000000,1234000000
2019-03-31,USD,2621000000,3805000000,1184000000,1782000000,1135000000,396000000,None,2940000000,None,-702000000,12000000,714000000,3805000000,14000000,None,772000000,754000000,74000000,None,606000000,656000000,1135000000,1907000000,680000000
2018-12-31,USD,2865000000,4587000000,1722000000,1806000000,1107000000,442000000,None,3363000000,None,28000000,12000000,711000000,4559000000,18000000,None,1092000000,396000000,-26000000,None,1107000000,391000000,1107000000,2199000000,422000000
2018-09-30,USD,3709000000,4118000000,409000000,1917000000,968000000,396000000,None,3448000000,None,18000000,11000000,167000000,4100000000,11000000,None,1131000000,1130000000,125000000,None,943000000,1021000000,968000000,2099000000,1005000000
2018-06-30,USD,3152000000,3524000000,372000000,1743000000,1146000000,371000000,None,2917000000,None,24000000,10000000,394000000,3500000000,10000000,None,832000000,1007000000,226000000,None,701000000,786000000,1146000000,1978000000,781000000
2018-03-31,USD,2050000000,3286000000,1236000000,1596000000,1059000000,379000000,None,2798000000,None,24000000,18000000,226000000,3262000000,6000000,None,856000000,5681000000,1250000000,None,3831000000,4470000000,1059000000,1915000000,4431000000
