fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-12-31,USD,5660973000,2524266000,2574518000,2503424000,1788275000,None,54870000,148601000,None,48927000,48927000,48927000,27200000,27200000,None,None,None,2154124000,334016000,None,None,None,None,1820108000,92786000,914888000,None,None,None,None,406590000,3506849000,10866785000,11773414000,206000,3218933
2022-09-30,USD,5389534000,4336021000,1821355000,1766937000,2170449000,None,57469000,59232000,None,48927000,48927000,48927000,27800000,27800000,None,370257000,None,2304695000,923114000,None,None,None,None,1381581000,90075000,915346000,None,None,1005421000,50912000,466235000,3084839000,10772825000,11318646000,206000,3266000
2022-06-30,USD,5287699000,4307077000,1563959000,1499603000,2378745000,None,61318000,125720000,None,48927000,48927000,48927000,30000000,30000000,None,399722000,None,2296033000,853818000,None,None,None,None,1442215000,87295000,915801000,None,None,1003096000,388179000,526414000,2991666000,10413916000,10907253000,206000,3286574
2022-03-31,USD,5726213000,4756663000,2227089000,2157863000,2193639000,None,48494000,60215000,None,48927000,48927000,48927000,18800000,18800000,None,381690000,None,3000614000,957705000,None,None,None,None,2042909000,73767000,1515964000,None,None,1589731000,501091000,526945000,2725599000,10165206000,10473939000,206000,3385000
2021-12-31,USD,5834475000,4904826000,2636984000,2573467000,1947366000,None,33040000,115989000,None,48927000,48927000,48927000,20300000,20300000,None,365441000,None,2832097000,823814000,None,None,None,None,2008283000,74565000,1516255000,None,None,1590820000,435860000,492028000,3002378000,9423858000,10047839000,206000,3447441
2021-09-30,USD,5788894000,4921364000,2748060000,2703109000,1863525000,None,44221000,115858000,None,48927000,48927000,48927000,20800000,20800000,None,332205000,None,2771843000,796206000,None,None,None,None,1975637000,77499000,1516544000,None,None,1594043000,416266000,459093000,3017051000,9045413000,9713258000,206000,3561000
2021-06-30,USD,5854436000,5007090000,2664826000,2618322000,1973373000,None,45111000,116119000,None,48927000,48927000,48927000,21700000,21700000,None,390911000,None,2812148000,850016000,None,None,None,None,1962132000,79859000,1516830000,None,None,1596689000,419454000,445302000,3042288000,8653659000,9381177000,206000,3623000
2021-03-31,USD,5820808000,5000877000,2814517000,2774184000,1829792000,None,105301000,60180000,None,48927000,48927000,48927000,25900000,25900000,None,374842000,None,2774301000,873065000,None,None,None,None,1901236000,69669000,1517114000,None,None,1586783000,458849000,384122000,3046507000,8285587000,9059882000,206000,3673000
2020-12-31,USD,5777141000,2809782000,2809782000,2809782000,1709082000,None,87415000,62330000,None,48927000,48927000,48927000,23600000,23600000,None,481006000,None,2674067000,742454000,None,None,None,598967000,1931613000,72656000,1517395000,None,None,1590051000,339867000,313414000,3103074000,7922678000,8811120000,206000,3696000
2020-09-30,USD,5499920000,4717778000,2592475000,2561006000,1763186000,None,94716000,63466000,None,48927000,48927000,None,28700000,28700000,None,372125000,None,2580927000,776075000,None,None,None,None,1804852000,75748000,1517982000,None,None,1593730000,387757000,286870000,2918993000,7775536000,8506116000,206000,3706000
2020-06-30,USD,4730020000,3976274000,2027997000,2000876000,1602540000,None,100396000,55717000,None,48927000,48927000,None,28400000,28400000,None,352057000,None,2117608000,685867000,None,None,None,None,1431741000,79763000,1193962000,None,None,1273725000,349113000,237779000,2612412000,7789067000,8249650000,206000,3682000
2020-03-31,USD,3887523000,2660722000,1118267000,1091996000,1515640000,None,98973000,56484000,None,48927000,48927000,None,27800000,27800000,None,25997000,None,1470604000,641355000,None,None,None,None,829249000,83632000,598456000,None,None,682088000,274127000,230793000,2416919000,7796177000,8085575000,206000,3663000
2019-12-31,USD,3809815000,1160804000,1160804000,1160804000,1347288000,None,99395000,58088000,None,48927000,48927000,42021000,26700000,26700000,None,20219000,None,1468571000,653007000,None,None,None,None,815564000,85377000,598301000,None,None,683678000,346035000,85377000,2341244000,7624241000,7909872000,206000,3633000
2019-09-30,USD,3843359000,2641492000,1116060000,1094937000,1496449000,None,108369000,56521000,None,48927000,48927000,41580000,24600000,24600000,None,20830000,None,1471902000,645145000,None,None,None,None,826757000,85674000,598146000,None,None,683820000,319347000,85674000,2371457000,7302664000,7653735000,206000,3672000
2019-06-30,USD,3603240000,2332786000,906409000,882319000,1397728000,None,75579000,54519000,None,48927000,48927000,41580000,25000000,25000000,None,23796000,None,1483801000,652272000,None,None,None,None,831529000,87331000,597991000,None,None,685322000,299466000,87331000,2119439000,7272871000,7429948000,206000,3612000
2019-03-31,USD,3362771000,2152056000,840699000,816453000,1281169000,None,73021000,49543000,None,48927000,48927000,41580000,31100000,31100000,None,23946000,None,1463995000,637326000,None,None,None,None,826669000,86199000,597836000,None,None,684035000,310880000,86199000,1898776000,7220269000,7219739000,206000,3607000
2018-12-31,USD,3165933000,732248000,732248000,732248000,1253110000,None,72411000,48744000,None,621000,621000,42021000,29400000,29400000,20053000,20053000,None,1357371000,621444000,None,None,None,None,735927000,None,597681000,None,None,597681000,332871000,None,1808562000,7043200000,7031333000,206000,3578000
2018-09-30,USD,3089823000,2079648000,632550000,609870000,1421070000,None,72386000,49162000,None,48927000,48927000,41580000,31750000,31750000,22345000,22345000,None,1407507000,642304000,None,None,None,597527000,765203000,None,597527000,597527000,None,597527000,322560000,None,1682316000,6879388000,6799175000,206000,3612000
