fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-12-31,USD,58393000000,13734000000,2885000000,2885000000,1342000000,7412000000,28845000000,1762000000,3714000000,19193000000,2694000000,16499000000,375000000,375000000,None,2095000000,3991000000,35357000000,11191000000,1403000000,2033000000,239000000,0,21852000000,1428000000,31650000000,239000000,None,31650000000,1477000000,1715000000,23036000000,22958000000,14737000000,1000000,649000000
2022-09-30,USD,57287000000,13524000000,3383000000,3383000000,1492000000,6588000000,42154000000,1700000000,None,19142000000,2716000000,16426000000,None,None,None,2061000000,3929000000,34640000000,10326000000,943000000,1662000000,196000000,0,22292000000,1468000000,15334000000,196000000,None,15334000000,1331000000,1727000000,22647000000,22958000000,14889000000,1000000,649000000
2022-06-30,USD,56961000000,14182000000,4037000000,4037000000,1347000000,6959000000,41166000000,1705000000,None,19237000000,2739000000,16498000000,None,None,None,1839000000,3906000000,34185000000,9636000000,853000000,1854000000,37000000,0,22524000000,1514000000,15319000000,37000000,None,15319000000,1231000000,1683000000,22776000000,22958000000,14829000000,1000000,649000000
2022-03-31,USD,58043000000,15354000000,5302000000,5302000000,950000000,7263000000,41080000000,1706000000,None,19321000000,2760000000,16561000000,None,None,None,1839000000,3771000000,35379000000,9723000000,977000000,2205000000,15000000,0,23748000000,1579000000,16271000000,15000000,None,16271000000,1374000000,1753000000,22664000000,22958000000,14599000000,1000000,649000000
2021-12-31,USD,58620000000,16676000000,6267000000,6267000000,1504000000,6984000000,40869000000,1736000000,3750000000,19356000000,2772000000,16584000000,568000000,568000000,None,1921000000,3824000000,36218000000,9479000000,800000000,2291000000,11000000,0,24820000000,5000000,17660000000,11000000,None,17660000000,1182000000,1898000000,22402000000,22958000000,14343000000,1000000,650000000
2021-09-30,USD,55912000000,14798000000,4823000000,4823000000,1563000000,6560000000,39195000000,1809000000,None,19372000000,2790000000,16582000000,None,None,None,1852000000,3622000000,35353000000,8913000000,827000000,2254000000,15000000,0,24599000000,1525000000,17178000000,15000000,None,17178000000,1138000000,1948000000,20559000000,22958000000,12456000000,1000000,646000000
2021-06-30,USD,55204000000,15254000000,5375000000,5375000000,1419000000,6824000000,38070000000,1979000000,None,19406000000,2805000000,16601000000,15000000,None,None,1636000000,3658000000,35106000000,8586000000,602000000,2314000000,17000000,0,24236000000,1472000000,17164000000,17000000,None,17164000000,1230000000,1960000000,20098000000,22958000000,12007000000,1000000,646000000
2021-03-31,USD,54773000000,15487000000,5499000000,5499000000,1137000000,7310000000,37367000000,1994000000,None,19406000000,2815000000,16591000000,20000000,None,None,1541000000,3785000000,35602000000,8701000000,612000000,2180000000,19000000,0,24477000000,1517000000,17159000000,19000000,None,17159000000,1512000000,2058000000,19171000000,22958000000,11144000000,1000000,622000000
2020-12-31,USD,52663000000,13779000000,2984000000,2984000000,1757000000,7017000000,37524000000,1975000000,None,19438000000,2826000000,16612000000,536000000,536000000,None,769000000,3657000000,37292000000,8296000000,571000000,2098000000,16000000,0,26577000000,10000000,19610000000,16000000,None,19610000000,1391000000,2158000000,15371000000,22958000000,10375000000,1000000,617000000
2020-09-30,USD,51425000000,13157000000,3086000000,3118000000,1869000000,6946000000,36123000000,1994000000,None,19827000000,2832000000,16995000000,32000000,None,32000000,1256000000,4020000000,36869000000,7763000000,436000000,1589000000,18000000,0,26825000000,1769000000,19103000000,18000000,None,19103000000,1609000000,2226000000,14556000000,22958000000,9704000000,1000000,616000000
2020-06-30,USD,51188000000,12439000000,2288000000,2320000000,1837000000,7139000000,36837000000,1995000000,None,20025000000,2948000000,17077000000,32000000,None,32000000,1175000000,4212000000,37314000000,7985000000,422000000,1580000000,364000000,6000000,26894000000,1816000000,19427000000,358000000,None,19427000000,1672000000,2344000000,13874000000,22958000000,9150000000,1000000,615000000
2020-03-31,USD,49045000000,10406000000,589000000,589000000,1431000000,7199000000,36678000000,9983000000,None,19918000000,2968000000,16950000000,None,None,None,1187000000,3882000000,35596000000,8531000000,673000000,1547000000,532000000,200000000,23326000000,1841000000,17574000000,20000000,None,17774000000,1655000000,2274000000,13449000000,22958000000,8827000000,1000000,614000000
2019-12-31,USD,49585000000,11902000000,632000000,632000000,2813000000,7206000000,36140000000,2010000000,None,19535000000,2990000000,16545000000,640000000,494000000,None,677000000,3955000000,36378000000,9048000000,632000000,1649000000,717000000,0,23473000000,25000000,17980000000,717000000,None,17980000000,1439000000,2436000000,13207000000,22908000000,8494000000,1000000,615000000
2019-09-30,USD,24476000000,6273000000,196000000,196000000,1964000000,3685000000,18234000000,1171000000,1771000000,7719000000,2655000000,5064000000,None,None,None,210000000,2672000000,19424000000,4122000000,308000000,None,60000000,50000000,14354000000,24000000,9334000000,50000000,None,9384000000,1554000000,3089000000,5052000000,22858000000,-14683000000,1000000,374000000
2019-06-30,USD,23835000000,6336000000,216000000,216000000,1945000000,3795000000,17533000000,1177000000,1754000000,7722000000,2660000000,5062000000,None,None,None,222000000,2624000000,19082000000,3843000000,214000000,None,11000000,0,14381000000,26000000,9330000000,None,None,9330000000,1521000000,3121000000,4753000000,22858000000,-15002000000,1000000,374000000
2019-03-31,USD,24075000000,6732000000,500000000,500000000,1533000000,4147000000,16391000000,1194000000,1769000000,7727000000,2665000000,5062000000,None,None,None,400000000,2360000000,19726000000,4492000000,273000000,None,11000000,0,13830000000,29000000,9330000000,None,None,9330000000,1762000000,3095000000,4349000000,22858000000,-15442000000,1000000,373000000
2018-12-31,USD,44497000000,11880000000,856000000,322000000,2785000000,4041000000,15446000000,1209000000,1717000000,19034000000,2943000000,16091000000,329000000,329000000,None,668000000,3449000000,34048000000,8321000000,502000000,1388000000,1013000000,674000000,12924000000,None,18370000000,None,None,19044000000,1249000000,2724000000,10449000000,43420000000,5569000000,1000000,374000000
2018-09-30,USD,21068000000,6040000000,182000000,182000000,1828000000,3697000000,15028000000,1222000000,1782000000,7571000000,2650000000,4921000000,None,None,None,196000000,2367000000,18554000000,3993000000,229000000,None,388000000,374000000,13998000000,None,9433000000,None,None,9807000000,1536000000,3307000000,2514000000,22759000000,-17762000000,1000000,375000000
2018-06-30,USD,20385000000,6048000000,252000000,252000000,1876000000,3597000000,14337000000,1237000000,1747000000,7576000000,2655000000,4921000000,None,None,None,206000000,2327000000,18218000000,3784000000,138000000,None,386000000,370000000,13980000000,None,9430000000,None,None,9800000000,1466000000,3227000000,2167000000,22658000000,-18250000000,1000000,378000000
2018-03-31,USD,20591000000,6191000000,147000000,147000000,1593000000,3820000000,14400000000,1259000000,1777000000,7552000000,2661000000,4891000000,None,None,None,415000000,2337000000,18608000000,4069000000,230000000,None,236000000,217000000,14046000000,None,9319000000,None,None,9536000000,1670000000,3267000000,1983000000,22458000000,-18650000000,1000000,382000000
