fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-12-31,USD,524468000,524468000,472064000,220492000,524468000,65872000,None,220492000,None,-43063000,6350000,49413000,125873000,-587000,None,179157000,5878000,-650000,49413000,5655000,5136000,55291000,234448000,6528000
2022-09-30,USD,101731000,520406000,418675000,220208000,-118477000,24549000,None,220208000,None,-38115000,5963000,44078000,122142000,305678000,None,173190000,350136000,-3834000,44078000,355268000,384814000,394214000,567404000,353970000
2022-06-30,USD,97006000,517932000,420926000,215044000,-118038000,24781000,None,215044000,None,-36374000,5493000,41867000,125360000,2861000,None,180489000,67620000,-718000,41867000,65346000,70067000,109487000,289976000,68338000
2022-03-31,USD,89002000,498372000,409370000,207247000,-118245000,23831000,None,207247000,None,-32092000,5494000,37586000,121560000,18316000,None,177733000,72390000,777000,37586000,71296000,71713000,109976000,287709000,71613000
2021-12-31,USD,483205000,483205000,399880000,199247000,483205000,37043000,None,199247000,None,-30647000,5904000,36551000,118867000,662000,None,178114000,26904000,-1857000,36551000,25128000,28895000,63455000,241569000,28761000
2021-09-30,USD,78881000,481465000,402584000,202139000,-123258000,23270000,None,202139000,None,-29157000,6748000,35905000,118355000,1670000,None,177175000,54062000,-649000,36572000,54110000,54819000,89967000,267142000,54711000
2021-06-30,USD,89940000,476238000,386298000,190132000,-100192000,24088000,None,190132000,None,-22573000,16108000,38681000,56443000,1734000,None,171459000,275517000,-763000,99546000,164530000,276388000,314198000,485657000,276280000
2021-03-31,USD,83181000,455276000,372095000,181761000,-98580000,24902000,None,181761000,None,-37830000,9013000,46843000,-48164000,2200000,None,157538000,145796000,8000,211135000,-123891000,145976000,192639000,350177000,145788000
2020-12-31,USD,431697000,431697000,-223343000,184215000,431697000,43507000,None,184215000,None,-41983000,12105000,54088000,-361324000,-128000,None,147175000,143763000,-2631000,46175000,-23033000,145945000,197851000,345026000,146394000
2020-09-30,USD,48570000,423565000,549169000,183141000,-265722000,21661000,None,183141000,None,-51792000,1942000,53734000,246695000,6744000,None,141971000,-40447000,22970000,74156000,-31378000,-64467000,13287000,155258000,-63417000
2020-06-30,USD,69764000,408559000,518676000,177808000,-246077000,23720000,None,177808000,None,-53320000,1503000,54823000,243873000,17415000,None,139691000,51612000,106000,83374000,56855000,51815000,106435000,246126000,51506000
2020-03-31,USD,-64353000,381054000,649503000,237377000,-440366000,22349000,None,237377000,None,-54688000,1003000,55691000,264338000,210653000,None,125112000,249212000,-29868000,57543000,143669000,279442000,304903000,430015000,279080000
2019-12-31,USD,531691000,318920000,572553000,-225745000,531691000,21521000,None,-225745000,None,-55144000,-5031000,50113000,188267000,140235000,None,-34000000,49624000,6104000,80332000,158901000,45886000,99737000,65737000,43520000
2019-09-30,USD,87669000,321079000,450302000,248069000,-160400000,22970000,None,248069000,None,-58489000,2741000,61230000,178023000,693000,None,171944000,-52124000,-6261000,96247000,-45863000,-46627000,9106000,181050000,-45863000
2019-06-30,USD,24821000,307037000,466746000,213993000,-189172000,27120000,None,213993000,None,-54528000,2414000,56942000,176631000,21008000,None,165296000,-15461000,-1864000,58077000,-13597000,-14173000,41481000,206777000,-13597000
2019-03-31,USD,100545000,293303000,335609000,168927000,-68382000,21355000,None,168927000,None,-47614000,1713000,49327000,126695000,3133000,None,131951000,58012000,-3458000,49327000,61470000,62295000,107339000,239290000,61470000
2018-12-31,USD,441919000,441919000,367446000,-148968000,441919000,21510000,None,-148968000,None,-53359000,-3705000,49654000,-263000,50442000,None,-14059000,842071000,10523000,54980000,595379000,831137000,891725000,877666000,831548000
2018-09-30,USD,114625000,456022000,341397000,181207000,-66582000,23503000,None,181207000,None,-62250000,1236000,63486000,-43899000,1604000,None,132198000,94442000,-4929000,107385000,99371000,99154000,157928000,290126000,99371000
2018-06-30,USD,127475000,469551000,342076000,173866000,-46391000,22514000,None,173866000,None,-71591000,1447000,73038000,136774000,1786000,None,143292000,85288000,-4654000,73038000,89942000,107169000,158326000,301618000,89942000
2018-03-31,USD,135323000,479197000,343874000,172552000,-37229000,29175000,None,172552000,None,-68737000,6365000,75102000,279578000,-40407000,None,143250000,34896000,-5336000,75102000,40232000,42949000,109998000,253248000,40232000
