fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-12-31,USD,667564000,4386561000,4165334000,3749054000,259395000,341130000,None,307597000,1879000,-37430000,35551000,37430000,4423991000,21840000,72227000,63493000,234117000,71545000,37430000,174139000,187072000,271547000,335040000,162572000
2022-09-30,USD,688830000,4432925000,4185824000,3770927000,286791000,347449000,None,412378000,436000,-33566000,33130000,33566000,4466491000,-24455000,73507000,67448000,228846000,72890000,33566000,156316000,76088000,262412000,329860000,155956000
2022-06-30,USD,624590000,4203448000,4041839000,3607413000,208356000,323245000,None,432735000,222000,-28639000,222000,28639000,4232087000,-42527000,73959000,108381000,129272000,41252000,28639000,96160000,57125000,157911000,266292000,88020000
2022-03-31,USD,548171000,3941409000,3858432000,3417354000,117516000,324887000,None,439018000,69000,-24728000,69000,24728000,3966137000,-1273000,70954000,116191000,91197000,6556000,24728000,85028000,97916000,115925000,232116000,84641000
2021-12-31,USD,597982000,3889136000,3796968000,3325556000,140064000,367648000,None,483948000,96000,-26056000,96000,26056000,3915192000,6853000,69049000,100340000,119459000,14662000,26056000,106295000,110094000,145515000,245855000,104797000
2021-09-30,USD,534676000,3341997000,3116451000,2818602000,248077000,274846000,None,297021000,72000,-17259000,17187000,17259000,3359256000,6089000,61616000,23003000,235946000,61581000,17259000,175398000,147942000,253205000,276208000,174365000
2021-06-30,USD,447711000,2991579000,2846055000,2552105000,161651000,270110000,None,312955000,2909000,-13109000,2909000,13109000,3004688000,8471000,62757000,21521000,157984000,40951000,13109000,118971000,124928000,171093000,192614000,117033000
2021-03-31,USD,372890000,2696088000,2595642000,2330691000,113729000,243352000,None,260012000,117000,-12475000,117000,12475000,2708563000,3672000,62107000,21599000,103485000,13724000,12475000,91319000,98300000,115960000,137559000,89761000
2020-12-31,USD,465873000,2899719000,2742392000,2446312000,175503000,265775000,None,297988000,1335000,-11304000,1335000,11304000,2911023000,6188000,60076000,22023000,169812000,-239000,11304000,171961000,211396000,181116000,203139000,170051000
2020-09-30,USD,507514000,3011358000,2783054000,2512647000,242215000,250654000,None,269727000,80000,-11049000,10969000,11049000,3022407000,2931000,56244000,19753000,233390000,70477000,11049000,163700000,178620000,244439000,264192000,162913000
2020-06-30,USD,355264000,2498735000,2396858000,2150967000,112916000,227852000,None,245804000,275000,-8654000,275000,8654000,2507389000,3247000,54526000,18039000,106935000,32989000,8654000,74795000,108683000,115589000,133628000,73946000
2020-03-31,USD,332196000,2750903000,2680794000,2431899000,80737000,230793000,None,248354000,759000,-14006000,759000,14006000,2764909000,-9827000,54410000,18102000,54846000,16160000,14006000,41503000,-44282000,68852000,86954000,38686000
2019-12-31,USD,443321000,3112800000,13900000,2669479000,147413000,255129000,None,13900000,165000,-18824000,165000,18824000,3112800000,17179000,56518000,22008000,143778000,25634000,18824000,118144000,140439000,162602000,184610000,118144000
2019-09-30,USD,473445000,3334135000,3140080000,2879450000,209394000,245010000,None,260411000,186000,-18369000,186000,18369000,3352504000,717000,55562000,15620000,190974000,54906000,18369000,136068000,123284000,209343000,224963000,136068000
2019-06-30,USD,319505000,2825786000,2756531000,2519694000,78580000,223944000,None,234842000,267000,-15821000,267000,15821000,2841607000,6521000,53811000,12893000,68432000,41088000,15821000,27344000,43216000,84253000,97146000,27344000
2019-03-31,USD,363981000,2792225000,2687856000,2443278000,119487000,231908000,None,247342000,309000,-13876000,13567000,13876000,2806101000,58959000,52216000,12670000,164332000,43844000,13876000,120488000,139335000,178208000,190878000,120488000
2018-12-31,USD,419715000,3112218000,49400000,2692503000,149448000,212008000,None,49400000,427000,-11770000,None,11770000,3112218000,-9314000,52223000,12459000,127816000,71000000,11770000,56816000,8462000,139586000,152045000,56816000
2018-09-30,USD,425830000,2976570000,2794114000,2559451000,192561000,224040000,None,236474000,322000,-9219000,None,9219000,2985789000,-15498000,51543000,10623000,167818000,43267000,9219000,124551000,135389000,177037000,187660000,124551000
2018-06-30,USD,333371000,5301954000,2542888000,2322977000,123039000,206104000,None,221032000,660000,-9178000,None,9178000,2654784000,-10426000,50034000,10507000,103795000,29389000,9178000,74365000,54242000,123039000,123480000,74406000
2018-03-31,USD,301048000,4828062000,2342355000,2116528000,75221000,215422000,None,227635000,146000,-6778000,None,6778000,2417264000,-11975000,48719000,10405000,55614000,18003000,6778000,37614000,12600000,75221000,72797000,37611000
