fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-12-31,USD,6214700000,2116800000,456100000,456100000,866300000,736900000,4097900000,1275900000,2510500000,2312900000,138400000,2174500000,6800000,None,None,97800000,297400000,5870600000,2081800000,865600000,18200000,440600000,6600000,4134000000,16100000,3695300000,426400000,23600000,3701900000,717000000,467900000,344100000,4019100000,3163400000,23300000,144672113
2022-09-30,USD,6075100000,2031200000,248800000,248800000,962400000,753900000,4043900000,1231000000,2441100000,2297700000,140600000,2157100000,9400000,None,None,66100000,328000000,5856900000,1877000000,912500000,20800000,403400000,2400000,3979900000,17500000,7100000,392600000,24700000,9500000,504200000,640400000,218200000,4019100000,3098300000,23300000,144653991
2022-06-30,USD,6105400000,2011100000,281200000,281200000,932700000,732800000,4094300000,1245900000,2490700000,2321000000,147100000,2173900000,6500000,None,None,64400000,340100000,5905700000,1505400000,987800000,19700000,10700000,1800000,4400300000,18300000,6500000,10700000,25700000,8300000,443500000,654000000,199700000,3989100000,2993600000,23300000,145226204
2022-03-31,USD,6117000000,1947000000,278200000,278200000,843700000,775400000,4170000000,1252300000,2503400000,2343100000,150900000,2192200000,None,None,None,49700000,370900000,5926600000,1482900000,958100000,19300000,10300000,1100000,4443700000,18900000,8600000,10300000,26400000,9700000,444100000,662700000,190400000,3939000000,2909300000,23300000,146082455
2021-12-31,USD,6229300000,2069600000,561000000,561000000,725700000,732800000,4159700000,1232000000,2484200000,2342000000,152600000,2189400000,2800000,None,None,50100000,382000000,5980600000,2007300000,959900000,20200000,488500000,1300000,4467800000,19200000,3730900000,487200000,25700000,3732200000,504800000,661600000,248700000,3754700000,2790700000,23200000,148099157
2021-09-30,USD,6159800000,1970900000,393700000,393700000,741000000,766700000,4188900000,1208800000,2497300000,2370700000,157400000,2213300000,None,None,None,69500000,368600000,6032100000,1925400000,918300000,21300000,488200000,400000,4106700000,20200000,6000000,476900000,26000000,6400000,463600000,704400000,127700000,3681000000,2640100000,23200000,149370097
2021-06-30,USD,6006600000,1806700000,273100000,273100000,730700000,744500000,4199900000,1202800000,2507500000,2383000000,162100000,2220900000,None,None,None,58400000,364100000,5912800000,1405900000,880700000,19000000,23300000,400000,4506900000,21800000,6800000,11700000,24100000,7200000,447300000,707700000,93800000,3651100000,2562800000,23200000,149888950
2021-03-31,USD,5918700000,1759500000,370000000,370000000,652300000,690200000,4159200000,1177500000,2465100000,2381400000,164200000,2217200000,None,None,None,47000000,357200000,5817300000,1326400000,814000000,18600000,30900000,8800000,4490900000,22400000,14600000,11800000,24700000,23400000,423500000,704000000,101400000,3528600000,2485600000,23200000,151998585
2020-12-31,USD,6083800000,1881500000,548700000,548700000,596700000,681700000,4202300000,1189700000,2474700000,2393600000,171000000,2222600000,None,None,None,54400000,355800000,5911300000,1367400000,754200000,20300000,29500000,7200000,5043500000,23900000,3780100000,22300000,24900000,3787300000,527300000,728300000,172500000,3380900000,2400700000,23200000,154889772
2020-09-30,USD,5828200000,1667400000,316800000,316800000,630900000,663800000,4160800000,1136400000,2437700000,2375300000,167600000,2207700000,None,None,None,55900000,325500000,5803700000,1313200000,718800000,43200000,29200000,7400000,4505100000,25300000,12400000,11800000,26400000,19800000,481000000,694400000,24500000,3366300000,2283800000,23200000,155157663
