fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-12-31,USD,420450000,731836000,311386000,311386000,166587000,142752000,108810000,253863000,None,28651000,28651000,1015000,None,26258000,22861000,27761000,195237000,22936000,None,172301000,207212000,196252000,251649000,172301000
2022-09-30,USD,485379000,827073000,341694000,341694000,231507000,135632000,111715000,253872000,None,-5310000,1318000,779000,None,-5849000,23442000,28359000,226197000,42712000,None,183485000,151665000,226976000,255335000,183485000
2022-06-30,USD,506389000,840766000,334377000,334377000,247990000,139533000,111951000,258399000,None,-9398000,951000,913000,None,-9436000,21957000,26819000,238592000,40805000,None,197787000,164307000,239505000,266324000,197787000
2022-03-31,USD,454933000,755370000,300437000,300437000,185855000,140185000,108116000,269078000,None,-5496000,703000,1012000,None,-5187000,22503000,27736000,180359000,18431000,None,161928000,148397000,181371000,209107000,161928000
2021-12-31,USD,527048000,885046000,357998000,357998000,256435000,142747000,109965000,270613000,561000,-2466000,561000,2466000,800000,651000,23207000,5163000,255181000,31141000,2466000,224040000,213875000,257647000,262810000,224040000
2021-09-30,USD,571001000,950501000,379500000,379500000,322400000,134829000,107220000,248601000,626000,-3785000,626000,3785000,1000000,-21486000,22018000,5400000,297755000,41037000,3785000,256718000,245613000,301540000,306940000,256718000
2021-06-30,USD,646989000,1085728000,438739000,438739000,388872000,140187000,110021000,258117000,633000,-5566000,633000,5566000,100000,87000,21938000,5402000,384026000,55707000,5566000,328319000,334964000,389592000,394994000,328319000
2021-03-31,USD,461618000,781606000,319988000,319988000,233013000,129797000,100402000,228605000,808000,-6004000,808000,6004000,200000,-3824000,23910000,5536000,223993000,18481000,6004000,205512000,180673000,229997000,235533000,205512000
2020-12-31,USD,449789000,758969000,309180000,309179000,234080000,124279000,100795000,215709000,793000,-6351000,793000,6351000,758968000,-5597000,22008000,5752000,222925000,26595000,6351000,196330000,221600000,229276000,235028000,196330000
2020-09-30,USD,458928000,819484000,360556000,360556000,269661000,115840000,94909000,189267000,1071000,-6237000,1071000,6237000,-1200000,-764000,19806000,6219000,263731000,41013000,6237000,222718000,239466000,269968000,276187000,222718000
2020-06-30,USD,471473000,838661000,367188000,367188000,217949000,113259000,94102000,253524000,1368000,-6043000,1368000,6043000,400000,4017000,19816000,8941000,217291000,28383000,6043000,188908000,207521000,223334000,232275000,188908000
2020-03-31,USD,405550000,704355000,298805000,298805000,206718000,111388000,85159000,198832000,2751000,-5551000,2751000,5551000,2000000,-6849000,18489000,9891000,197069000,20878000,5551000,176191000,167932000,202620000,212511000,176191000
2019-12-31,USD,383238000,654650000,271412000,271412000,171656000,117092000,86794000,211582000,6145000,-5950000,-509000,5441000,654650000,-20514000,19292000,9784000,148886000,23811000,5950000,125075000,130440000,154327000,164111000,125075000
2019-09-30,USD,345038000,582038000,237000000,237000000,154921000,109166000,77804000,190117000,None,-523000,-219000,5463000,None,-2158000,None,29499000,151733000,15873000,None,135860000,None,157196000,166843000,135860000
2019-06-30,USD,323918000,564178000,240260000,240260000,133994000,108811000,81434000,189924000,5430000,-5800000,5430000,5800000,1300000,-1401000,17231000,10083000,131177000,33780000,5800000,97397000,105512000,136977000,147060000,97397000
2019-03-31,USD,287635000,494099000,206464000,206464000,93085000,102013000,76791000,194550000,8052000,-5713000,-193000,5520000,3200000,1425000,16651000,10634000,93979000,-15159000,5713000,109138000,106472000,99499000,110133000,109138000
2018-12-31,USD,309535000,519558000,210023000,210023000,112273000,100552000,74706000,197262000,9083000,-13182000,None,13182000,519558000,2954000,17485000,10558000,111128000,-32662000,13182000,143790000,127224000,124310000,134868000,143790000
2018-09-30,USD,333693000,566848000,233155000,233155000,143590000,100202000,77049000,190103000,6213000,-5557000,None,5557000,570548000,-3405000,16774000,11142000,140841000,20863000,5557000,119981000,127010000,146398000,157540000,119978000
2018-06-30,USD,307334000,526929000,219595000,219595000,120400000,99410000,75342000,186934000,5427000,-5639000,None,5639000,526929000,-176000,16820000,9793000,120012000,18975000,5639000,101037000,71652000,125651000,135444000,101037000
2018-03-31,USD,269832000,487467000,217635000,217635000,97534000,90505000,74408000,172298000,5981000,-6890000,None,6890000,487467000,-805000,16336000,7698000,95820000,8846000,6890000,86974000,96435000,102710000,110408000,86974000
