fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-12-31,USD,19560000000,2356600000,219000000,219000000,393800000,1408400000,17620400000,14214600000,9698600000,2779800000,2734600000,45200000,183500000,131300000,None,155500000,98400000,16894300000,3066700000,1448800000,198800000,34300000,834300000,11500100000,193000000,11536400000,800000000,None,11536400000,783600000,341200000,2665700000,464700000,-626800000,200000,226042229
2022-09-30,USD,19389900000,2497300000,192900000,192900000,471300000,1534900000,16931500000,13716400000,9542800000,2839700000,2839700000,None,187500000,136400000,None,112400000,149900000,17005400000,3393700000,1806400000,197100000,16500000,766500000,11282900000,39900000,11197800000,750000000,None,11197800000,820800000,367000000,2384500000,432000000,-944800000,200000,226257924
2022-06-30,USD,15334300000,2164100000,154000000,154000000,202200000,1612600000,13201100000,11878300000,9342000000,1038800000,1038800000,None,145200000,137100000,None,114500000,95500000,13264400000,3153400000,1901000000,169400000,14600000,414600000,7547700000,19600000,7460800000,400000000,None,7460800000,837800000,288100000,2069900000,350400000,-1137900000,200000,227062130
2022-03-31,USD,15295400000,1900500000,135900000,135900000,97500000,1567200000,13428900000,11653000000,9104300000,1066800000,1066800000,None,604800000,579800000,None,77900000,88000000,13598400000,2910400000,1803500000,170600000,13800000,283800000,7350800000,13600000,7248700000,270000000,None,7248700000,823100000,297900000,1697000000,276300000,-1734300000,200000,228180573
2021-12-31,USD,15208200000,1769800000,158500000,158500000,153400000,1331900000,13627300000,11667700000,8928400000,1140000000,1094800000,45200000,591000000,586500000,None,82900000,81700000,13196400000,2298500000,1402300000,171800000,150000000,137200000,6906500000,13700000,6597200000,150000000,None,6734400000,733400000,301600000,2011800000,204100000,-1822300000,200000,228221122
2021-09-30,USD,15972700000,1993300000,228600000,228600000,316800000,1291000000,14012300000,11922400000,8498700000,1284200000,1284200000,None,695700000,674600000,None,74200000,84800000,13787600000,2868300000,1652300000,165800000,340000000,327400000,6803600000,14700000,6786700000,340000000,None,7114100000,863400000,290800000,2185100000,164000000,-1508700000,200000,228962972
2021-06-30,USD,15411800000,1317900000,209000000,209000000,65600000,901800000,14135000000,11996600000,8316500000,1316900000,1316900000,None,703000000,685200000,685000000,64700000,88700000,13225600000,2102100000,1034500000,166700000,360000000,348300000,7023000000,15700000,6975500000,360000000,None,7323800000,695900000,295100000,2186200000,159500000,-1690900000,200000,228655274
2021-03-31,USD,15648400000,1408800000,248500000,248500000,51600000,997100000,14249100000,12060700000,8178000000,1349600000,1349600000,None,738500000,695700000,695000000,28400000,92300000,13351700000,1765000000,947700000,167600000,270000000,258000000,7547700000,16900000,7372700000,270000000,None,7630700000,535300000,295700000,2296700000,159500000,-1747100000,200000,228654590
2020-12-31,USD,15875700000,1460300000,242800000,242800000,181500000,862800000,14561300000,12173600000,8011400000,1427600000,1382400000,45200000,760200000,714000000,714000000,87700000,96100000,13221800000,1779400000,833800000,168500000,356500000,344400000,7894500000,18700000,7755700000,356500000,None,8100100000,577000000,309100000,2653900000,150900000,-1893500000,200000,228061853
2020-09-30,USD,16052100000,1444400000,275000000,275000000,261700000,609800000,14576700000,12292800000,7941500000,1417600000,1417600000,None,801300000,718800000,718000000,36700000,99000000,13217100000,1380900000,617700000,169400000,11900000,261900000,8090300000,20700000,7914100000,250000000,None,7914100000,415400000,307000000,2835000000,59000000,-1927100000,200000,233517921
