fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-12-31,USD,18081600000,6379200000,1220500000,1220500000,1993800000,2780100000,12164900000,1536100000,1912500000,8767700000,3264000000,5503700000,5100000,None,None,384800000,1398600000,11976400000,5686800000,2091600000,0,1048000000,1048000000,5609500000,None,4836300000,1048000000,3788300000,4836300000,2547200000,1154200000,6088600000,1719400000,8320900000,253300000,230200000
2022-09-30,USD,17739800000,6299100000,1080200000,1080200000,1949200000,2867400000,11440700000,1432100000,None,8611400000,3241100000,5370300000,None,None,None,402300000,1397200000,11871400000,5545500000,2061300000,0,1049900000,1049900000,5686800000,None,3787500000,1049900000,3787500000,4837400000,2434300000,1168400000,5858300000,1719400000,8320400000,254800000,231900000
2022-06-30,USD,17680800000,6125200000,1090200000,1090200000,1886900000,2758200000,11555600000,1425900000,None,8739100000,3282500000,5456600000,None,None,None,389900000,1390600000,11941500000,5630300000,2000200000,0,1049800000,1049800000,5694700000,None,3786700000,1049800000,3786700000,4836500000,2580300000,1150800000,5723500000,1719400000,8003700000,256200000,233800000
2022-03-31,USD,17636900000,6030500000,1348400000,1348400000,1872300000,2429800000,11606400000,1422200000,None,8767700000,3271300000,5496400000,None,None,None,380000000,1416500000,11620400000,4594400000,1931600000,0,350400000,350400000,6439300000,None,4492600000,350400000,4492600000,4843000000,2312400000,1165800000,5998600000,1719400000,8098700000,258300000,234600000
2021-12-31,USD,18059800000,6470900000,2159200000,2159200000,1530800000,2429400000,11588900000,1398800000,1817300000,8810400000,3305600000,5504800000,15500000,None,None,351500000,1379700000,11786700000,4752400000,1787300000,0,350400000,350400000,6452800000,None,4842100000,350400000,4491700000,4842100000,2614700000,1150200000,6255900000,1719400000,8353200000,259700000,237200000
2021-09-30,USD,18202200000,6991400000,2738800000,2738800000,1482800000,2432300000,11210800000,1336700000,None,8508500000,3198400000,5310100000,None,None,None,337500000,1365600000,11714500000,4313500000,1757800000,1179000000,350400000,350400000,6802100000,None,4490700000,350400000,4490700000,4841100000,2205300000,1334300000,6475100000,1719400000,8626500000,262000000,238200000
2021-06-30,USD,18369400000,7125100000,2912400000,2912400000,1386300000,2532100000,11244300000,1324900000,None,8561500000,3227400000,5334100000,None,None,None,294300000,1357900000,11896700000,4512900000,1833200000,1147500000,475400000,475400000,6789700000,None,4489800000,475400000,4489800000,4965200000,2204300000,1295300000,6457300000,1719400000,8566200000,262700000,239900000
2021-03-31,USD,17824800000,6622100000,2838000000,2838000000,1373100000,2159400000,11202700000,1327700000,None,8568100000,3256900000,5311200000,None,None,None,251600000,1306900000,11512000000,4174600000,1608900000,1101200000,475400000,475400000,6774400000,None,4496300000,475400000,4496300000,4971700000,2090300000,1269900000,6296700000,1719400000,8452300000,263600000,239400000
2020-12-31,USD,18156700000,6905600000,3289900000,3289900000,1189200000,2202100000,11251100000,1349500000,1755200000,8629200000,3286400000,5342800000,None,None,None,224400000,1272400000,11729600000,4338900000,1520200000,1077000000,775600000,775600000,6812200000,None,5272100000,775600000,4496500000,5272100000,2043100000,1291100000,6407700000,1719400000,8495300000,263300000,240400000
2020-09-30,USD,17939400000,6973500000,3190100000,3190100000,1229200000,2312600000,11405400000,1314100000,None,8377300000,3233000000,5144300000,None,None,None,241600000,1274500000,11558400000,4170100000,1458800000,1027600000,775100000,631100000,7054000000,None,4494200000,144000000,4494200000,5269300000,1936200000,1281400000,6366700000,1719400000,8489300000,264500000,240400000
2020-06-30,USD,17223600000,6344700000,2366800000,2366800000,1353000000,2316400000,11319400000,1314700000,None,8348000000,3257300000,5090700000,None,None,None,308500000,1216200000,11264100000,3829200000,1368200000,994300000,649900000,507300000,7157800000,None,4618200000,142600000,4618200000,5268100000,1811100000,1226800000,5936900000,1719400000,8222100000,263800000,240000000
2020-03-31,USD,17635600000,6559800000,2647700000,2647700000,1463700000,2091800000,11529500000,1326200000,None,8371300000,3289000000,5082300000,None,None,None,356600000,1378300000,11845800000,4240800000,1446700000,979400000,949700000,806300000,7359700000,None,4624800000,143400000,4624800000,5574500000,1844400000,1410800000,5772600000,1719400000,8127900000,263700000,239500000
2019-12-31,USD,20492300000,9293800000,1278600000,1303600000,1278600000,2184600000,14835100000,1352000000,1603500000,10931900000,3323600000,5125700000,None,None,25000000,344800000,1397200000,13179900000,5238600000,1381300000,1042900000,650300000,478300000,8712400000,None,5573400000,172000000,4922900000,6051700000,2402200000,1398200000,7267600000,1719400000,9730800000,262800000,240100000
2019-09-30,USD,20306900000,6103100000,805900000,830900000,1890600000,2968900000,14203800000,1779100000,None,10887200000,4174400000,6712800000,None,None,25000000,412700000,1537500000,13027800000,4776100000,1758800000,None,650500000,650500000,8251700000,None,4921900000,650500000,4921900000,5572400000,2366800000,1484700000,7237600000,1719400000,9762700000,264100000,241700000
2019-06-30,USD,20667600000,6351500000,850600000,875600000,1950500000,3108300000,14316100000,1794100000,None,11089900000,4230300000,6859600000,None,None,25000000,417100000,1432100000,13494700000,5180200000,1889900000,None,829200000,829200000,8314500000,None,4920600000,829200000,4920600000,5749800000,2461100000,1471900000,7130500000,1719400000,9497200000,265900000,242100000
