fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-12-31,USD,65449000000,3952000000,973000000,1019000000,741000000,1891000000,61497000000,56038000000,23217000000,729000000,729000000,None,2421000000,2375000000,46000000,301000000,1412000000,53286000000,5520000000,784000000,None,1878000000,200000000,47766000000,1300000000,33326000000,1678000000,None,33526000000,3842000000,1785000000,12163000000,54004000000,58887000000,2782000000,612393321
2022-09-30,USD,65343000000,4405000000,1267000000,1313000000,794000000,2052000000,60938000000,55689000000,23052000000,None,None,None,2360000000,2314000000,46000000,246000000,1232000000,53600000000,5712000000,916000000,None,1878000000,200000000,47888000000,1629000000,31744000000,1678000000,None,200000000,1938000000,1973000000,11743000000,53309000000,58047000000,2782000000,615789169
2022-06-30,USD,64440000000,3976000000,788000000,834000000,790000000,2052000000,60464000000,55315000000,22758000000,None,None,None,2333000000,2287000000,46000000,300000000,1156000000,51730000000,6002000000,896000000,None,2584000000,250000000,45728000000,1609000000,29673000000,2334000000,None,250000000,1732000000,1983000000,12710000000,51218000000,56958000000,2781000000,625168003
2022-03-31,USD,64051000000,3876000000,909000000,955000000,726000000,1958000000,60175000000,55064000000,22531000000,None,None,None,2325000000,2279000000,46000000,237000000,1105000000,52154000000,5462000000,868000000,None,1859000000,300000000,46692000000,1596000000,30680000000,1559000000,None,300000000,1552000000,1982000000,11897000000,50515000000,55937000000,2782000000,628202430
2021-12-31,USD,63525000000,3551000000,960000000,1006000000,621000000,1722000000,59974000000,54871000000,22404000000,None,None,None,2287000000,2241000000,46000000,202000000,1075000000,49364000000,5744000000,752000000,None,2566000000,400000000,43620000000,1429000000,29729000000,2166000000,None,30129000000,1673000000,1953000000,14161000000,47734000000,55049000000,2781000000,638841656
2021-09-30,USD,62360000000,3810000000,1194000000,1240000000,664000000,1679000000,58503000000,54362000000,22126000000,None,None,None,2319000000,2273000000,46000000,227000000,285000000,48443000000,5111000000,683000000,None,2035000000,200000000,43332000000,1568000000,27560000000,1835000000,None,200000000,1543000000,2010000000,13917000000,46372000000,54094000000,2781000000,644407285
2021-06-30,USD,62073000000,3764000000,1115000000,1161000000,688000000,1666000000,58264000000,54148000000,21834000000,None,None,None,2323000000,2277000000,46000000,249000000,249000000,47770000000,4357000000,612000000,None,1310000000,200000000,43413000000,1553000000,27702000000,1110000000,None,200000000,1569000000,2066000000,14303000000,44542000000,53116000000,2781000000,652954892
2021-03-31,USD,61793000000,3719000000,1183000000,1243000000,659000000,1610000000,58031000000,54062000000,21558000000,None,None,None,2227000000,2167000000,60000000,207000000,264000000,45539000000,4871000000,634000000,None,1625000000,60000000,40668000000,1465000000,25117000000,1565000000,None,60000000,1404000000,2073000000,16254000000,41826000000,52019000000,2781000000,665134519
2020-12-31,USD,62398000000,4214000000,1799000000,1859000000,638000000,1505000000,58503000000,54161000000,21259000000,None,None,None,2224000000,2164000000,60000000,212000000,249000000,45440000000,4173000000,612000000,None,1144000000,75000000,41267000000,340000000,26729000000,960000000,None,26804000000,1536000000,2077000000,16958000000,40420000000,51326000000,2781000000,671351360
2020-09-30,USD,63714000000,5130000000,2601000000,2661000000,649000000,1565000000,58978000000,54375000000,21012000000,None,None,None,2131000000,2071000000,60000000,255000000,496000000,46515000000,4841000000,649000000,None,2180000000,200000000,41674000000,374000000,25706000000,1885000000,None,200000000,1354000000,1973000000,17199000000,39680000000,50600000000,2781000000,675033254
2020-06-30,USD,63555000000,5083000000,2706000000,2766000000,668000000,1388000000,58855000000,54270000000,20747000000,None,None,None,2102000000,2042000000,60000000,261000000,460000000,47103000000,5279000000,595000000,None,2190000000,200000000,40504000000,427000000,26439000000,1885000000,None,200000000,1405000000,1894000000,16452000000,38984000000,49892000000,2781000000,678710739
2020-03-31,USD,62216000000,3804000000,1130000000,1190000000,692000000,1669000000,58818000000,54121000000,20537000000,None,None,None,2138000000,2078000000,60000000,253000000,440000000,46225000000,4641000000,711000000,None,1711000000,200000000,40245000000,433000000,26365000000,1392000000,None,200000000,1339000000,1792000000,15991000000,38992000000,49419000000,2781000000,678558571
2019-12-31,USD,61673000000,3459000000,831000000,891000000,751000000,1595000000,58647000000,53916000000,20330000000,633000000,633000000,None,2110000000,2050000000,60000000,222000000,436000000,43545000000,4351000000,749000000,None,1457000000,200000000,25731000000,491000000,25200000000,1143000000,None,25400000000,1487000000,1788000000,18128000000,36424000000,48605000000,2780000000,692100651
2019-09-30,USD,61978000000,4073000000,1250000000,1310000000,771000000,1650000000,58357000000,53488000000,20641000000,638000000,638000000,None,2063000000,2003000000,60000000,342000000,483000000,43962000000,4587000000,711000000,None,1621000000,200000000,26089000000,502000000,24314000000,1307000000,None,200000000,1498000000,1775000000,18016000000,35839000000,47875000000,2780000000,695495657
2019-06-30,USD,61708000000,4086000000,1049000000,1109000000,775000000,1809000000,58093000000,53115000000,20416000000,656000000,656000000,None,2049000000,1989000000,60000000,393000000,442000000,43537000000,5665000000,746000000,None,2972000000,675000000,24686000000,539000000,22955000000,2185000000,None,675000000,1536000000,1731000000,18171000000,34262000000,46997000000,2780000000,704942478
2019-03-31,USD,61319000000,3953000000,1059000000,1119000000,780000000,1672000000,55192000000,52856000000,20203000000,625000000,625000000,None,2011000000,1951000000,60000000,382000000,413000000,43577000000,5262000000,794000000,None,2203000000,500000000,36652000000,560000000,23409000000,1604000000,None,500000000,1414000000,1835000000,17742000000,33638000000,46049000000,2780000000,708456092
2018-12-31,USD,59147000000,4163000000,1273000000,1333000000,742000000,1755000000,54957000000,52679000000,20126000000,624000000,624000000,None,1972000000,1912000000,60000000,333000000,393000000,38724000000,4626000000,872000000,None,1666000000,200000000,34098000000,None,22391000000,1466000000,None,22591000000,1594000000,1871000000,20423000000,30674000000,45284000000,2779000000,725056690
2018-09-30,USD,59312000000,4816000000,1810000000,1900000000,789000000,1792000000,54469000000,52210000000,19957000000,636000000,636000000,None,1977000000,1887000000,90000000,335000000,399000000,38667000000,4529000000,905000000,None,1668000000,200000000,34138000000,None,20943000000,1468000000,None,200000000,1512000000,1925000000,20645000000,28858000000,44313000000,2779000000,737518106
2018-06-30,USD,58689000000,4494000000,1604000000,1694000000,772000000,1634000000,54171000000,51947000000,19799000000,645000000,645000000,None,1946000000,1856000000,90000000,394000000,392000000,38780000000,4372000000,844000000,None,1656000000,200000000,34408000000,None,21357000000,1456000000,None,200000000,1493000000,1942000000,19909000000,28531000000,43311000000,2779000000,739460041
2018-03-31,USD,57789000000,3897000000,1048000000,1138000000,808000000,1571000000,53873000000,51696000000,19475000000,637000000,637000000,None,1900000000,1810000000,90000000,380000000,386000000,33400000000,4746000000,768000000,None,2528000000,637000000,28654000000,None,15697000000,1891000000,None,637000000,1446000000,1907000000,24389000000,23800000000,42359000000,2779000000,772517399
