fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-12-31,USD,25069000000,35251000000,10182000000,15762000000,7225000000,8046000000,None,13131000000,None,-1105000000,1101000000,1105000000,23000000,2687000000,None,4218000000,8690000000,2113000000,1082000000,6698000000,6412000000,9795000000,14013000000,6577000000
2022-09-30,USD,22495000000,34241000000,11746000000,14601000000,7894000000,7422000000,None,11746000000,None,-937000000,935000000,937000000,50000000,-439000000,None,4324000000,6396000000,1496000000,887000000,5024000000,4520000000,7333000000,11657000000,4900000000
2022-06-30,USD,21956000000,33789000000,11833000000,14420000000,7552000000,7496000000,None,11833000000,None,-785000000,21000000,785000000,50000000,49000000,None,4321000000,6741000000,1542000000,735000000,5315000000,4785000000,7526000000,11847000000,5199000000
2022-03-31,USD,22146000000,33554000000,11408000000,14350000000,7796000000,7172000000,None,11736000000,None,-786000000,10000000,786000000,-1200000000,-924000000,None,4236000000,5952000000,1372000000,1986000000,4711000000,4601000000,6738000000,10974000000,4580000000
2021-12-31,USD,26283000000,34067000000,7784000000,14996000000,7608000000,7412000000,None,11048000000,None,-739000000,604000000,739000000,-1390000000,-860000000,None,4051000000,6020000000,1407000000,3180000000,4737000000,4395000000,6759000000,10810000000,4613000000
2021-09-30,USD,22330000000,32915000000,10585000000,13528000000,8905000000,6521000000,None,10585000000,None,-801000000,800000000,801000000,0,269000000,None,3961000000,8227000000,1820000000,801000000,6554000000,5932000000,9028000000,12989000000,6407000000
2021-06-30,USD,22420000000,33764000000,11344000000,14255000000,8165000000,7324000000,None,11344000000,None,-844000000,843000000,844000000,-1100000000,502000000,None,4020000000,7675000000,1875000000,1944000000,5949000000,4926000000,8519000000,12539000000,5800000000
2021-03-31,USD,21292000000,32867000000,11575000000,13522000000,7770000000,7401000000,None,11799000000,None,-1101000000,1093000000,1101000000,2200000000,401000000,None,4174000000,6945000000,1700000000,1101000000,5378000000,5956000000,8046000000,12220000000,5245000000
2020-12-31,USD,21356000000,34692000000,13336000000,14822000000,7180000000,8493000000,None,13317000000,None,-1080000000,1091000000,1080000000,-129000000,164000000,None,4197000000,6123000000,1535000000,1209000000,4718000000,5329000000,7203000000,11400000000,4588000000
2020-09-30,USD,20012000000,31543000000,11531000000,12334000000,7678000000,7339000000,None,11531000000,None,-1044000000,1040000000,1044000000,0,-774000000,None,4192000000,5704000000,1347000000,1044000000,4504000000,4819000000,6748000000,10940000000,4357000000
2020-06-30,USD,19110000000,30447000000,11337000000,11749000000,7361000000,7156000000,None,11337000000,None,-1089000000,16000000,1089000000,-102000000,-72000000,None,4181000000,6048000000,1348000000,1089000000,4839000000,4928000000,7137000000,11318000000,4700000000
2020-03-31,USD,18875000000,31610000000,12735000000,12296000000,6579000000,8585000000,None,13288000000,None,-1034000000,20000000,1034000000,204000000,143000000,None,4150000000,5545000000,1389000000,1034000000,4287000000,1656000000,6579000000,10729000000,4156000000
2019-12-31,USD,34589000000,34775000000,186000000,15631000000,6639000000,8214000000,None,186000000,None,-1159000000,27000000,1159000000,-3510000000,-1773000000,None,4105000000,3590000000,-1505000000,4763000000,6639000000,4989000000,4749000000,8854000000,5095000000
2019-09-30,USD,21564000000,32894000000,11330000000,13384000000,8180000000,7216000000,None,11069000000,None,-1146000000,34000000,1146000000,1406000000,-110000000,None,4114000000,6780000000,1586000000,1146000000,5337000000,4851000000,7926000000,12040000000,5194000000
2019-06-30,USD,20571000000,32071000000,11500000000,12721000000,7850000000,7268000000,None,11500000000,None,-1215000000,1197000000,1215000000,None,-1312000000,None,4232000000,5180000000,1236000000,1215000000,4074000000,3175000000,6395000000,10627000000,3944000000
2019-03-31,USD,20544000000,32128000000,11584000000,12990000000,7709000000,7198000000,None,11748000000,None,-1210000000,29000000,1210000000,None,295000000,None,4231000000,6660000000,1628000000,1210000000,5160000000,4878000000,7870000000,12101000000,5032000000
2018-12-31,USD,34281000000,34281000000,4600000000,15291000000,637000000,9410000000,None,4600000000,None,-1199000000,None,1199000000,0,1865000000,None,4352000000,1241000000,-698000000,1199000000,637000000,1108000000,2440000000,6792000000,1939000000
2018-09-30,USD,20869000000,32607000000,11738000000,13331000000,7675000000,7224000000,None,11738000000,None,-1211000000,None,1211000000,-500000000,214000000,None,4377000000,6537000000,1613000000,1711000000,5062000000,4920000000,7748000000,12125000000,4924000000
2018-06-30,USD,19828000000,32203000000,12375000000,13631000000,6617000000,7605000000,None,12375000000,None,-1222000000,None,1222000000,0,360000000,None,4350000000,5401000000,1281000000,1222000000,4246000000,3620000000,6623000000,10973000000,4120000000
2018-03-31,USD,7138000000,31772000000,24634000000,13255000000,7349000000,6844000000,None,11514000000,None,-1201000000,None,1201000000,-200000000,-75000000,None,4324000000,5933000000,1388000000,1401000000,4666000000,4961000000,7134000000,11458000000,4545000000
