fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-12-31,USD,645000000,3337000000,4954000000,4278000000,-1432000000,537000000,None,2627000000,None,-64000000,91000000,64000000,3401000000,-39000000,None,131000000,-1535000000,69000000,64000000,-1610000000,-1755000000,-1471000000,-1340000000,-1604000000
2022-09-30,USD,680000000,4742000000,4561000000,4104000000,221000000,446000000,None,459000000,None,-40000000,19000000,40000000,4782000000,17000000,None,118000000,196000000,53000000,40000000,147000000,294000000,236000000,354000000,143000000
2022-06-30,USD,897000000,4706000000,5057000000,4200000000,-306000000,461000000,None,1203000000,None,-45000000,19000000,45000000,4751000000,20000000,None,114000000,-334000000,37000000,45000000,-369000000,-162000000,-289000000,-175000000,-371000000
2022-03-31,USD,851000000,4936000000,4562000000,4069000000,461000000,376000000,None,400000000,None,-41000000,7000000,41000000,4977000000,2000000,None,112000000,419000000,106000000,41000000,321000000,371000000,460000000,572000000,313000000
2021-12-31,USD,1062000000,5774000000,5427000000,4753000000,494000000,555000000,None,1119000000,None,-41000000,18000000,41000000,5815000000,-148000000,None,116000000,463000000,165000000,41000000,308000000,353000000,504000000,620000000,298000000
2021-09-30,USD,1108000000,5429000000,4921000000,4380000000,552000000,524000000,None,556000000,None,-44000000,78000000,44000000,5473000000,78000000,None,119000000,571000000,100000000,44000000,486000000,517000000,615000000,734000000,471000000
2021-06-30,USD,1090000000,5399000000,4761000000,4234000000,683000000,509000000,None,407000000,None,-45000000,9000000,45000000,5444000000,36000000,None,118000000,675000000,94000000,45000000,580000000,810000000,720000000,838000000,581000000
2021-03-31,USD,1148000000,5313000000,4864000000,4210000000,618000000,493000000,None,654000000,None,-45000000,19000000,45000000,5358000000,26000000,None,141000000,592000000,159000000,45000000,440000000,557000000,637000000,778000000,433000000
2020-12-31,USD,1364000000,5798000000,4434000000,4434000000,716000000,523000000,None,-89000000,None,-47000000,63000000,47000000,5798000000,None,None,154000000,648000000,151000000,47000000,699000000,432000000,695000000,849000000,497000000
2020-09-30,USD,1148000000,5247000000,4728000000,4143000000,563000000,513000000,None,585000000,None,-51000000,29000000,51000000,5298000000,22000000,None,146000000,533000000,141000000,51000000,398000000,374000000,584000000,730000000,392000000
2020-06-30,USD,625000000,3993000000,3965000000,3417000000,71000000,421000000,None,554000000,None,-49000000,15000000,49000000,4042000000,15000000,None,133000000,47000000,17000000,49000000,25000000,19000000,96000000,229000000,30000000
2020-03-31,USD,703000000,4283000000,4185000000,3622000000,263000000,420000000,None,560000000,None,-42000000,1000000,42000000,4325000000,1000000,None,135000000,227000000,73000000,42000000,147000000,57000000,269000000,404000000,154000000
2019-12-31,USD,1048000000,5382000000,4334000000,4334000000,424000000,562000000,None,-88000000,None,-39000000,54000000,39000000,5382000000,-54000000,None,144000000,325000000,37000000,39000000,370000000,257000000,364000000,508000000,288000000
2019-09-30,USD,741000000,5562000000,4914000000,4350000000,693000000,491000000,None,48000000,None,-45000000,29000000,45000000,5607000000,29000000,None,141000000,671000000,313000000,45000000,364000000,413000000,716000000,857000000,358000000
2019-06-30,USD,932000000,5055000000,4916000000,4254000000,191000000,584000000,None,741000000,None,-52000000,63000000,52000000,5107000000,63000000,None,160000000,197000000,130000000,52000000,72000000,11000000,249000000,409000000,67000000
2019-03-31,USD,812000000,4709000000,4621000000,3948000000,263000000,505000000,None,673000000,None,-51000000,130000000,51000000,4760000000,130000000,None,142000000,339000000,-132000000,51000000,474000000,564000000,390000000,532000000,471000000
2018-12-31,USD,950000000,5660000000,4710000000,4710000000,309000000,593000000,572000000,1377000000,None,-51000000,None,51000000,5660000000,-2000000,None,154000000,256000000,86000000,51000000,307000000,67000000,307000000,461000000,170000000
2018-09-30,USD,895000000,5274000000,5027000000,4431000000,299000000,550000000,None,596000000,None,-52000000,None,52000000,5326000000,-24000000,None,152000000,217000000,7000000,52000000,216000000,124000000,269000000,421000000,210000000
2018-06-30,USD,880000000,5093000000,5612000000,4260000000,-472000000,541000000,None,1352000000,None,-47000000,None,47000000,5140000000,-90000000,None,162000000,-627000000,30000000,47000000,-639000000,-820000000,-580000000,-418000000,-657000000
2018-03-31,USD,812000000,4911000000,4099000000,4099000000,143000000,505000000,None,826000000,None,-42000000,None,42000000,4911000000,8000000,None,177000000,109000000,15000000,42000000,94000000,99000000,151000000,328000000,94000000
