fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-12-31,USD,5846000000,1609000000,367000000,367000000,None,680000000,4301000000,1171000000,1283000000,992000000,354000000,638000000,None,116000000,None,594000000,1324000000,14722000000,1665000000,None,434000000,398000000,398000000,13057000000,867000000,23959000000,405000000,None,24357000000,425000000,1604000000,-8876000000,None,-8507000000,0,283000000
2022-09-30,USD,5779000000,1595000000,410000000,410000000,None,579000000,4918000000,1114000000,1262000000,974000000,341000000,633000000,None,127000000,None,606000000,1429000000,14321000000,1244000000,None,404000000,151000000,72000000,13798000000,54000000,11517000000,79000000,None,-19000000,1156000000,1560000000,-8542000000,None,-8244000000,0,285000000
2022-06-30,USD,5790000000,1429000000,412000000,412000000,None,598000000,5137000000,1192000000,1299000000,1010000000,361000000,649000000,None,104000000,None,419000000,1457000000,14358000000,1183000000,None,426000000,151000000,72000000,13934000000,62000000,11540000000,79000000,None,-22000000,21000000,1635000000,-8568000000,None,-8274000000,0,286000000
2022-03-31,USD,5816000000,1356000000,365000000,365000000,None,565000000,5251000000,1181000000,1287000000,1010000000,354000000,656000000,None,122000000,None,426000000,1485000000,14307000000,1302000000,None,418000000,153000000,73000000,13781000000,64000000,79000000,80000000,None,152000000,27000000,1673000000,-8491000000,None,-8199000000,0,289000000
2021-12-31,USD,5966000000,1532000000,486000000,486000000,None,646000000,4502000000,1207000000,1270000000,1016000000,359000000,657000000,None,118000000,None,400000000,1487000000,14339000000,1415000000,None,421000000,68000000,68000000,12924000000,64000000,22457000000,75000000,None,22525000000,1019000000,1746000000,-8373000000,None,-8048000000,0,294000000
2021-09-30,USD,6419000000,2062000000,1001000000,1001000000,None,548000000,5192000000,1193000000,1274000000,1011000000,361000000,650000000,None,None,None,513000000,1459000000,14274000000,1355000000,None,411000000,135000000,64000000,13730000000,67000000,11189000000,71000000,None,-33000000,26000000,1730000000,-7855000000,None,-7524000000,0,296000000
2021-06-30,USD,5649000000,1514000000,552000000,552000000,None,525000000,4982000000,1211000000,1279000000,949000000,352000000,597000000,None,None,None,437000000,1408000000,13542000000,1558000000,None,413000000,807000000,400000000,12805000000,None,10258000000,407000000,None,313000000,16000000,1726000000,-7893000000,None,-7569000000,0,298000000
2021-03-31,USD,5550000000,1454000000,561000000,561000000,None,508000000,4936000000,1215000000,1251000000,951000000,354000000,597000000,None,None,None,385000000,1416000000,13462000000,1479000000,None,407000000,795000000,394000000,12799000000,None,10229000000,401000000,None,312000000,24000000,1754000000,-7912000000,None,-7566000000,0,301000000
2020-12-31,USD,5852000000,1689000000,730000000,730000000,None,569000000,5126000000,1235000000,1230000000,940000000,343000000,597000000,None,None,None,390000000,1435000000,13743000000,1675000000,None,415000000,453000000,453000000,12068000000,72000000,21394000000,463000000,None,21847000000,841000000,1796000000,-7891000000,None,-7480000000,0,302000000
2020-09-30,USD,6061000000,2030000000,1110000000,1110000000,None,522000000,4852000000,1229000000,1201000000,929000000,339000000,590000000,None,None,None,398000000,1361000000,13980000000,1553000000,None,414000000,898000000,444000000,12427000000,None,10647000000,454000000,None,352000000,-503000000,1780000000,-7919000000,None,-7490000000,23000000,303000000
2020-06-30,USD,6421000000,2398000000,1243000000,1243000000,None,530000000,4817000000,1265000000,1167000000,946000000,344000000,602000000,None,None,None,625000000,1313000000,14529000000,1475000000,None,420000000,878000000,434000000,13054000000,None,11252000000,444000000,None,340000000,133000000,1802000000,-8108000000,None,-7631000000,11000000,303000000
2020-03-31,USD,6085000000,1991000000,1154000000,1154000000,None,511000000,4867000000,1252000000,1114000000,943000000,347000000,596000000,None,115000000,None,326000000,1398000000,14314000000,1500000000,None,424000000,887000000,447000000,12814000000,None,11059000000,440000000,None,356000000,125000000,1755000000,-8229000000,None,-7695000000,15000000,302000000
2019-12-31,USD,5231000000,1527000000,605000000,605000000,None,623000000,4009000000,1170000000,1136000000,774000000,244000000,530000000,None,137000000,None,299000000,1313000000,13247000000,1541000000,173000000,441000000,868000000,431000000,11706000000,70000000,21060000000,441000000,None,21491000000,349000000,1575000000,-8016000000,None,-7628000000,0,303000000
2019-09-30,USD,5003000000,1548000000,691000000,691000000,None,527000000,3924000000,1151000000,1128000000,764000000,243000000,521000000,None,193000000,None,330000000,1316000000,13100000000,987000000,None,418000000,244000000,84000000,12113000000,62000000,10429000000,84000000,None,-10000000,33000000,1622000000,-8097000000,None,-7669000000,0,306000000
2019-06-30,USD,4674000000,1122000000,252000000,252000000,None,535000000,4037000000,1193000000,1135000000,769000000,243000000,526000000,None,256000000,None,335000000,1378000000,12668000000,1186000000,None,419000000,736000000,325000000,11482000000,63000000,9869000000,331000000,None,231000000,63000000,1613000000,-7994000000,None,-7614000000,0,307000000
2019-03-31,USD,4744000000,1186000000,278000000,278000000,None,543000000,3356000000,1212000000,1126000000,772000000,243000000,529000000,None,244000000,None,365000000,1372000000,12648000000,1327000000,None,419000000,669000000,338000000,11321000000,65000000,9671000000,331000000,None,247000000,71000000,1585000000,-7904000000,None,-7580000000,0,308000000
2018-12-31,USD,4130000000,1207000000,292000000,292000000,None,561000000,2728000000,1237000000,1116000000,767000000,242000000,525000000,None,243000000,None,318000000,724000000,12056000000,1301000000,202000000,414000000,652000000,321000000,10755000000,None,9690000000,331000000,None,20418000000,347000000,1004000000,-7926000000,None,-7592000000,0,313000000
2018-09-30,USD,4155000000,1169000000,198000000,198000000,None,528000000,2837000000,1378000000,1291000000,573000000,84000000,489000000,None,468000000,108000000,443000000,886000000,11613000000,1194000000,None,395000000,596000000,295000000,10419000000,None,9407000000,301000000,None,198000000,14000000,1014000000,-7458000000,None,-7141000000,0,318000000
2018-06-30,USD,4326000000,1203000000,313000000,313000000,None,527000000,2912000000,1533000000,1418000000,592000000,90000000,502000000,None,372000000,80000000,363000000,787000000,11573000000,924000000,None,394000000,105000000,54000000,10649000000,None,9554000000,51000000,None,-40000000,48000000,1037000000,-7247000000,None,-6965000000,0,324000000
2018-03-31,USD,4836000000,1889000000,982000000,982000000,None,501000000,2760000000,1651000000,1467000000,619000000,105000000,514000000,None,79000000,84000000,406000000,490000000,11590000000,1109000000,None,395000000,128000000,61000000,10481000000,None,9339000000,67000000,None,-33000000,124000000,1062000000,-6754000000,None,-6539000000,0,332000000
