fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2020-12-31,4176000000,1135000000,31331000000,1294000000,0.877,0.036,0.602,0.332,0.359
2020-09-30,2448000000,698000000,31331000000,1294000000,0.539,0.022,-0.097,-0.266,-0.258
2020-06-30,2450000000,671000000,30815000000,1294000000,0.519,0.022,-0.086,-0.284,-0.26
2020-03-31,2617000000,795000000,26270000000,1294000000,0.614,0.03,-0.039,-0.175,-0.143
2019-12-31,2606000000,852000000,21745000000,1320000000,0.645,0.039,-0.024,-0.089,-0.06
2019-09-30,2711000000,951000000,21354000000,1308000000,0.727,0.045,0.051,0.03,0.074
2019-06-30,2681000000,937000000,21320000000,1337000000,0.701,0.044,0.078,0.082,0.104
2019-03-31,2723000000,964000000,21625000000,1344000000,0.717,0.045,0.136,0.231,0.248
2018-12-31,2669000000,935000000,20670000000,1361000000,0.687,0.045,0.19,0.566,0.557
2018-09-30,2579000000,923000000,20834000000,1364000000,0.677,0.044,0.191,0.494,0.481
2018-06-30,2486000000,866000000,20097000000,1364000000,0.635,0.043,,,
2018-03-31,2398000000,783000000,19330000000,1362000000,0.575,0.041,,,
2017-12-31,2242000000,597000000,18525000000,1353000000,0.441,0.032,,,
2017-09-30,2165000000,618000000,18027000000,1353000000,0.457,0.034,,,
2020-12-31,11691000000,3299000000,21745000000,1320000000,2.499,0.152,0.09,-0.109,-0.109
2019-12-31,10721000000,3704000000,21745000000,1320000000,2.806,0.17,0.058,0.056,0.089
2018-12-31,10132000000,3507000000,20670000000,1361000000,2.577,0.17,0.176,0.49,0.481
2017-12-31,8618000000,2354000000,18525000000,1353000000,1.74,0.127,,,
