fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-09-30,USD,33953000000,4020000000,2483000000,2483000000,1106000000,52000000,20161000000,1587000000,2822000000,17530000000,12353000000,5177000000,9814000000,9814000000,None,379000000,1002000000,38185000000,8097000000,417000000,310000000,1443000000,0,30088000000,None,26300000000,1443000000,24848000000,26300000000,6237000000,278000000,-4232000000,37442000000,28785000000,935000000,1799000000
2022-06-30,USD,36746000000,4086000000,2567000000,2567000000,1144000000,43000000,20111000000,1557000000,2788000000,17549000000,12372000000,5177000000,12590000000,12590000000,None,332000000,964000000,39149000000,8311000000,396000000,303000000,2634000000,0,30838000000,None,27680000000,2634000000,25046000000,27680000000,5281000000,260000000,-2403000000,37074000000,30252000000,935000000,1809000000
2022-03-31,USD,40235000000,6762000000,5353000000,5353000000,1214000000,46000000,20044000000,1547000000,2753000000,17466000000,12289000000,5177000000,13479000000,13479000000,None,149000000,981000000,41995000000,10928000000,379000000,247000000,2517000000,0,31067000000,None,27922000000,2517000000,25405000000,27922000000,8032000000,259000000,-1760000000,36569000000,30988000000,935000000,1818000000
2021-12-31,USD,39523000000,6083000000,4544000000,4544000000,1194000000,47000000,20009000000,1553000000,2879000000,17483000000,12306000000,5177000000,13481000000,13481000000,13481000000,298000000,923000000,41129000000,8579000000,449000000,287000000,1105000000,0,32550000000,None,28044000000,1105000000,26939000000,28044000000,7025000000,283000000,-1606000000,36006000000,30664000000,935000000,1823175618
2021-09-30,USD,39564000000,6020000000,2957000000,2957000000,1133000000,36000000,19715000000,1518000000,2900000000,17503000000,12326000000,5177000000,13874000000,13874000000,19831000000,404000000,649000000,40790000000,8112000000,266000000,260000000,1105000000,0,32678000000,None,28127000000,1105000000,27022000000,28127000000,6741000000,307000000,-1267000000,35303000000,30685000000,935000000,1842000000
2021-06-30,USD,44388000000,4184000000,1877000000,1877000000,1794000000,132000000,20418000000,1933000000,3170000000,17757000000,12580000000,5177000000,19831000000,19831000000,19831000000,381000000,683000000,41088000000,5783000000,260000000,339000000,0,0,35305000000,None,28241000000,0,28241000000,28241000000,5523000000,357000000,3257000000,34981000000,35065000000,935000000,1849000000
2021-03-31,USD,48776000000,8029000000,5792000000,5792000000,1948000000,142000000,20662000000,1982000000,3172000000,17775000000,12598000000,5177000000,20133000000,20133000000,19831000000,147000000,857000000,45741000000,10004000000,271000000,264000000,1500000000,0,35737000000,None,29700000000,1500000000,28180000000,29700000000,8233000000,397000000,2913000000,34660000000,34507000000,935000000,1857000000
2020-12-31,USD,47414000000,7117000000,4945000000,4945000000,1966000000,137000000,20828000000,2012000000,3138000000,17792000000,12615000000,5177000000,19529000000,19529000000,19529000000,69000000,964000000,44449000000,9063000000,380000000,301000000,1500000000,0,35386000000,None,29471000000,1500000000,27971000000,29471000000,7183000000,381000000,2839000000,34344000000,34679000000,935000000,1858419165
2020-09-30,USD,46651000000,6399000000,4123000000,4123000000,1862000000,151000000,20904000000,2009000000,3164000000,17810000000,12633000000,5177000000,19408000000,19408000000,19408000000,263000000,1025000000,43380000000,8290000000,348000000,250000000,1500000000,0,35090000000,None,29300000000,1500000000,27755000000,29300000000,6442000000,409000000,3139000000,34344000000,34356000000,935000000,1858000000
2020-06-30,USD,50200000000,7004000000,4826000000,4826000000,1914000000,140000000,20934000000,2002000000,3135000000,17827000000,12650000000,5177000000,22319000000,22319000000,None,124000000,1048000000,44376000000,9400000000,273000000,188000000,1500000000,1500000000,34976000000,None,27542000000,1500000000,27542000000,29042000000,7627000000,410000000,5688000000,34345000000,36908000000,935000000,1858000000
2020-03-31,USD,52618000000,7935000000,5616000000,5616000000,2006000000,147000000,20867000000,1997000000,3106000000,17845000000,12668000000,5177000000,23861000000,23861000000,None,166000000,980000000,45943000000,11154000000,278000000,219000000,3000000000,3000000000,34789000000,None,26971000000,0,26971000000,3000000000,7876000000,402000000,6543000000,34346000000,36528000000,935000000,1858000000
2019-12-31,USD,49271000000,4824000000,2117000000,2117000000,2293000000,152000000,20909000000,1999000000,3075000000,17864000000,12687000000,5177000000,23581000000,23581000000,None,262000000,1003000000,42914000000,8174000000,325000000,362000000,1000000000,0,34740000000,None,28042000000,1000000000,27042000000,28042000000,6849000000,345000000,6222000000,34358000000,36539000000,935000000,1857981554
