fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,89319000000,20721000000,50672000000,15943425000,1.3,0.409,0.08,0.008,0.039
2022-06-30,82240000000,19442000000,58107000000,16095378000,1.208,0.335,0.018,-0.106,-0.08
2022-03-31,96587000000,25010000000,67399000000,16207568000,1.543,0.371,0.086,0.058,0.09
2021-12-31,123251000000,34630000000,71932000000,16340851000,2.119,0.481,0.112,0.204,0.24
2021-09-30,82688000000,20551000000,63090000000,16426786000,1.251,0.326,0.278,0.622,0.676
2021-06-30,80769000000,21744000000,64280000000,16556942000,1.313,0.338,0.369,0.932,-0.5
2021-03-31,88914000000,23630000000,69178000000,16686305000,1.416,0.342,0.545,1.101,-0.456
2020-12-31,110801000000,28755000000,66224000000,16823263000,1.709,0.434,0.217,0.293,-0.663
2020-09-30,64698000000,12673000000,65339000000,16976763000,0.746,0.194,0.01,-0.074,-0.758
2020-06-30,58988000000,11253000000,72282000000,4283939000,2.627,0.156,0.114,0.12,0.185
2020-03-31,57556000000,11249000000,78425000000,4323987000,2.602,0.143,,,
2019-12-31,91034000000,22236000000,89531000000,4384959000,5.071,0.248,,,
2019-09-30,64040000000,13686000000,90488000000,4443236000,3.08,0.151,,,
2019-06-30,52943000000,10044000000,96456000000,4531395000,2.217,0.104,,,
2022-09-30,391397000000,99803000000,50672000000,15943425000,6.26,1.97,0.078,0.054,0.086
2021-09-30,363172000000,94680000000,63090000000,16426786000,5.764,1.501,0.337,0.649,0.704
2020-09-30,271642000000,57411000000,65339000000,16976763000,3.382,0.879,0.059,0.039,-0.728
2019-09-30,256598000000,55256000000,90488000000,4443236000,12.436,0.611,,,
