fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-12-31,4774000000.0,270000000.0,8076000000.0,834664966.0,,,,,
2022-09-30,5451000000.0,1312000000.0,7463000000.0,839600000.0,,,,,
2022-06-30,5211000000.0,573000000.0,6992000000.0,845700000.0,,,,,
2022-03-31,5802000000.0,1379000000.0,7430000000.0,853300000.0,,,,,
2021-12-31,4808000000.0,324000000.0,7094000000.0,863039097.0,,,,,
2021-09-30,5341000000.0,469000000.0,7222000000.0,867600000.0,,,,,
2021-06-30,5440000000.0,487000000.0,7120000000.0,868700000.0,,,,,
2021-03-31,4699000000.0,384000000.0,6818000000.0,869300000.0,,,,,
2020-12-31,4594000000.0,1245000000.0,6578000000.0,867829119.0,,,,,
2020-09-30,4912000000.0,741000000.0,5437000000.0,866687269.0,,,,,
2020-06-30,3887000000.0,261000000.0,4366000000.0,866164968.0,,,,,
2020-03-31,3857000000.0,96000000.0,2697000000.0,866000000.0,,,,,
2019-06-30,4962000000.0,784000000.0,,,,,,,
2019-03-31,4323000000.0,400000000.0,,,,,,,
2022-12-31,21970000000.0,3534000000.0,8076000000.0,834664966.0,4.234,0.438,0.083,1.124,1.196
2021-12-31,20292000000.0,1664000000.0,7094000000.0,863039097.0,1.928,0.235,0.11,-0.16,-0.156
2020-12-31,18281000000.0,1982000000.0,6578000000.0,867829119.0,2.284,0.301,,,
,,,14102000000.0,872800000.0,,,,,
