fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,345197000,29844000,5037993000,106500000,0.28,0.006,0.267,0.012,-0.029
2022-06-30,333884000,497315000,5107107000,106500000,4.67,0.097,0.311,15.479,14.566
2022-03-31,325639000,80745000,4216429000,103600000,0.779,0.019,0.323,1.576,1.429
2021-12-31,457981000,212898000,4197490000,103300000,2.061,0.051,0.903,6.293,5.876
2021-09-30,272391000,29483000,3888685000,102200000,0.288,0.008,0.116,-0.157,-0.196
2021-06-30,254702000,30179000,3718241000,100600000,0.3,0.008,0.109,0.832,0.773
2021-03-31,246130000,31347000,3405977000,97700000,0.321,0.009,-0.012,-0.276,-0.278
2020-12-31,240657000,29193000,3444905000,97400000,0.3,0.008,-0.201,-0.693,-0.693
2020-09-30,243998000,34957000,3494063000,97400000,0.359,0.01,0.008,-0.198,-0.203
2020-06-30,229581000,16477000,3538212000,97400000,0.169,0.005,-0.102,-0.611,-0.614
2020-03-31,249081000,43284000,3598553000,97400000,0.444,0.012,,,
2019-12-31,301367000,95014000,3628685000,97200000,0.978,0.026,,,
2019-09-30,242092000,43597000,3584878000,96800000,0.45,0.012,,,
2019-06-30,255761000,42399000,3615623000,96800000,0.438,0.012,,,
2021-12-31,1231204000,303907000,4197490000,103300000,2.942,0.072,0.278,1.453,1.313
2020-12-31,963317000,123911000,3444905000,97400000,1.272,0.036,-0.031,-0.436,-0.437
2019-12-31,994357000,219623000,3628685000,97200000,2.259,0.061,-0.419,0.407,0.349
2018-12-31,1712289000,156128000,3311423000,93200000,1.675,0.047,,,
