fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,20150000000,162000000,95008000000,1825000000,0.089,0.002,0.087,0.019,0.014
2022-06-30,21504000000,1409000000,92500000000,1823000000,0.773,0.015,0.263,0.535,0.531
2022-03-31,19249000000,470000000,90636000000,1822000000,0.258,0.005,0.233,-0.478,-0.48
2021-12-31,21819000000,1104000000,89864000000,1819000000,0.607,0.012,0.343,63.941,63.691
2021-09-30,18534000000,159000000,88553000000,1816000000,0.088,0.002,0.26,1.224,1.223
2021-06-30,17022000000,918000000,86741000000,1818000000,0.505,0.011,0.445,1.194,1.193
2021-03-31,15613000000,901000000,85540000000,1817000000,0.496,0.011,-0.134,0.959,0.949
2020-12-31,16249000000,17000000,84071000000,1812000000,0.009,0.0,-0.222,-0.992,-0.992
2020-09-30,14707000000,-710000000,83583000000,1811000000,-0.392,-0.008,-0.231,-1.674,-1.671
2020-06-30,11779000000,-4721000000,85866000000,1809000000,-2.61,-0.055,-0.419,-3.682,-3.672
2020-03-31,18025000000,460000000,90407000000,1808000000,0.254,0.005,,,
2019-12-31,20877000000,2107000000,89757000000,1805000000,1.167,0.023,,,
2019-09-30,19118000000,1054000000,88877000000,1803000000,0.585,0.012,,,
2019-06-30,20262000000,1760000000,90472000000,1802000000,0.977,0.019,,,
2022-09-30,82722000000,3145000000,95008000000,1825000000,1.723,0.033,0.227,0.576,0.569
2021-09-30,67418000000,1995000000,88553000000,1816000000,1.099,0.023,0.031,1.697,1.695
2020-09-30,65388000000,-2864000000,83583000000,1811000000,-1.581,-0.034,-0.061,-1.259,-1.258
2019-09-30,69607000000,11054000000,88877000000,1803000000,6.131,0.124,,,
