fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,1233611000,156054000,2757166000,57502000,2.714,0.057,0.252,0.349,0.331
2022-06-30,1108920000,18604000,2622353000,57353000,0.324,0.007,0.265,-0.838,-0.84
2022-03-31,1107460000,89719000,2552103000,57133000,1.57,0.035,0.414,-0.177,-0.188
2021-12-31,1106102000,142279000,2487117000,56849000,2.503,0.057,0.546,0.663,0.642
2021-09-30,985098000,115656000,2339119000,56708000,2.04,0.049,0.497,0.293,0.277
2021-06-30,876673000,114671000,2212668000,56613000,2.026,0.052,0.407,0.721,0.697
2021-03-31,783074000,109046000,2063939000,56381000,1.934,0.053,0.19,0.274,0.257
2020-12-31,715573000,85539000,1983018000,56108000,1.525,0.043,0.134,0.148,0.129
2020-09-30,658139000,89432000,1860234000,55981535,1.598,0.048,0.125,0.335,0.31
2020-06-30,623216000,66624000,1753094000,55825951,1.193,0.038,0.137,0.134,0.112
2020-03-31,657883000,85565000,1647482000,55589100,1.539,0.052,,,
2019-12-31,630877000,74524000,1596145000,55187711,1.35,0.047,,,
2019-09-30,584998000,67002000,1492117000,54949098,1.219,0.045,,,
2019-06-30,548025000,58777000,1422247000,54779289,1.073,0.041,,,
2021-12-31,3750947000,481652000,2487117000,56849000,8.472,0.194,0.413,0.472,0.453
2020-12-31,2654811000,327160000,1983018000,56108000,5.831,0.165,0.163,0.253,0.233
2019-12-31,2281749000,261057000,1596145000,55187711,4.73,0.164,0.238,0.087,0.065
2018-12-31,1843399000,240256000,1262596000,54080192,4.443,0.19,,,
