fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,818961000,323025000,11044727000,376169253,0.859,0.029,1.77,-0.252,-0.254
2022-06-30,722946000,224101000,10890089000,376118433,0.596,0.021,3.616,-0.292,-0.295
2022-03-31,580454000,70765000,10813867000,375974070,0.188,0.007,0.095,0.23,0.22
2021-12-31,2905457000,526974000,10954948000,375527195,1.403,0.048,80.292,1.084,1.066
2021-09-30,295677000,431951000,10662557000,375002588,1.152,0.041,-0.525,3.732,3.697
2021-06-30,156614000,316386000,10433991000,374354830,0.845,0.03,1.511,0.213,0.206
2021-03-31,530201000,57539000,10314800000,372917413,0.154,0.006,-0.223,-0.814,-0.814
2020-12-31,35741000,252856000,10525651000,372302000,0.679,0.024,-0.948,-0.127,-0.129
2020-09-30,622433000,91286000,10517480000,372239249,0.245,0.009,-0.092,-0.658,-0.659
2020-06-30,62381000,260888000,10597673000,372209012,0.701,0.025,-0.907,-0.156,-0.159
2020-03-31,682329000,308606000,10530367000,372104054,0.829,0.029,,,
2019-12-31,683919000,289764000,10315506000,371670884,0.78,0.028,,,
2019-09-30,685145000,267106000,10182636000,371327332,0.719,0.026,,,
2019-06-30,669517000,308968000,10153529000,370838810,0.833,0.03,,,
2021-12-31,3290060000,1332850000,10954948000,375527195,3.549,0.122,22.584,0.459,0.446
2020-12-31,139505000,913636000,10525651000,372302000,2.454,0.087,-0.948,-0.058,-0.06
2019-12-31,2701075000,970377000,10315506000,371670884,2.611,0.094,0.048,0.476,0.467
2018-12-31,2578434000,657535000,10173204000,369405161,1.78,0.065,,,
