fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,409748000,92842000,5703432000,64753312,1.434,0.016,0.129,-0.216,-0.212
2022-06-30,399978000,57054000,5827847000,65124355,0.876,0.01,0.14,-0.12,-0.122
2022-03-31,381905000,73254000,5956983000,65332274,1.121,0.012,0.075,-0.565,-0.567
2021-12-31,371596000,136874000,5993603000,65248393,2.098,0.023,0.026,0.43,0.424
2021-09-30,362857000,118390000,5949232000,65081032,1.819,0.02,-0.021,0.607,0.61
2021-06-30,350978000,64846000,5953455000,65003996,0.998,0.011,-0.053,-0.232,-0.228
2021-03-31,355125000,168444000,6025176000,64998910,2.591,0.028,-0.095,-0.465,-0.462
2020-12-31,362073000,95745000,6000410000,64999015,1.473,0.016,-0.035,-0.292,-0.282
2020-09-30,370811000,73661000,6082997000,65209946,1.13,0.012,0.011,-0.258,-0.249
2020-06-30,370497000,84458000,6166074000,65331206,1.293,0.014,0.025,-0.085,-0.079
2020-03-31,392367000,315006000,6228165000,65412355,4.816,0.051,,,
2019-12-31,375365000,135182000,6220427000,65890322,2.052,0.022,,,
2019-09-30,366932000,99335000,6225100000,66081635,1.503,0.016,,,
2019-06-30,361635000,92275000,6154907000,65726808,1.404,0.015,,,
2021-12-31,1440556000,488554000,5993603000,65248393,7.488,0.082,-0.037,-0.141,-0.144
2020-12-31,1495748000,568870000,6000410000,64999015,8.752,0.095,0.024,0.295,0.313
2019-12-31,1460155000,439286000,6220427000,65890322,6.667,0.071,0.043,0.126,0.126
2018-12-31,1400053000,390153000,6267073000,65890322,5.921,0.062,,,
