fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,1286945000,192164000,529201000,290687942,0.661,0.363,0.139,1.839,1.828
2022-06-30,1289534000,200081000,646949000,290679958,0.688,0.309,0.152,-0.273,-0.276
2022-03-31,1248046000,42299000,757723000,290550440,0.146,0.056,0.153,-0.072,-0.078
2021-12-31,1159587000,61648000,855952000,289757061,0.213,0.072,0.094,-0.82,-0.821
2021-09-30,1130148000,67683000,973882000,289546146,0.234,0.069,0.09,0.763,0.754
2021-06-30,1119756000,275285000,1147742000,289458768,0.951,0.24,0.14,39.849,39.673
2021-03-31,1082040000,45603000,959707000,288727747,0.158,0.048,0.012,-0.287,-0.289
2020-12-31,1059653000,342100000,1136729000,288273049,1.187,0.301,-0.018,8.22,8.189
2020-09-30,1036647000,38394000,937359000,288162966,0.133,0.041,-0.024,-0.643,-0.645
2020-06-30,982239000,-7086000,1024300000,288142703,-0.025,-0.007,-0.079,-1.077,-1.076
2020-03-31,1068731000,63975000,1123675000,287879142,0.222,0.057,,,
2019-12-31,1079590000,37104000,1463962000,287299645,0.129,0.025,,,
2019-09-30,1062224000,107675000,1510830000,287135194,0.375,0.071,,,
2019-06-30,1066907000,92441000,1657821000,287061769,0.322,0.056,,,
2021-12-31,4491531000,450219000,855952000,289757061,1.554,0.526,0.083,0.314,0.307
2020-12-31,4147270000,342693000,1136729000,288273049,1.189,0.301,-0.027,0.282,0.277
2019-12-31,4262584000,267377000,1463962000,287299645,0.931,0.183,0.009,-0.264,-0.267
2018-12-31,4225761000,363351000,1861054000,286321009,1.269,0.195,,,
