fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-11-30,6505956000,37580000,5487573000,158019398,0.238,0.007,-0.237,-0.861,-0.857
2022-08-31,8144803000,125905000,5414227000,158043981,0.797,0.023,0.02,-0.559,-0.546
2022-05-31,9311621000,252265000,5400637000,159613680,1.58,0.047,0.21,-0.422,-0.411
2022-02-28,7686695000,159836000,5235439000,161053983,0.992,0.031,0.488,-0.239,-0.229
2021-11-30,8527759000,269438000,5109796000,161871923,1.665,0.053,0.645,0.145,0.153
2021-08-31,7988359000,285267000,4915179000,162470173,1.756,0.058,0.487,-0.039,-0.029
2021-05-31,7697599000,436756000,4703481000,162802762,2.683,0.093,1.384,86.737,86.712
2021-02-28,5164257000,209945000,4364613000,163172333,1.287,0.048,0.041,-0.023,-0.024
2020-11-30,5184944000,235300000,4128476000,163033971,1.443,0.057,0.082,0.359,0.365
2020-08-31,5372166000,296696000,3982560000,164162253,1.807,0.074,0.033,0.27,0.276
2020-05-31,3228782000,4978000,3578310000,162755339,0.031,0.001,,,
2020-02-29,4962490000,214934000,3768875000,163081376,1.318,0.057,,,
2019-11-30,4790028000,173156000,3698053000,163795082,1.057,0.047,,,
2019-08-31,5201151000,233599000,3611557000,164885648,1.417,0.065,,,
2022-02-28,31900412000,1151297000,5235439000,161053983,7.149,0.22,0.683,0.541,0.562
2021-02-28,18950149000,746919000,4364613000,163172333,4.577,0.171,-0.067,-0.159,-0.16
2020-02-29,20319987000,888433000,3768875000,163081376,5.448,0.236,0.118,0.055,0.083
2019-02-28,18173100000,842413000,3357028000,167478924,5.03,0.251,,,
