fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-12-31,52032000000,16425000000,183136000000,7447000000,2.206,0.09,0.016,-0.125,-0.118
2022-09-30,49636000000,17556000000,173566000000,7457000000,2.354,0.101,0.109,-0.144,-0.138
2022-06-30,51406000000,16740000000,166542000000,7464000000,2.243,0.101,0.127,0.017,0.025
2022-03-31,48732000000,16728000000,162924000000,7483000000,2.235,0.103,0.187,0.082,0.09
2021-12-31,51228000000,18765000000,160010000000,7500000000,2.502,0.117,0.204,0.214,0.221
2021-09-30,44743000000,20505000000,151978000000,7510000000,2.73,0.135,0.218,0.476,0.487
2021-06-30,45595000000,16458000000,141988000000,7519000000,2.189,0.116,0.199,0.469,0.479
2021-03-31,41059000000,15457000000,134505000000,7534000000,2.052,0.115,0.197,0.438,0.448
2020-12-31,42558000000,15463000000,130236000000,7546000000,2.049,0.119,0.172,0.327,0.339
2020-09-30,36724000000,13893000000,123392000000,7564000000,1.837,0.113,0.132,0.301,0.313
2020-06-30,38033000000,11202000000,118304000000,7571000000,1.48,0.095,,,
2020-03-31,34315000000,10752000000,114501000000,7590000000,1.417,0.094,,,
2019-12-31,36322000000,11649000000,110109000000,7611000000,1.531,0.106,,,
2019-09-30,32428000000,10678000000,106061000000,7634000000,1.399,0.101,,,
2022-06-30,196109000000,72738000000,166542000000,7464000000,9.745,0.437,0.182,0.187,0.196
2021-06-30,165936000000,61271000000,141988000000,7519000000,8.149,0.432,0.181,0.384,0.393
2020-06-30,140503000000,44281000000,118304000000,7571000000,5.849,0.374,0.138,0.128,0.139
2019-06-30,123495000000,39240000000,102330000000,7643000000,5.134,0.383,,,
