fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,6701000000,231000000,22647000000,649000000,0.356,0.01,0.046,-0.571,-0.573
2022-06-30,7521000000,419000000,22776000000,649000000,0.646,0.018,0.176,-0.596,-0.597
2022-03-31,7030000000,433000000,22664000000,649000000,0.667,0.019,-0.004,-0.525,-0.544
2021-12-31,7855000000,2058000000,22402000000,650000000,3.166,0.092,0.143,1.541,1.412
2021-09-30,6404000000,538000000,20559000000,646000000,0.833,0.026,0.092,-0.125,-0.166
2021-06-30,6393000000,1036000000,20098000000,646000000,1.604,0.052,0.078,1.154,1.05
2021-03-31,7061000000,911000000,19171000000,622000000,1.465,0.048,0.093,0.766,0.743
2020-12-31,6874000000,810000000,15371000000,617000000,1.313,0.053,0.0,4.14,4.129
2020-09-30,5866000000,615000000,14556000000,616000000,0.998,0.042,0.825,-0.024,-0.407
2020-06-30,5928000000,481000000,13874000000,615000000,0.782,0.035,0.589,-0.508,-0.701
2020-03-31,6462000000,516000000,13449000000,614000000,0.84,0.038,,,
2019-12-31,6871000000,-258000000,13207000000,615000000,-0.42,-0.02,,,
2019-09-30,3215000000,630000000,5052000000,374000000,1.684,0.125,,,
2019-06-30,3731000000,977000000,4753000000,374000000,2.612,0.206,,,
2021-12-31,27728000000,4543000000,22402000000,650000000,6.989,0.203,0.143,0.876,0.78
2020-12-31,24250000000,2422000000,15371000000,617000000,3.925,0.158,-0.102,-0.268,-0.27
2019-12-31,27013000000,3308000000,13207000000,615000000,5.379,0.25,0.923,-0.043,-0.418
2018-12-31,14044000000,3455000000,10449000000,374000000,9.238,0.331,,,
