fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-12-31,9463000000,2235000000,18810000000,1119000000,1.997,0.119,-0.116,-0.342,-0.339
2022-09-30,11395000000,2873000000,18013000000,1121000000,2.563,0.159,0.221,0.027,0.03
2022-06-30,10936000000,3730000000,16048000000,1122000000,3.324,0.232,0.357,0.84,0.85
2022-03-31,11164000000,2934000000,13328000000,1122000000,2.615,0.22,0.407,0.665,0.676
2021-12-31,10705000000,3399000000,11333000000,1125000000,3.021,0.3,0.3,0.385,0.398
2021-09-30,9336000000,2798000000,9950000000,1125000000,2.487,0.281,0.119,-0.055,-0.05
2021-06-30,8060000000,2027000000,8177000000,1128000000,1.797,0.248,0.647,1.399,1.399
2021-03-31,7935000000,1762000000,7424000000,1129000000,1.561,0.237,0.521,2.765,2.758
2020-12-31,8235000000,2455000000,7380000000,1136000000,2.161,0.333,0.622,1.654,1.67
2020-09-30,8346000000,2960000000,6077000000,1131000000,2.617,0.487,0.734,4.85,4.922
2020-06-30,4893000000,845000000,3306000000,1128000000,0.749,0.256,,,
2020-03-31,5216000000,468000000,3045000000,1127000000,0.415,0.154,,,
2019-12-31,5077000000,925000000,4513000000,1143000000,0.809,0.205,,,
2019-09-30,4814000000,506000000,4909000000,1145000000,0.442,0.103,,,
2022-09-30,44200000000,12936000000,18013000000,1121000000,11.54,0.718,0.317,0.43,0.436
2021-09-30,33566000000,9043000000,9950000000,1125000000,8.038,0.909,0.426,0.74,0.749
2020-09-30,23531000000,5198000000,6077000000,1131000000,4.596,0.855,-0.031,0.185,0.2
2019-09-30,24273000000,4386000000,4909000000,1145000000,3.831,0.893,,,
