fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,2093000000,338900000,2725600000,115200000,2.942,0.124,0.157,3.317,3.347
2022-06-30,1929500000,297900000,2391200000,116000000,2.568,0.125,0.057,0.098,0.098
2022-03-31,1778000000,53900000,2632200000,116200000,0.464,0.02,0.014,-0.87,-0.87
2021-12-31,1827300000,241500000,2504900000,116000000,2.082,0.096,0.185,-0.593,-0.593
2021-09-30,1809600000,78500000,2389600000,116000000,0.677,0.033,0.153,-0.701,-0.701
2021-06-30,1825800000,271300000,2269600000,116000000,2.339,0.12,0.334,-0.146,-0.149
2021-03-31,1752800000,415000000,1817200000,116100000,3.575,0.228,0.059,2.139,2.136
2020-12-31,1542600000,593300000,1557600000,116100000,5.11,0.381,-0.07,0.91,0.903
2020-09-30,1570000000,262700000,1027800000,116200000,2.261,0.256,-0.093,31.432,31.293
2020-06-30,1368600000,317800000,770500000,115700000,2.747,0.412,-0.165,0.216,0.236
2020-03-31,1655800000,132200000,620800000,116000000,1.14,0.213,,,
2019-12-31,1658100000,310700000,717000000,115700000,2.685,0.433,,,
2019-09-30,1730200000,8100000,404200000,115700000,0.07,0.02,,,
2019-06-30,1638300000,261400000,1156500000,117600000,2.223,0.226,,,
2022-09-30,7500200000,932200000,2725600000,115200000,8.092,0.342,0.082,-0.314,-0.309
2021-09-30,6930300000,1358100000,2389600000,116000000,11.708,0.568,0.115,0.327,0.329
2020-09-30,6216700000,1023400000,1027800000,116200000,8.807,0.996,-0.062,0.471,0.464
2019-09-30,6630500000,695800000,404200000,115700000,6.014,1.721,,,
