fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,6452600000,216400000,13170300000,216800000,0.998,0.016,0.031,-0.522,-0.521
2022-06-30,6423100000,47300000,13372800000,217000000,0.218,0.004,-0.012,-0.878,-0.878
2022-03-31,4795700000,151500000,13531800000,217200000,0.698,0.011,1.126,0.801,0.8
2021-12-31,5746600000,80000000,13417100000,217100000,0.368,0.006,1.069,1.058,1.058
2021-09-30,6258100000,453000000,13275500000,217200000,2.086,0.034,0.852,0.321,0.32
2021-06-30,6503400000,388600000,12984800000,217100000,1.79,0.03,1.146,0.993,0.991
2021-03-31,2256100000,84100000,12580800000,217000000,0.388,0.007,-0.111,1.719,1.718
2020-12-31,2777800000,-1369800000,12365000000,216800000,-6.318,-0.111,-0.101,-9.368,-9.36
2020-09-30,3378400000,342800000,13512700000,216900000,1.58,0.025,-0.034,1.851,1.85
2020-06-30,3029800000,195000000,13002900000,216900000,0.899,0.015,-0.163,-0.408,-0.409
2020-03-31,2537800000,-117000000,12686600000,216700000,-0.54,-0.009,,,
2019-12-31,3091000000,163700000,13419400000,216600000,0.756,0.012,,,
2019-09-30,3498000000,-402800000,13162400000,216600000,-1.86,-0.031,,,
2019-06-30,3620000000,329400000,13899400000,216600000,1.521,0.024,,,
2021-12-31,22469300000,1005700000,13417100000,217100000,4.632,0.075,0.917,2.06,2.058
2020-12-31,11723800000,-949000000,12365000000,216800000,-4.377,-0.077,-0.099,-4.926,-4.923
2019-12-31,13009100000,241700000,13419400000,216600000,1.116,0.018,-0.025,-0.784,-0.784
2018-12-31,13338000000,1116500000,13507400000,216300000,5.162,0.083,,,
