fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-12-31,731836000,172301000,2451294000,155759000,1.106,0.07,-0.173,-0.231,-0.199
2022-09-30,827073000,183485000,2254125000,155782000,1.178,0.081,-0.13,-0.285,-0.249
2022-06-30,840766000,197787000,2298596000,157880000,1.253,0.086,-0.226,-0.398,-0.369
2022-03-31,755370000,161928000,2474532000,161053000,1.005,0.065,-0.034,-0.212,-0.186
2021-12-31,885046000,224040000,2562444000,162251000,1.381,0.087,0.166,0.141,0.168
2021-09-30,950501000,256718000,2537493000,163728000,1.568,0.101,0.16,0.153,0.169
2021-06-30,1085728000,328319000,2493256000,165444000,1.984,0.132,0.295,0.738,0.742
2021-03-31,781606000,205512000,2324553000,166419000,1.235,0.088,0.11,0.166,0.163
2020-12-31,758969000,196330000,2207018000,166123000,1.182,0.089,0.159,0.57,0.572
2020-09-30,819484000,222718000,1993544000,166043000,1.341,0.112,0.408,0.639,0.663
2020-06-30,838661000,188908000,1744551000,165806000,1.139,0.108,,,
2020-03-31,704355000,176191000,1550673000,165938000,1.062,0.114,,,
2019-12-31,654650000,125075000,1480158000,166410000,0.752,0.085,,,
2019-09-30,582038000,135860000,1482635000,168490000,0.806,0.092,,,
2022-12-31,3155045000,715501000,2451294000,155759000,4.594,0.292,-0.148,-0.295,-0.265
2021-12-31,3702881000,1014589000,2562444000,162251000,6.253,0.396,0.186,0.294,0.325
2020-12-31,3121469000,784147000,2207018000,166123000,4.72,0.355,0.36,0.677,0.68
2019-12-31,2294965000,467468000,1480158000,166410000,2.809,0.316,,,
