fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-12-31,737189000,78589000,4021968000,46910000,1.675,0.02,0.11,-0.386,-0.387
2022-09-30,673413000,101895000,3895161000,46906000,2.172,0.026,-0.022,-0.488,-0.489
2022-06-30,693123000,105514000,3852730000,46901000,2.25,0.027,0.013,0.267,0.263
2022-03-31,636145000,77141000,3795534000,46876000,1.646,0.02,0.023,0.03,0.026
2021-12-31,664160000,128079000,3754748000,46849000,2.734,0.034,-0.066,0.682,0.673
2021-09-30,688262000,199181000,3657872000,46810000,4.255,0.054,0.125,0.708,0.698
2021-06-30,684316000,83248000,3466102000,46741000,1.781,0.024,0.241,6.267,6.22
2021-03-31,621774000,74866000,3375791000,46698000,1.603,0.022,0.003,-0.429,-0.433
2020-12-31,711179000,76131000,3336457000,46599000,1.634,0.023,0.044,-0.297,-0.301
2020-09-30,611649000,116587000,3236203000,46530000,2.506,0.036,-0.028,-0.491,-0.494
2020-06-30,551352000,11456000,3097402000,46442000,0.247,0.004,,,
2020-03-31,620077000,131150000,3073024000,46382000,2.828,0.043,,,
2019-12-31,680952000,108265000,2979320000,46332000,2.337,0.036,,,
2019-09-30,629244000,228929000,2852976000,46248000,4.95,0.08,,,
2022-12-31,2757203000,363139000,4021968000,46910000,7.741,0.09,-0.001,-0.252,-0.253
2021-12-31,2758904000,485374000,3754748000,46849000,10.36,0.129,0.108,0.447,0.44
2020-12-31,2489840000,335324000,3336457000,46599000,7.196,0.101,-0.014,-0.273,-0.278
2019-12-31,2525136000,461466000,2979320000,46332000,9.96,0.155,,,
