fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-09-30,USD,37657000000,2518000000,7000000,7000000,695000000,1093000000,37517000000,30608000000,None,411000000,None,411000000,None,910000000,None,232000000,992000000,27456000000,3175000000,None,None,1376000000,1221000000,24307000000,None,13577000000,155000000,13577000000,1122000000,584000000,361000000,10201000000,None,3636000000,3000000,258500000
2022-06-30,USD,37108000000,2396000000,7000000,7000000,600000000,1000000000,37036000000,30086000000,None,411000000,None,411000000,157000000,957000000,None,77000000,963000000,27228000000,3588000000,None,None,1626000000,1021000000,24116000000,None,12985000000,605000000,12985000000,924000000,824000000,411000000,9880000000,None,3336000000,3000000,258400000
2022-03-31,USD,36197000000,2031000000,7000000,7000000,520000000,930000000,36415000000,29578000000,None,411000000,None,411000000,137000000,1094000000,None,83000000,934000000,26391000000,3145000000,None,None,1606000000,1101000000,23622000000,None,12563000000,505000000,12563000000,1007000000,630000000,394000000,9806000000,None,3282000000,3000000,258200000
2021-12-31,USD,35735000000,1968000000,8000000,8000000,592000000,820000000,35952000000,29261000000,14214000000,411000000,None,411000000,437000000,1159000000,None,163000000,891000000,26035000000,2826000000,None,None,1050000000,545000000,23585000000,None,13182000000,505000000,12562000000,13727000000,494000000,414000000,9700000000,None,3182000000,3000000,257700000
2021-09-30,USD,34665000000,2204000000,7000000,7000000,595000000,958000000,34168000000,28559000000,None,411000000,None,411000000,None,1076000000,3902000000,285000000,1180000000,24980000000,2357000000,None,None,610000000,553000000,22551000000,None,12444000000,57000000,12444000000,460000000,464000000,416000000,9685000000,None,3199000000,3000000,257600000
2021-06-30,USD,33916000000,2116000000,99000000,99000000,527000000,841000000,33262000000,28020000000,None,411000000,None,411000000,None,1070000000,3780000000,165000000,1027000000,24563000000,2177000000,None,None,439000000,431000000,22265000000,None,12492000000,8000000,12492000000,338000000,414000000,447000000,9353000000,None,2915000000,3000000,257100000
2021-03-31,USD,32789000000,1823000000,6000000,6000000,467000000,735000000,32390000000,27307000000,None,411000000,None,411000000,None,1010000000,3659000000,114000000,989000000,23641000000,2307000000,None,None,897000000,889000000,21213000000,None,11527000000,8000000,11527000000,803000000,392000000,452000000,9148000000,None,2850000000,3000000,255500000
2020-12-31,USD,32030000000,1653000000,139000000,139000000,521000000,749000000,32006000000,26807000000,13773000000,411000000,None,411000000,404000000,982000000,3570000,135000000,789000000,23092000000,2180000000,None,None,498000000,490000000,20778000000,None,11190000000,8000000,11078000000,11680000000,489000000,503000000,8938000000,None,2757000000,3000000,253300000
2020-09-30,USD,30517000000,1590000000,6000000,6000000,557000000,817000000,30473000000,25541000000,None,411000000,None,411000000,None,904000000,3386000,210000000,993000000,22028000000,2105000000,None,109000000,629000000,272000000,20138000000,None,10172000000,357000000,10172000000,195000000,432000000,438000000,8489000000,None,2769000000,2000000,247200000
2020-06-30,USD,30016000000,1620000000,8000000,8000000,514000000,885000000,29859000000,25081000000,None,411000000,None,411000000,None,854000000,None,131000000,917000000,21789000000,2000000000,None,126000000,477000000,120000000,20004000000,None,10171000000,357000000,10171000000,42000000,374000000,456000000,8227000000,None,2525000000,2000000,247100000
2020-03-31,USD,29272000000,1464000000,42000000,42000000,471000000,733000000,29232000000,24678000000,None,411000000,None,411000000,None,742000000,None,127000000,885000000,21187000000,2367000000,None,None,972000000,615000000,19035000000,None,9378000000,357000000,9378000000,542000000,662000000,482000000,8085000000,None,2404000000,2000000,246900000
