fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-09-30,USD,38667800000,23796600000,553700000,553700000,None,None,14892300000,561400000,None,11889600000,3052400000,8837200000,None,None,None,1563800000,934400000,30038700000,22456600000,None,1175600000,440000000,440000000,7582100000,301900000,9300000,685400000,5562200000,6247500000,1972800000,1655200000,8573800000,None,3536200000,210800000,210800000
2022-06-30,USD,39990400000,24744400000,523600000,523600000,None,None,15267600000,569600000,None,12227300000,3190900000,9036400000,None,None,None,1502700000,949100000,31128600000,23504700000,None,1244400000,710000000,710000000,7623900000,313300000,9400000,887200000,5561500000,6448700000,1677000000,1686200000,8808700000,None,3388700000,210300000,210300000
2022-03-31,USD,43161500000,27519300000,528600000,528600000,None,None,15664200000,505100000,None,12605300000,3877600000,8727700000,None,None,None,1272500000,980200000,34118400000,26144800000,None,1284600000,250000000,250000000,7973600000,333300000,5934300000,423400000,5760900000,6184300000,1968200000,1814900000,8989400000,None,3213000000,210100000,210100000
2021-12-31,USD,33345000000,17670400000,402600000,402600000,None,None,15702700000,500800000,808100000,12620200000,3954000000,8666200000,5500000,5500000,None,1451000000,966500000,24784900000,16735000000,None,1159200000,245000000,245000000,8049900000,309300000,22600000,473400000,5810200000,6283600000,1895100000,1871700000,8508400000,None,2882300000,208500000,208500000
2021-09-30,USD,26915800000,15138300000,2735100000,2735100000,None,None,11807200000,454500000,None,8966500000,2339000000,6627500000,14100000,14100000,None,1369500000,854800000,18445700000,11659800000,None,1176400000,200000000,200000000,6785900000,281400000,5306500000,434100000,5072400000,5506500000,1536900000,1371000000,8420200000,None,2873800000,207300000,207300000
2021-06-30,USD,27817200000,15939300000,3204100000,3204100000,None,None,11916700000,454900000,None,9077600000,2447300000,6630300000,17100000,17100000,None,1169500000,860800000,19463200000,12021300000,None,1184200000,200000000,200000000,7441900000,302600000,5878300000,366100000,5712200000,6078300000,1408400000,1365100000,8312700000,None,2749100000,206800000,206800000
2021-03-31,USD,24414500000,12667500000,526300000,526300000,None,None,11774500000,449200000,None,8989700000,2478800000,6510900000,20800000,20800000,None,997300000,850000000,17635000000,11516000000,None,1181400000,None,151300000,6119000000,315000000,4366300000,151300000,4366300000,4517600000,1633100000,1373600000,6731100000,None,2658900000,195900000,195900000
2020-12-31,USD,22331400000,11124200000,664600000,664600000,None,None,11236600000,450700000,728900000,8526900000,2399900000,6127000000,22400000,22400000,None,1113900000,769900000,16098700000,10135000000,None,1082600000,75000000,75000000,5991500000,320900000,19600000,278600000,4266000000,4544600000,1596200000,1311100000,6186200000,None,2371700000,193700000,193700000
2020-09-30,USD,21814900000,11200300000,629900000,629900000,None,None,10647800000,458700000,None,8027200000,2195000000,5832200000,25900000,25900000,None,1023000000,732500000,15996700000,10117200000,None,1062800000,125000000,125000000,5879500000,292500000,4265700000,318000000,4265700000,125000000,1380500000,1255700000,5771700000,None,2317300000,192300000,192300000
2020-06-30,USD,21306200000,10760400000,349700000,349700000,None,None,10583800000,461400000,None,7982400000,2226000000,5756400000,30400000,30400000,None,884200000,727700000,15771700000,9864000000,None,1039200000,225000000,225000000,5907700000,307900000,4315400000,328600000,4315400000,225000000,1131600000,1218100000,5488600000,None,2228300000,191500000,191500000
