fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-09-30,USD,845133000,2220175000,1375042000,1219718000,336253000,140896000,None,477409000,None,3712000,3712000,3712000,None,3712000,None,71416000,339965000,82827000,None,257138000,254881000,336253000,415093000,257138000
2022-06-30,USD,842869000,2213339000,1370470000,1223854000,337598000,140820000,None,464097000,None,10572000,10572000,10572000,None,10572000,None,69733000,348170000,88228000,None,259942000,258462000,337598000,428475000,259942000
2022-03-31,USD,701895000,2020539000,1318644000,1158866000,190221000,147402000,None,489555000,None,-213000,213000,213000,None,-213000,None,71665000,190008000,31714000,None,158294000,158489000,190221000,261460000,158294000
2021-12-31,USD,429798000,1960633000,1530835000,1136979000,158296000,381868000,None,714068000,None,9263000,9263000,None,None,9263000,None,66262000,167559000,34084000,None,293254000,133264000,158296000,233821000,133475000
2021-09-30,USD,706121000,1952315000,1246194000,1094089000,239680000,145930000,None,446755000,None,-126000,126000,126000,None,-126000,None,-42294000,239554000,35120000,None,204434000,203478000,239680000,197386000,204434000
2021-06-30,USD,701594000,1892538000,1190944000,1038984000,245525000,146044000,None,439202000,None,851000,851000,None,None,851000,None,118298000,246376000,58402000,None,187974000,188279000,245525000,364674000,187974000
2021-03-31,USD,622455000,1741575000,1119120000,956340000,161442000,155103000,None,457215000,None,-2168000,2168000,2168000,None,-2168000,None,112391000,159274000,32173000,None,127101000,126838000,161442000,273833000,127101000
2020-12-31,USD,1607710000,1607710000,1214636000,906814000,116886000,282594000,None,596585000,None,846000,846000,None,None,846000,None,108442000,117732000,-73227000,None,116886000,192174000,116886000,226174000,190959000
2020-09-30,USD,539600000,1601414000,1061814000,923079000,107096000,133150000,None,407151000,None,-595000,595000,595000,None,-595000,None,108093000,106501000,26257000,None,80244000,80949000,107096000,215189000,80244000
2020-06-30,USD,406015000,1364738000,958723000,840022000,-4939000,102647000,None,381079000,None,623000,623000,None,None,623000,None,105202000,-4316000,-12491000,None,8175000,9230000,-4939000,100886000,8175000
2020-03-31,USD,442865000,1410772000,967907000,855864000,71121000,106470000,None,322715000,None,2743000,2743000,None,None,2743000,None,101335000,73864000,-2524000,None,76388000,74547000,71121000,175199000,76388000
2019-12-31,USD,1436469000,1440224000,3755000,858289000,98156000,253983000,None,3755000,None,2840000,2840000,None,None,2840000,None,101479000,100996000,28580000,None,98156000,72940000,98156000,202475000,72416000
2019-09-30,USD,444590000,1403697000,959107000,840141000,115621000,115070000,None,299225000,None,4411000,4411000,None,None,4411000,None,92390000,120032000,21450000,None,98582000,97956000,115621000,212422000,98582000
2019-06-30,USD,439438000,1434231000,994793000,851337000,120020000,121395000,None,336765000,None,3947000,3947000,None,None,3947000,None,90975000,123967000,32939000,None,91028000,91625000,120020000,214942000,91028000
2019-03-31,USD,434397000,1308217000,873820000,770209000,110161000,102671000,None,278560000,None,3129000,None,None,None,3129000,None,91886000,113290000,25158000,None,88132000,88510000,110161000,205176000,88132000
2018-12-31,USD,1225061000,1225061000,896881000,739045000,39612000,215415000,None,347148000,None,None,None,None,None,3858000,None,53217000,-140296000,-172315000,None,39612000,30638000,39612000,96687000,32019000
2018-09-30,USD,359365000,1225007000,865642000,742078000,57991000,109524000,None,291052000,None,None,None,None,None,2493000,None,52654000,60484000,22280000,None,38204000,38475000,57991000,113138000,38204000
2018-06-30,USD,380153000,1266520000,886367000,754938000,67957000,85153000,None,306600000,None,None,None,None,None,2323000,None,49193000,70280000,23396000,None,46884000,45386000,67957000,119473000,46884000
2018-03-31,USD,377907000,1148397000,770490000,690778000,92808000,77063000,None,227781000,None,None,None,None,None,1394000,None,46915000,94202000,34756000,None,59446000,59477000,92808000,141117000,59446000
2017-12-31,USD,1110100000,1110100000,850804000,685342000,60029000,164035000,None,340533000,None,None,None,None,None,1437000,None,41442000,61466000,17673000,None,60029000,43779000,60029000,102908000,43793000
