fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-09-30,USD,18678414000,300312000,300312000,300312000,None,None,655214000,20437000,None,258207000,None,258207000,17626277000,286897000,17108963000,375464000,None,8332065000,325967000,None,None,None,173280000,8006098000,None,7753031000,None,None,7753031000,325967000,79787000,10315126000,None,-916138000,6114000,611409909
2022-06-30,USD,18506984000,272708000,272708000,272708000,None,None,609464000,17563000,None,258207000,None,258207000,17492379000,244730000,17125185000,-16754814000,None,8224995000,237915000,None,None,None,171413000,7987080000,None,7753931000,None,None,7753931000,237915000,233149000,10238690000,None,-860275000,6104000,610359909
2022-03-31,USD,18544222000,467457000,467457000,467457000,None,None,524511000,16785000,None,258207000,None,258207000,17345188000,162433000,17108963000,356841000,None,8319090000,325967000,None,None,None,168008000,8006098000,None,7855608000,None,None,7855608000,175553000,287929000,10182856000,None,-916138000,6114000,609844461
2021-12-31,USD,18537846000,610166000,610166000,610166000,None,None,492317000,16595000,None,258207000,None,258207000,17222896000,130395000,17125185000,332445000,None,8699042000,193633000,None,None,None,165167000,8505409000,None,7998659000,None,None,7998659000,193633000,506750000,9797742000,None,-794869000,6010000,601045438
2021-09-30,USD,18250566000,569663000,569663000,569663000,None,None,452067000,13137000,None,258207000,None,258207000,16943798000,93096000,None,352583000,None,8727321000,297073000,None,None,None,163663000,8430248000,None,7813137000,None,None,7813137000,297073000,617111000,9482980000,None,-767232000,5949000,594893674
2021-06-30,USD,17484611000,126168000,126168000,126168000,None,None,433700000,9301000,None,258207000,None,258207000,16640050000,77523000,None,320029000,None,8864935000,217394000,None,None,None,162225000,8647541000,None,8014437000,None,None,8014437000,217394000,633104000,8580039000,None,-737444000,5687000,568718544
2021-03-31,USD,17490419000,187310000,187310000,187310000,None,None,430515000,9146000,None,258207000,None,258207000,16603496000,73849000,None,301691000,None,8858059000,180423000,None,None,None,160205000,8677636000,None,8022682000,None,None,8022682000,180423000,494749000,8580113000,None,-700728000,5677000,567650434
2020-12-31,USD,17506222000,213422000,213422000,213422000,None,None,427371000,9995000,None,258207000,None,258207000,16603198000,69267000,None,286708000,None,8950149000,149299000,None,None,None,2133355000,8800850000,None,8031504000,None,None,8031504000,149299000,611410000,8504825000,None,-661162000,5671000,567117666
2020-09-30,USD,17750787000,559567000,559567000,559567000,None,None,409765000,8809000,None,258207000,None,258207000,16494980000,53756000,None,333285000,None,9419410000,261355000,None,None,None,155871000,9158055000,None,8330045000,None,None,8330045000,261355000,672139000,8280868000,None,-646950000,5605000,560534032
2020-06-30,USD,17746316000,571719000,571719000,571719000,None,None,413287000,9138000,None,258207000,None,258207000,16482355000,54152000,None,335412000,None,9402443000,190344000,None,None,None,2133355000,9212099000,None,8351572000,2133355000,None,8351572000,-1943011000,860527000,8293764000,None,-595318000,5605000,560532679
