fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-09-30,USD,7382000000,46908000000,39526000000,38821000000,6686000000,712000000,None,-367000000,59000000,-303000000,244000000,303000000,46845000000,None,None,794000000,5903000000,1426000000,240000000,4477000000,4363000000,6686000000,7000000000,4477000000
2022-06-30,USD,8841000000,53774000000,44933000000,44207000000,8328000000,694000000,None,655000000,18000000,-299000000,18000000,299000000,53795000000,None,None,819000000,7672000000,1799000000,312000000,5873000000,5882000000,8328000000,8790000000,5873000000
2022-03-31,USD,2341000000,37991000000,35650000000,35068000000,1716000000,603000000,None,648000000,5000000,-288000000,5000000,288000000,38058000000,None,None,805000000,1127000000,282000000,262000000,845000000,838000000,1716000000,2219000000,845000000
2021-12-31,USD,2111000000,35357000000,33246000000,32184000000,1778000000,656000000,None,1046000000,6000000,-336000000,430000000,336000000,35200000000,None,None,813000000,1017000000,243000000,430000000,774000000,1051000000,1778000000,2132000000,774000000
2021-09-30,USD,1927000000,32181000000,30254000000,29563000000,1340000000,681000000,None,681000000,5000000,-323000000,5000000,323000000,32321000000,None,None,836000000,676000000,-18000000,328000000,694000000,690000000,1340000000,1825000000,694000000
2021-06-30,USD,1569000000,29427000000,27858000000,27177000000,965000000,625000000,None,625000000,2000000,-318000000,2000000,318000000,29615000000,None,None,871000000,8517000000,5000000,372000000,298000000,8683000000,965000000,9706000000,8512000000
2021-03-31,USD,821000000,22480000000,21659000000,21084000000,217000000,575000000,None,572000000,1000000,-354000000,353000000,354000000,22714000000,None,None,844000000,-208000000,34000000,353000000,-476000000,-241000000,217000000,970000000,-242000000
2020-12-31,USD,17972000000,17972000000,18428000000,17216000000,390000000,630000000,None,1139000000,0,-368000000,333000000,368000000,17972000000,None,None,849000000,92000000,-193000000,333000000,250000000,107000000,390000000,1275000000,285000000
2020-09-30,USD,-1021000000,17112000000,18133000000,16673000000,-1057000000,673000000,None,1453000000,1000000,-354000000,343000000,354000000,17409000000,None,None,629000000,-1322000000,-436000000,359000000,-1257000000,-884000000,-1057000000,-349000000,-886000000
2020-06-30,USD,304000000,14852000000,14548000000,11502000000,575000000,665000000,None,769000000,2000000,-347000000,2000000,347000000,15026000000,None,None,935000000,159000000,150000000,341000000,276000000,-1000000,575000000,1642000000,9000000
2020-03-31,USD,-6353000000,25108000000,31461000000,20342000000,-12155000000,742000000,None,8639000000,6000000,-347000000,6000000,347000000,25219000000,None,None,962000000,-11185000000,-1951000000,332000000,-10218000000,-9240000000,-12155000000,-9888000000,-9234000000
2019-12-31,USD,31092000000,31092000000,29678000000,24602000000,558000000,779000000,None,2292000000,10000000,-326000000,10000000,326000000,28008000000,None,None,390000000,627000000,184000000,297000000,841000000,335000000,558000000,1343000000,443000000
2019-09-30,USD,2779000000,31043000000,28150000000,24345000000,1680000000,761000000,None,846000000,12000000,-335000000,12000000,335000000,31047000000,None,None,17000000,1350000000,255000000,312000000,1367000000,1044000000,1680000000,1702000000,1095000000
2019-06-30,USD,2829000000,33547000000,30601000000,29682000000,1698000000,886000000,None,915000000,9000000,-337000000,9000000,337000000,33551000000,None,None,15000000,1459000000,353000000,322000000,1367000000,1096000000,1698000000,1811000000,1106000000
2019-03-31,USD,1621000000,28267000000,26637000000,25960000000,526000000,867000000,None,667000000,9000000,-318000000,299000000,318000000,28355000000,None,None,14000000,97000000,104000000,306000000,259000000,-14000000,526000000,429000000,-7000000
2018-12-31,USD,32333000000,32333000000,29393000000,19275000000,2017000000,1005000000,None,1264000000,16000000,-335000000,None,335000000,32329000000,None,None,874000000,1190000000,239000000,375000000,2017000000,975000000,2017000000,2588000000,951000000
2018-09-30,USD,1913000000,22988000000,20902000000,20606000000,1403000000,445000000,None,444000000,26000000,-221000000,None,221000000,22788000000,None,None,555000000,959000000,222000000,240000000,941000000,802000000,1403000000,1726000000,737000000
2018-06-30,USD,2204000000,22317000000,19941000000,19655000000,1711000000,424000000,None,421000000,25000000,-220000000,None,220000000,22121000000,None,None,533000000,1336000000,281000000,195000000,1235000000,1055000000,1711000000,2082000000,1055000000
2018-03-31,USD,923000000,18866000000,17776000000,17370000000,440000000,402000000,None,400000000,20000000,-195000000,None,195000000,-2000000,None,None,528000000,59000000,22000000,183000000,235000000,35000000,440000000,782000000,37000000
2017-12-31,USD,21055000000,21055000000,19371000000,19425000000,1168000000,408000000,None,511000000,11000000,-164000000,None,164000000,216000000,None,None,540000000,850000000,-1166000000,209000000,1119000000,2024000000,1168000000,1554000000,2016000000
