fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-09-30,USD,-17018000000,20480000000,37498000000,None,-20076000000,3058000000,None,3058000000,-170000000,-407000000,None,407000000,16247000000,-1000000,None,-126000000,-432000000,-148000000,None,-289000000,-10980000000,-20076000000,-563000000,-284000000
2022-06-30,USD,-10123000000,13021000000,23144000000,None,-13004000000,2881000000,None,2881000000,-124000000,-401000000,None,401000000,7112000000,-50000000,None,170000000,-554000000,11000000,None,-522000000,-14948000000,-13004000000,17000000,-565000000
2022-03-31,USD,-8983000000,13215000000,22198000000,None,-12194000000,3211000000,None,3211000000,-173000000,-364000000,None,364000000,7952000000,2000000,None,18000000,-100000000,-69000000,None,-46000000,-17150000000,-12194000000,282000000,-31000000
2021-12-31,USD,-7344000000,16424000000,23768000000,None,-18648000000,3651000000,None,11304000000,-177000000,-362000000,None,362000000,9673000000,24000000,None,117000000,1378000000,170000000,None,1218000000,696000000,-18648000000,1857000000,1208000000
2021-09-30,USD,-12595000000,21641000000,34236000000,None,-15981000000,3386000000,None,3386000000,-135000000,-367000000,None,367000000,13193000000,18000000,None,42000000,1789000000,259000000,None,1547000000,89000000,-15981000000,2198000000,1530000000
2021-06-30,USD,-4842000000,15917000000,20759000000,None,-8072000000,3230000000,None,3230000000,-178000000,-371000000,None,371000000,6779000000,19000000,None,15000000,2767000000,609000000,None,2164000000,6216000000,-8072000000,3153000000,2158000000
2021-03-31,USD,-4696000000,16952000000,21648000000,-8110000000,-8011000000,3315000000,None,3315000000,-169000000,-376000000,None,376000000,7543000000,26000000,None,30000000,3464000000,636000000,None,2778000000,-8691000000,-8011000000,3870000000,2828000000
2020-12-31,USD,16029000000,16029000000,24900000000,None,16029000000,3719000000,None,-1307000000,-165000000,-386000000,None,386000000,9182000000,34000000,None,9000000,731000000,-88000000,None,988000000,1556000000,16029000000,1126000000,819000000
2020-09-30,USD,-6865000000,15425000000,22290000000,-8312000000,-10188000000,3323000000,None,3323000000,-173000000,-400000000,None,400000000,7482000000,10000000,None,65000000,1437000000,-50000000,None,1497000000,651000000,-10188000000,1902000000,1487000000
2020-06-30,USD,-10782000000,12115000000,22897000000,-8450000000,-14129000000,3347000000,None,3347000000,-172000000,-397000000,None,397000000,7693000000,42000000,None,54000000,-2294000000,115000000,None,-2447000000,5828000000,-14129000000,-1843000000,-2409000000
2020-03-31,USD,-9344000000,13464000000,22808000000,-9006000000,-12868000000,3524000000,None,3524000000,-226000000,-387000000,None,387000000,7664000000,10000000,None,329000000,-329000000,-58000000,None,-280000000,-1710000000,-12868000000,387000000,-271000000
2019-12-31,USD,19223000000,19223000000,30125000000,14051000000,19223000000,3828000000,None,-3788000000,-239000000,-385000000,None,385000000,11352000000,15000000,None,108000000,1349000000,221000000,None,1123000000,-2391000000,19223000000,1842000000,1128000000
2019-09-30,USD,-5997000000,15105000000,21102000000,10086000000,-9291000000,3294000000,None,3294000000,-247000000,-377000000,None,377000000,6937000000,32000000,None,441000000,1750000000,332000000,None,1393000000,4994000000,-9291000000,2568000000,1418000000
2019-06-30,USD,-8001000000,15388000000,23389000000,11374000000,-11139000000,3138000000,None,3138000000,-254000000,-392000000,None,392000000,8135000000,24000000,None,-109000000,870000000,162000000,None,714000000,7472000000,-11139000000,1153000000,708000000
2019-03-31,USD,-7298000000,15091000000,22389000000,10795000000,-10454000000,3156000000,None,3156000000,-252000000,-386000000,None,386000000,7900000000,29000000,None,20000000,1164000000,232000000,None,908000000,7237000000,-10454000000,1570000000,932000000
2018-12-31,USD,18432000000,18432000000,30788000000,14159000000,18432000000,3220000000,None,-5507000000,-248000000,None,None,372000000,9274000000,14000000,None,116000000,1060000000,218000000,None,835000000,2598000000,18432000000,1548000000,842000000
2018-09-30,USD,-7473000000,16148000000,23621000000,11350000000,-10433000000,2960000000,None,2960000000,-229000000,None,None,355000000,9847000000,21000000,None,-3000000,1856000000,184000000,None,1654000000,-833000000,-10433000000,2208000000,1672000000
2018-06-30,USD,-9262000000,14655000000,23917000000,11559000000,-12108000000,2846000000,None,2846000000,-227000000,None,None,347000000,8448000000,18000000,None,70000000,265000000,68000000,None,182000000,-2909000000,-12108000000,682000000,197000000
2018-03-31,USD,-5982000000,13757000000,19739000000,9141000000,-8905000000,2923000000,None,2923000000,-202000000,None,None,340000000,7871000000,23000000,None,-22000000,1715000000,352000000,None,1341000000,-1756000000,-8905000000,2033000000,1363000000
2017-12-31,USD,16265000000,16265000000,26035000000,12047000000,16265000000,3102000000,None,3324000000,-194000000,None,None,344000000,10371000000,-9000000,None,-49000000,1007000000,-2758000000,None,3874000000,4241000000,16265000000,1302000000,3765000000
