fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-09-30,USD,2341500000,2920900000,579400000,34700000,1223700000,529100000,911300000,1456000000,None,-15300000,None,15300000,2936200000,301400000,None,15600000,1509800000,194100000,15300000,1315700000,1264400000,1525100000,1540700000,1315700000
2022-06-30,USD,2348600000,2844100000,495500000,19200000,1109900000,476300000,794300000,1270600000,None,-13100000,None,13100000,2857200000,-133600000,None,74400000,963200000,111100000,13100000,852100000,798400000,976300000,1050700000,852100000
2022-03-31,USD,2501500000,2951500000,450000000,47400000,1258500000,450000000,843800000,1293800000,None,-13600000,None,13600000,2965100000,-183800000,None,74300000,1061100000,87600000,13600000,973500000,829600000,1074700000,1149000000,973500000
2021-12-31,USD,4094500000,4937600000,843100000,269100000,2639700000,559600000,785600000,1359600000,None,-14100000,None,14100000,4951700000,-122200000,None,74500000,2503400000,274400000,14100000,2229000000,2193300000,2517500000,2592000000,2229000000
2021-09-30,USD,2954900000,3438600000,483700000,38700000,1847200000,445000000,665400000,1110400000,None,-14200000,None,14200000,3452800000,-16400000,None,73200000,1816600000,184400000,14200000,1632200000,1626000000,1830800000,1904000000,1632200000
2021-06-30,USD,4569500000,5124100000,554600000,139900000,3347200000,414700000,714200000,1128900000,None,-14400000,None,14400000,5138500000,420000000,None,71100000,3752800000,653900000,14400000,3098900000,3098400000,3767200000,3838300000,3098900000
2021-03-31,USD,2108500000,2514100000,405600000,9400000,1112700000,405600000,742900000,1148500000,None,-14600000,None,14600000,2528700000,154900000,None,67400000,1253000000,137800000,14600000,1115200000,1102100000,1267600000,1335000000,1115200000
2020-12-31,USD,2422900000,2422900000,357100000,15600000,1167000000,303500000,744500000,1062400000,None,-14800000,None,14800000,2422900000,72400000,None,61700000,1224600000,75400000,14800000,2422900000,1147700000,1239400000,1301100000,1149200000
2020-09-30,USD,1940800000,2267700000,326900000,11800000,1053100000,326900000,684600000,1011500000,None,-26300000,None,26300000,2294000000,-28500000,None,59300000,998300000,156200000,26300000,842100000,837400000,1024600000,1083900000,842100000
2020-06-30,USD,1594000000,1942300000,348300000,275500000,656400000,348300000,722000000,1070300000,None,-9700000,None,9700000,1952000000,272200000,None,58800000,918900000,21600000,9700000,897300000,941900000,928600000,987400000,897300000
2020-03-31,USD,1454800000,1822100000,367300000,217300000,700100000,367300000,583900000,951200000,None,-6100000,62900000,6100000,1828200000,-25400000,None,56100000,668600000,44000000,6100000,624600000,594400000,674700000,730800000,624600000
2019-12-31,USD,2169500000,2169500000,664200000,223900000,675700000,451800000,552400000,1273500000,None,-6700000,53200000,6700000,2169500000,220800000,None,3600000,889800000,97800000,6700000,2169500000,796600000,896500000,900100000,792000000
2019-09-30,USD,1617100000,2040600000,423500000,226600000,738500000,304400000,526000000,1086900000,None,-7800000,7900000,7800000,2048400000,37800000,None,3600000,768500000,98900000,7800000,669600000,670300000,776300000,779900000,669600000
2019-06-30,USD,1504700000,1925700000,421000000,152500000,315600000,294600000,885500000,1469300000,None,-8000000,124900000,8000000,1933700000,-82900000,None,3700000,224700000,31600000,8000000,193100000,206100000,232700000,236400000,193100000
2019-03-31,USD,1293300000,1704100000,410800000,179200000,480000000,291100000,486100000,1052600000,None,-7700000,35100000,7700000,1711800000,73800000,None,3500000,546100000,85000000,7700000,461100000,476200000,553800000,557300000,461100000
2018-12-31,USD,1927800000,1927800000,491314000,117172000,718100000,62300000,-116000000,1092567000,None,-7349000,51000,7400000,1927800000,-34500000,None,42759000,676200000,-144200000,7349000,1927800000,818600000,683600000,726275000,820400000
2018-09-30,USD,1286770000,1656002000,369232000,110369000,626900000,369200000,557000000,926204000,None,-7494000,-94000,7400000,1663496000,16400000,None,35441000,635900000,41200000,7494000,594655000,595700000,643300000,678796000,594700000
2018-06-30,USD,1236220000,1601104000,364884000,91661000,622200000,364800000,529300000,894173000,None,-6918000,-18000,6900000,1608022000,40800000,None,33642000,656100000,104700000,6918000,551412000,555400000,663000000,696634000,551400000
2018-03-31,USD,1111472000,1511485000,400013000,69243000,567200000,330800000,498600000,829356000,None,-6439000,-39000,6400000,1511500000,24600000,None,36358000,585400000,107400000,6439000,477980000,468300000,591800000,628195000,478000000
2017-12-31,USD,1582447000,1582447000,448146000,38233000,538820000,409880000,527941000,937896000,None,-6016000,None,6016000,1582400000,21952000,None,34507000,554748000,381248000,36116000,1582447000,150333000,560764000,595309000,173500000
