fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-09-30,USD,10758700000,3610700000,490700000,503300000,1054200000,1736700000,7156600000,586500000,1702300000,4426000000,902000000,3524000000,63400000,1056000000,12600000,329100000,374200000,8033100000,3572200000,1028000000,1048300000,968400000,359300000,4403500000,263500000,2867800000,609100000,2867800000,359300000,403000000,567300000,2725600000,6957200000,8411800000,181400000,115200000
2022-06-30,USD,10799900000,3492300000,482900000,489100000,989100000,1702200000,7316200000,568500000,1720400000,4518500000,936300000,3582200000,60500000,1201000000,6200000,318100000,312800000,8408700000,3281200000,989200000,549500000,601500000,601500000,5066800000,366800000,3464100000,601500000,3464100000,601500000,517300000,506300000,2391200000,6891400000,8072800000,181400000,116000000
2022-03-31,USD,10715500000,3284900000,443000000,449400000,931200000,1572500000,7439200000,576800000,1713300000,4588700000,968500000,3620200000,63000000,1272600000,6400000,338200000,300400000,8083300000,3027600000,932100000,541000000,641000000,641000000,4991700000,374700000,3466000000,641000000,3466000000,641000000,368000000,508000000,2632200000,6718500000,8035100000,181400000,116200000
2021-12-31,USD,10743300000,3132300000,540000000,540600000,868900000,1487400000,7619600000,584100000,1749700000,4616400000,994100000,3622300000,88400000,1369800000,600000,236000000,296800000,8238400000,2914100000,851300000,487300000,605900000,605900000,5287200000,396400000,3469100000,605900000,3469100000,605900000,445500000,535800000,2504900000,6729000000,8111700000,181400000,116000000
2021-09-30,USD,10701600000,3063400000,662200000,662800000,798100000,1424500000,7655400000,581900000,1743600000,4647700000,1021800000,3625900000,96500000,1363500000,600000,178600000,286500000,8312000000,2992200000,889800000,462500000,509700000,509700000,5015300000,313600000,3464600000,6800000,3464600000,509700000,477600000,516500000,2389600000,6708700000,8000400000,181400000,116000000
2021-06-30,USD,8573100000,3286200000,913800000,914400000,734400000,1431100000,5305800000,551100000,1744800000,2428800000,512800000,1916000000,95200000,1589400000,600000,206900000,198500000,6303500000,2456300000,890200000,413200000,24600000,24600000,3803600000,358000000,1977100000,24600000,1977100000,24600000,538400000,519300000,2269600000,6667700000,7921900000,181400000,116000000
2021-03-31,USD,8317700000,2969500000,641900000,642500000,681100000,1458700000,5367100000,551300000,1724400000,2422100000,527100000,1895000000,1535500000,1534900000,600000,187800000,192200000,6500500000,2139800000,806200000,393100000,25600000,25600000,4314100000,368800000,1978400000,25600000,1978400000,25600000,421600000,521400000,1817200000,6624900000,7899300000,181400000,116100000
2020-12-31,USD,8171000000,2932100000,730400000,731100000,640600000,1379000000,5264700000,567700000,1719900000,2442500000,540300000,1902200000,1346600000,1345900000,700000,182100000,189900000,6613400000,2188600000,721100000,383600000,150500000,150500000,4404600000,362200000,1980300000,150500000,1980300000,150500000,510400000,572900000,1557600000,6561600000,7608800000,181400000,116100000
2020-09-30,USD,7264700000,2685800000,704600000,705200000,584000000,1249100000,4604700000,574400000,1674900000,2129600000,479300000,1650300000,954100000,953500000,600000,148100000,162900000,6236900000,1810800000,687800000,325300000,24600000,24600000,4107100000,364400000,1974700000,0,1974700000,1999300000,376500000,573700000,1027800000,6509900000,7139800000,181400000,116200000
2020-06-30,USD,7329500000,2942500000,909800000,910400000,674800000,1202100000,4387000000,564500000,1646800000,2121700000,490700000,1631000000,900700000,900100000,600000,155800000,127100000,6559000000,2242100000,667000000,341700000,512000000,422800000,4294300000,339800000,1974400000,0,1974400000,2397200000,451300000,571900000,770500000,6528300000,6877200000,181400000,115700000
2020-03-31,USD,6665900000,2758200000,641800000,642400000,629000000,1301100000,3907700000,560800000,1616300000,1795300000,433000000,1362300000,716900000,716300000,600000,186300000,147500000,6045100000,1762000000,742500000,326200000,169900000,81500000,4262000000,341900000,1970200000,0,1970200000,2051700000,281800000,543500000,620800000,6521800000,6795800000,181400000,116000000
2019-12-31,USD,7107900000,3007500000,926200000,926800000,625300000,1298100000,4100400000,574000000,1609400000,1837600000,441800000,1395800000,861300000,860700000,600000,157900000,128500000,6390900000,2067500000,708300000,319200000,411300000,23500000,4003900000,344600000,1953000000,301000000,1953000000,23500000,318300000,565200000,717000000,6437600000,6782000000,181400000,115700000
2019-09-30,USD,6113000000,2985700000,1018400000,1058000000,575700000,1178700000,3127300000,571900000,1566000000,1265200000,194100000,1071100000,833500000,793900000,39600000,212900000,132200000,5708800000,1936800000,694600000,551200000,300500000,0,3772000000,None,2256900000,300500000,1956400000,2256900000,227900000,583700000,404200000,6438500000,6440200000,181400000,115700000
2019-06-30,USD,6158800000,2945800000,788800000,913400000,656300000,1222600000,3014900000,556500000,1584600000,1282200000,200900000,1081300000,2296400000,1057900000,124600000,153500000,118300000,5002300000,1952500000,629900000,293700000,299400000,600000,3049800000,None,2239900000,298800000,1941100000,2240500000,322800000,524700000,1156500000,6224300000,6431600000,181400000,117600000
2019-03-31,USD,6254200000,2976800000,780000000,902200000,665400000,1244400000,3077400000,557800000,1556900000,1294100000,207700000,1086400000,2399600000,1111900000,122200000,164800000,113600000,4917900000,1871900000,660900000,308900000,298700000,1300000,3046000000,None,2229800000,297400000,1932400000,2231100000,213700000,526600000,1336300000,5989500000,6398000000,181400000,118900000
