fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-11-30,USD,1226900000,5044000000,1689800000,1209600000,746700000,480200000,None,480200000,-37200000,None,None,98700000,5044000000,None,94900000,94900000,598800000,131100000,0,479700000,622200000,746700000,792400000,467700000
2022-08-31,USD,1325900000,5487200000,1842000000,1329200000,813100000,512800000,None,512800000,-1719100000,-94300000,1813400000,94300000,5487200000,-1727100000,90800000,90800000,-1018800000,132400000,8000000,-1140700000,-1340300000,813100000,-833700000,-1151200000
2022-05-31,USD,1255000000,4943300000,1546800000,1108200000,816400000,438600000,None,438600000,-187900000,-88500000,276400000,88500000,4943300000,None,92700000,92700000,514900000,125400000,15300000,399300000,635900000,816400000,696100000,389500000
2022-02-28,USD,1132600000,2102500000,1437600000,969900000,677500000,456800000,None,467700000,-93700000,-85900000,179600000,85900000,2102500000,-93700000,88700000,88700000,487700000,92300000,500000,1132600000,605800000,677500000,662300000,395400000
2021-11-30,USD,1225700000,4816600000,1480700000,1094900000,839900000,385800000,None,385800000,-171800000,-88000000,259800000,88000000,4816600000,-171800000,86300000,86300000,570100000,99300000,0,480800000,138100000,839900000,744400000,470800000
2021-08-31,USD,1229700000,4924500000,1631900000,1141400000,739200000,490500000,None,490500000,-470800000,-95800000,566600000,95800000,4924500000,-500200000,86300000,86300000,132800000,131300000,29400000,11900000,-52300000,739200000,314900000,1500000
2021-05-31,USD,1119300000,4236700000,1285500000,907200000,75100000,378300000,None,378300000,-899200000,-86700000,985900000,86700000,4236700000,-899200000,76000000,76000000,-921600000,-13500000,0,-897300000,-809200000,75100000,-758900000,-908100000
2021-02-28,USD,993700000,1953000000,1428900000,959300000,559300000,448600000,None,469600000,19800000,-89800000,70000000,89800000,1953000000,15800000,74600000,74600000,477600000,94700000,36000000,993700000,404800000,559300000,642000000,382900000
2020-11-30,USD,1268200000,5091600000,1633700000,1169900000,783100000,464100000,None,463800000,782400000,-95700000,686700000,95700000,5091600000,781200000,76500000,76500000,1457500000,176600000,1200000,1292000000,1739000000,783100000,1288200000,1280900000
2020-08-31,USD,1215800000,4742800000,1443700000,1044600000,838700000,399100000,None,399100000,-80700000,-100200000,180900000,100200000,4742800000,-81300000,71700000,71700000,647500000,135400000,600000,521800000,719000000,838700000,819400000,512100000
2020-05-31,USD,988300000,4035400000,1328400000,975100000,610000000,353300000,None,353300000,-571200000,-100000000,671200000,100000000,4035400000,-578200000,71000000,71000000,-73500000,104400000,7000000,-172600000,-934000000,610000000,97500000,-177900000
2020-02-29,USD,949800000,1902900000,1332300000,953100000,545100000,370100000,None,379200000,43200000,305200000,56200000,-305200000,1902900000,43200000,77600000,9100000,478300000,79900000,-305200000,949800000,515900000,545100000,182200000,398400000
2019-11-30,USD,987500000,4077800000,1421400000,1011900000,267200000,406300000,None,409500000,-456500000,-107700000,559600000,107700000,4185500000,-456500000,79800000,3200000,-298500000,-658900000,107700000,366500000,453200000,-190800000,-187600000,360400000
2019-08-31,USD,1185900000,4782500000,1624500000,1158100000,719500000,439400000,None,466400000,-1324700000,-116500000,1436300000,116500000,4899000000,-1327100000,82500000,82500000,-727400000,-202200000,118900000,-517000000,-646300000,-610900000,-533300000,-525200000
2019-05-31,USD,1028700000,4241100000,1474500000,1068500000,622700000,406000000,None,406000000,-930600000,-118900000,1045200000,118900000,4360000000,-930600000,86600000,86600000,-430800000,-185400000,118900000,-237100000,-247000000,-311900000,-229600000,-245400000
2019-02-28,USD,893500000,1797200000,1337900000,903700000,465300000,428200000,None,434200000,1183400000,-122600000,None,122600000,1797200000,1183400000,83000000,78500000,1520300000,280800000,122600000,843400000,1391500000,1642900000,1717300000,1239500000
2018-11-30,USD,970000000,4041500000,1416100000,1002600000,556500000,413500000,None,413500000,-134600000,-77200000,None,77200000,4118700000,-136300000,81300000,85800000,338400000,35300000,78900000,312100000,101800000,415600000,497000000,303100000
2018-08-31,USD,1168200000,4704400000,1760700000,1130900000,765000000,403200000,None,403200000,688400000,-91100000,None,91100000,4795500000,688400000,84600000,84600000,1363600000,214100000,91100000,1151300000,1223500000,1454700000,1536200000,1149500000
2018-05-31,USD,1048600000,4202400000,1604600000,998500000,625400000,423200000,None,423200000,364400000,-88200000,None,88200000,4290600000,364400000,84200000,84200000,899500000,155700000,88200000,746300000,568100000,987700000,1071500000,743800000
2018-02-28,USD,845200000,1762000000,19100000,916800000,511800000,333400000,None,334900000,237500000,-88800000,None,88800000,1762000000,256600000,79400000,1500000,581200000,-329300000,166700000,849100000,916600000,670000000,671500000,910500000
