fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-09-30,USD,4783000000,5451000000,668000000,3974000000,1526000000,624000000,143000000,811000000,None,-56000000,15000000,71000000,5451000000,None,None,38000000,1450000000,138000000,0,1332000000,682000000,1526000000,1564000000,1312000000
2022-06-30,USD,4563000000,5211000000,648000000,3764000000,819000000,614000000,122000000,769000000,None,-61000000,7000000,68000000,5211000000,None,None,20000000,743000000,170000000,0,587000000,95000000,819000000,839000000,573000000
2022-03-31,USD,5169000000,5802000000,633000000,3361000000,1737000000,601000000,125000000,757000000,None,-48000000,39000000,87000000,5802000000,None,None,21000000,1680000000,301000000,-36000000,1387000000,1071000000,1737000000,1758000000,1379000000
2021-12-31,USD,3941000000,4808000000,867000000,3767000000,463000000,816000000,134000000,1011000000,None,-68000000,4000000,72000000,5127000000,None,None,24000000,397000000,73000000,319000000,332000000,326000000,463000000,487000000,324000000
2021-09-30,USD,4569000000,5341000000,772000000,3740000000,828000000,748000000,123000000,909000000,None,-74000000,2000000,76000000,5341000000,None,None,25000000,757000000,288000000,0,480000000,272000000,828000000,853000000,469000000
2021-06-30,USD,4600000000,5440000000,840000000,3821000000,783000000,813000000,125000000,984000000,None,-71000000,4000000,75000000,5440000000,None,None,25000000,721000000,234000000,0,497000000,552000000,783000000,808000000,487000000
2021-03-31,USD,3932000000,4699000000,767000000,3305000000,571000000,743000000,121000000,906000000,None,-93000000,3000000,96000000,4699000000,None,None,24000000,488000000,104000000,0,392000000,270000000,571000000,595000000,384000000
2020-12-31,USD,4594000000,4594000000,853000000,3309000000,1245000000,810000000,127000000,995000000,None,-85000000,3000000,85000000,4594000000,None,69000000,26000000,1534000000,289000000,85000000,1245000000,1310000000,1245000000,1645000000,1245000000
2020-09-30,USD,4218000000,4912000000,694000000,3441000000,1081000000,681000000,100000000,810000000,None,-90000000,2000000,90000000,5002000000,None,56000000,26000000,1002000000,261000000,90000000,748000000,1048000000,1081000000,1118000000,741000000
2020-06-30,USD,3228000000,3887000000,659000000,2831000000,442000000,637000000,94000000,767000000,None,-85000000,4000000,85000000,3972000000,None,53000000,25000000,367000000,106000000,85000000,269000000,518000000,442000000,477000000,261000000
2020-03-31,USD,3081000000,3857000000,776000000,2766000000,315000000,692000000,98000000,903000000,None,-31000000,1000000,31000000,3888000000,None,56000000,25000000,289000000,193000000,31000000,102000000,-387000000,315000000,345000000,96000000
2019-06-30,USD,1474000000,4962000000,3488000000,3488000000,805000000,680000000,103000000,749000000,None,16000000,25000000,9000000,None,None,55000000,82000000,859000000,65000000,None,794000000,710000000,805000000,940000000,784000000
2019-03-31,USD,1226000000,4323000000,3097000000,3097000000,500000000,684000000,97000000,766000000,None,4000000,4000000,26000000,None,None,54000000,85000000,543000000,140000000,None,403000000,496000000,500000000,651000000,400000000
