fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-09-30,USD,13475600000,6895200000,384600000,384600000,914500000,5035800000,6780000000,188000000,None,5853000000,1525500000,4327500000,3000000,None,None,560300000,385600000,12149600000,5358800000,3251100000,898200000,57800000,492400000,6790800000,180000000,6157800000,57800000,6100000000,6157800000,1119600000,302500000,1326000000,None,-1969300000,1400000,135300000
2022-06-30,USD,13653100000,7039800000,541600000,541600000,1020100000,4938500000,6792300000,194700000,None,5926200000,1556600000,4369600000,2000000,None,None,539600000,337900000,12546900000,5415600000,3315600000,883500000,105500000,469200000,7131300000,179300000,6586900000,105500000,6481400000,6586900000,1128800000,255700000,1106200000,None,-2197700000,1400000,135200000
2022-03-31,USD,13513800000,6870800000,386900000,386900000,1054600000,5063300000,6810400000,195600000,None,5961100000,1584600000,4376500000,1000000,None,None,366000000,322300000,12620700000,5464600000,3198300000,909600000,83900000,502700000,7156100000,190600000,6598700000,83900000,6514800000,6598700000,1187100000,231400000,893100000,None,-2408900000,1400000,135100000
2021-12-31,USD,13199400000,6478100000,258100000,258100000,927600000,4934900000,6918700000,195800000,None,6011000000,1628100000,4382900000,1000000,None,None,357500000,358900000,12493700000,5096000000,3114200000,826200000,102700000,102700000,7397700000,184200000,13763000000,102700000,6755800000,6904500000,454800000,235400000,705700000,None,-824800000,1300000,134800000
2021-09-30,USD,9011600000,5292200000,245100000,245100000,844400000,3955300000,3719400000,179300000,None,3307900000,503300000,2804600000,None,None,None,247400000,110000000,8174600000,3833200000,2280700000,608000000,28500000,311900000,4341400000,159400000,4066200000,28500000,4037700000,4066200000,870900000,114700000,837000000,None,-2402600000,1400000,136200000
2021-06-30,USD,8990900000,5421600000,501200000,501200000,888700000,3801400000,3569300000,176100000,None,3219200000,487300000,2731900000,None,None,None,230300000,49300000,7942100000,3770100000,2207400000,651700000,19800000,347500000,4172000000,161500000,3929000000,19800000,3909200000,3929000000,889500000,68200000,1048800000,None,-2163500000,1400000,138300000
2021-03-31,USD,9053500000,5469800000,878600000,878600000,745100000,3630700000,3583700000,175500000,None,3231600000,419200000,2812400000,None,None,None,215400000,48300000,7883200000,3709300000,2050800000,653500000,19600000,315700000,4173900000,165100000,3930700000,19600000,3911100000,3930700000,1016300000,68500000,1170300000,None,-2004600000,1400000,140400000
2020-12-31,USD,9344700000,5953500000,1410200000,1410200000,760000000,3592100000,3391200000,175500000,None,3041000000,445100000,2595900000,1000000,None,None,191200000,43900000,8047600000,3898300000,2088400000,487700000,70900000,541000000,4149300000,169000000,7881600000,70900000,3856300000,3954400000,424800000,68700000,1297100000,None,-1813400000,1400000,141900000
2020-09-30,USD,9223700000,5759600000,1249500000,1249500000,648100000,3671800000,3464100000,268000000,None,3035200000,461800000,2573400000,1000000,None,None,190200000,27400000,7985200000,3836600000,1922000000,493800000,72300000,681200000,4148600000,151500000,3930900000,72300000,3858600000,3930900000,986600000,75400000,1238500000,None,-1794000000,1400000,142800000
2020-06-30,USD,8749500000,5235800000,958400000,958400000,694800000,3382900000,3513700000,326500000,None,3025000000,492900000,2532100000,1000000,None,None,199700000,24900000,7693900000,3561500000,1809000000,550400000,37900000,37900000,4132400000,138000000,3899500000,37900000,3861600000,3899500000,1439200000,65200000,1055600000,None,-1932500000,1400000,142600000
