fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-11-27,USD,31319800000,5330600000,644100000,644100000,2121300000,1834000000,25989200000,3358000000,None,21450800000,6974800000,14476000000,None,None,None,731200000,1180400000,20947700000,9208200000,4022600000,None,3117700000,1153400000,11739500000,None,0,1964300000,8622500000,1153400000,2067900000,930100000,10121200000,8023500000,18991900000,75500000,595900000
2022-08-28,USD,31107200000,5134000000,594400000,594400000,2089900000,1730400000,25973200000,3358600000,None,21434000000,6979400000,14454600000,None,None,None,719300000,1180600000,20281600000,8595500000,3786300000,None,3087300000,991900000,11686100000,None,200000000,2095400000,8474600000,1191900000,1721900000,949100000,10574800000,7676000000,19027600000,75500000,600200000
2022-05-29,USD,31090100000,5089800000,569400000,824700000,1867300000,1692100000,26903500000,3393800000,6816500000,21378400000,6999900000,14378500000,773700000,513800000,255300000,802100000,1228100000,20302100000,8019900000,3982300000,None,2485600000,811400000,12763500000,355000000,9134800000,1674200000,9134800000,643800000,1552000000,929100000,10542400000,7278100000,18532600000,75500000,604200000
2022-02-27,USD,31143800000,5028600000,844400000,844400000,1710000000,1750400000,26115200000,3287900000,None,21557600000,7010900000,14546700000,None,None,None,723800000,1269700000,21068100000,6839000000,3474600000,None,1325000000,724300000,14229100000,None,100000000,600700000,10944700000,824300000,2039400000,1118400000,9812900000,7015300000,17713100000,75500000,606800000
2021-11-28,USD,32481600000,6612400000,1021000000,1021000000,1797300000,1766100000,25869200000,3291500000,None,21337100000,6813900000,14523200000,None,None,None,2028000000,1240600000,22115300000,7813200000,3450000000,None,1698700000,1098000000,14302100000,None,200000000,600700000,10973600000,1298000000,2060200000,1181600000,9524500000,6915200000,17363200000,75500000,608600000
2021-08-29,USD,32332200000,6320200000,710600000,710600000,1935200000,1691700000,26012000000,3343200000,None,21380900000,6831000000,14549900000,None,None,None,1982700000,1287900000,21762400000,8135400000,3288000000,None,2626000000,1035500000,13627000000,None,500000000,1590500000,10326900000,1535500000,1673900000,1224100000,9692300000,6715000000,17384500000,75500000,610400000
2021-05-30,USD,31841900000,5754500000,1505200000,1870800000,1820500000,1638500000,27062400000,3606800000,6858300000,21213000000,7150600000,14062400000,1451400000,566400000,365600000,790300000,1267600000,21463800000,8265800000,3653500000,None,2825100000,361300000,13696800000,394400000,153600000,2463800000,9786900000,514900000,1787200000,1292700000,9470400000,6611200000,17069800000,75500000,612600000
2021-02-28,USD,32648800000,6612400000,2754200000,2754200000,1758800000,1776200000,26036400000,3505500000,None,21182900000,7148300000,14034600000,None,None,None,323200000,1348000000,22864900000,9589700000,3391600000,None,4084400000,184600000,13275200000,None,200000000,3899800000,9766600000,384600000,2113700000,1502400000,8890300000,6351300000,16655000000,75500000,615000000
2020-11-29,USD,32307600000,6408200000,2582800000,2582800000,1712500000,1784300000,25899400000,3529800000,None,21167900000,7147500000,14020400000,None,None,None,328600000,1201700000,22867300000,8464200000,3398600000,None,3011900000,126200000,14403100000,None,100000000,2885700000,10952500000,226200000,2053700000,1511200000,8550000000,6365400000,16374200000,75500000,614800000
2020-08-30,USD,31262200000,5354800000,1796700000,1796700000,1605100000,1633000000,25907400000,3557000000,None,21160500000,7150400000,14010100000,None,None,None,320000000,1189900000,21919400000,7612700000,3184400000,None,2788400000,162700000,14306700000,None,100000000,2625700000,10832900000,262700000,1639900000,1549300000,8444600000,6370200000,16312500000,75500000,614100000
2020-05-31,USD,30806700000,5121300000,1677800000,1682700000,1426300000,1615100000,26638500000,3580600000,6374200000,21019000000,7095800000,13923200000,689900000,566700000,4900000,402100000,1085800000,21912600000,7491500000,3247700000,None,2610500000,279000000,14659700000,379000000,142000000,2331500000,10929000000,421000000,1633300000,1545000000,8058500000,6433300000,15982100000,75500000,611100000
2020-02-23,USD,30248700000,4308500000,606900000,606900000,1542100000,1731100000,26336000000,3535000000,None,21059200000,7108400000,13950800000,None,None,None,428400000,1346000000,21850000000,6696600000,2931500000,None,2148100000,1174600000,15454200000,None,300000000,863700000,11589600000,1474600000,1726800000,1536600000,7575100000,6610800000,15360000000,75500000,607900000
2019-11-24,USD,30452400000,4478900000,560200000,560200000,1719500000,1772700000,26377300000,3588500000,None,21106900000,7133000000,13973900000,None,None,None,426500000,1278100000,21886700000,7362300000,3063000000,None,2990900000,1345100000,12817000000,None,200000000,1537200000,10953100000,1545100000,1417000000,1555400000,7712300000,6662200000,15501800000,75500000,607400000
2019-08-25,USD,30313200000,4261400000,504800000,504800000,1700100000,1710500000,26051800000,3668300000,None,21135000000,7151400000,13983600000,None,None,None,346000000,1248500000,22069800000,6903400000,2786700000,None,2687900000,1296100000,15166400000,None,200000000,1391800000,11619800000,1496100000,1428800000,1554900000,7382800000,6681800000,15218800000,75500000,606000000
2019-05-26,USD,30111200000,4186500000,450000000,468500000,1559300000,1679700000,26701100000,3787200000,6293300000,21162600000,7166800000,13995800000,558500000,452900000,18500000,497500000,974900000,22191800000,7087100000,2854100000,None,2865200000,1468700000,15331800000,None,128600000,1396500000,11624800000,1597300000,1367800000,1448900000,7054500000,6779000000,14996700000,75500000,603700000
2019-02-24,USD,30285800000,4169800000,547100000,547100000,1544500000,1704100000,26116000000,3822900000,None,21221500000,7195700000,14025800000,None,None,None,374100000,1071600000,22487500000,7516600000,2750500000,None,3378500000,1971300000,14970900000,None,200000000,1407200000,11642600000,2171300000,1387600000,1281400000,6930400000,6923500000,14724500000,75500000,600400000
2018-11-25,USD,30384000000,4233800000,532700000,532700000,1639200000,1716800000,26150200000,3897400000,None,21221000000,7202700000,14018300000,None,None,None,345100000,1031800000,22857000000,7298100000,2823900000,None,3046900000,1056300000,15558900000,None,200000000,1990600000,12208600000,1256300000,1427300000,1313400000,6651800000,7009700000,14572200000,75500000,599400000
2018-08-26,USD,30554800000,4185500000,432900000,432900000,1685500000,1709100000,26369300000,3955100000,None,21451200000,7420800000,14030400000,None,None,None,358000000,963000000,23207400000,7187800000,2723800000,None,2948600000,1349400000,16019600000,None,200000000,1599200000,12665100000,1549400000,1515400000,1325800000,6225100000,7035900000,14523800000,75500000,598000000
2018-05-27,USD,30624000000,4123700000,399000000,399000000,1642200000,1684200000,27309800000,4047200000,5956000000,21510100000,7445100000,14065000000,528500000,499600000,3500000,398300000,943000000,23355400000,7341900000,2746200000,None,3149900000,1549800000,16278800000,None,218300000,1600100000,12668700000,1768100000,1445800000,1341000000,6141100000,7167500000,14459600000,75500000,587000000
2018-02-25,USD,22240600000,4277100000,953100000,953100000,1452500000,1496500000,17963500000,3626200000,None,13471400000,4604100000,8867300000,None,None,None,375000000,865900000,16088400000,6209600000,2505700000,None,2461300000,1210800000,9878800000,None,400000000,1250500000,7163600000,1610800000,1242600000,1481300000,4965600000,8190800000,14398400000,75500000,572500000
