fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-09-30,USD,11256000000,2487000000,1000000000,41000000,559000000,628000000,8769000000,1068000000,None,6573000000,3335000000,3238000000,None,None,41000000,259000000,448000000,4525000000,2669000000,281000000,513000000,1246000000,1323000000,1856000000,825000000,1741000000,1246000000,495000000,1741000000,759000000,613000000,6731000000,3720000000,1281000000,2000000,157000000
2022-06-30,USD,15448000000,2891000000,1289000000,38000000,518000000,642000000,12557000000,1055000000,None,10360000000,3202000000,7158000000,None,None,38000000,404000000,449000000,5004000000,2881000000,282000000,517000000,1245000000,1320000000,2123000000,850000000,1740000000,1245000000,495000000,1740000000,972000000,853000000,10444000000,3718000000,5097000000,2000000,157000000
2022-03-31,USD,15274000000,2755000000,1351000000,1351000000,465000000,None,12519000000,1034000000,None,10322000000,3209000000,7113000000,None,None,65000000,260000000,457000000,4379000000,1490000000,291000000,None,None,571000000,2889000000,875000000,1241000000,499000000,None,2615000000,305000000,845000000,10895000000,3714000000,5632000000,2000000,157000000
2021-12-31,USD,15217000000,2713000000,1232000000,107000000,431000000,648000000,12504000000,1024000000,796000000,10363000000,3250000000,7113000000,None,None,107000000,295000000,445000000,4477000000,1093000000,332000000,531000000,None,71000000,3384000000,774000000,1695000000,0,1695000000,1695000000,358000000,915000000,10740000000,3702000000,5485000000,2000000,157000000
2021-09-30,USD,15063000000,2451000000,1080000000,1080000000,401000000,None,12612000000,1009000000,None,10449000000,3351000000,7098000000,None,None,185000000,181000000,478000000,4470000000,914000000,248000000,None,None,66000000,3556000000,850000000,1687000000,None,None,2537000000,325000000,1085000000,10593000000,3643000000,5372000000,2000000,152000000
2021-06-30,USD,8675000000,5310000000,4196000000,4196000000,380000000,None,3365000000,915000000,None,1128000000,162000000,966000000,None,None,90000000,104000000,756000000,3495000000,874000000,200000000,None,None,53000000,2621000000,757000000,1679000000,None,None,2436000000,312000000,238000000,5180000000,3878000000,5055000000,2000000,146000000
2021-03-31,USD,8755000000,5642000000,4433000000,4433000000,364000000,None,3113000000,915000000,None,1031000000,134000000,897000000,None,None,197000000,131000000,638000000,3833000000,1268000000,178000000,None,None,541000000,2565000000,664000000,1672000000,488000000,None,2877000000,245000000,229000000,4922000000,3872000000,4870000000,2000000,146000000
2020-12-31,USD,7585000000,4483000000,1810000000,1662000000,372000000,487000000,3206000000,922000000,678000000,1039000000,142000000,897000000,1766000000,104000000,1662000000,152000000,609000000,2891000000,1244000000,192000000,416000000,511000000,562000000,1647000000,671000000,1184000000,511000000,673000000,1184000000,236000000,303000000,4694000000,3848000000,4723000000,2000000,146000000
2020-09-30,USD,7404000000,4329000000,1761000000,1563000000,415000000,464000000,3165000000,910000000,None,1046000000,149000000,897000000,1653000000,90000000,1563000000,126000000,555000000,2704000000,1115000000,156000000,350000000,507000000,561000000,1589000000,732000000,666000000,507000000,666000000,1905000000,198000000,245000000,4700000000,3517000000,4466000000,2000000,146000000
2020-06-30,USD,7248000000,4194000000,1770000000,1498000000,435000000,385000000,3133000000,890000000,None,1050000000,156000000,894000000,1577000000,79000000,1498000000,106000000,552000000,2685000000,1115000000,135000000,349000000,503000000,551000000,1570000000,729000000,659000000,503000000,659000000,1891000000,232000000,230000000,4563000000,3389000000,4287000000,2000000,147000000
2020-03-31,USD,7261000000,4324000000,1991000000,1341000000,384000000,472000000,2992000000,890000000,None,962000000,138000000,824000000,1396000000,55000000,1341000000,136000000,435000000,2626000000,1054000000,130000000,361000000,545000000,545000000,1572000000,742000000,652000000,499000000,652000000,1893000000,167000000,224000000,4635000000,3244000000,4240000000,2000000,147000000
2019-12-31,USD,7316000000,4451000000,2042000000,1372000000,359000000,573000000,2918000000,889000000,568000000,969000000,145000000,824000000,1425000000,53000000,1372000000,105000000,388000000,2703000000,665000000,149000000,376000000,45000000,45000000,2038000000,740000000,0,0,1141000000,1881000000,218000000,202000000,4613000000,3021000000,4067000000,2000000,147000000
