fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-09-30,USD,976000000,2644000000,1668000000,1545000000,762000000,73000000,80000000,214000000,27000000,-28000000,27000000,55000000,2644000000,56000000,None,508000000,309000000,96000000,None,218000000,217000000,762000000,872000000,213000000
2022-06-30,USD,1254000000,3085000000,1831000000,1708000000,1059000000,73000000,45000000,195000000,None,-57000000,165000000,57000000,3085000000,-75000000,None,559000000,420000000,33000000,None,379000000,388000000,1059000000,1036000000,387000000
2022-03-31,USD,1480000000,3024000000,1544000000,1435000000,1288000000,64000000,44000000,192000000,None,-62000000,57000000,62000000,3024000000,-109000000,None,547000000,662000000,214000000,None,432000000,569000000,1288000000,1271000000,448000000
2021-12-31,USD,1052000000,3291000000,2239000000,1540000000,434000000,69000000,46000000,639000000,6000000,-60000000,40000000,66000000,3365000000,19000000,None,639000,254000000,300000000,74000000,-61000000,11000000,434000000,-1129361000,-46000000
2021-09-30,USD,1422000000,2912000000,1490000000,1367000000,1218000000,61000000,40000000,197000000,6000000,-60000000,139000000,66000000,2912000000,-71000000,None,570000000,225000000,222000000,0,-8000000,11000000,1218000000,861000000,3000000
2021-06-30,USD,1665000000,3073000000,1408000000,1281000000,1445000000,64000000,37000000,214000000,3000000,-65000000,3000000,68000000,3073000000,50000000,None,561000000,991000000,341000000,0,640000000,657000000,1445000000,1620000000,650000000
2021-03-31,USD,1540000000,2895000000,1355000000,1247000000,1397000000,65000000,31000000,143000000,3000000,-71000000,3000000,74000000,2895000000,-39000000,None,553000000,794000000,235000000,0,538000000,570000000,1397000000,1421000000,559000000
2020-12-31,USD,1673000000,3255000000,1582000000,1355000000,1482000000,64000000,30000000,191000000,3000000,-70000000,3000000,73000000,3316000000,3000000,None,615000000,1082000000,258000000,61000000,806000000,853000000,1482000000,1770000000,824000000
2020-09-30,USD,1763000000,3148000000,1385000000,1269000000,1516000000,68000000,39000000,247000000,4000000,-71000000,36000000,75000000,3148000000,-44000000,None,592000000,1144000000,305000000,0,611000000,841000000,1516000000,1811000000,839000000
2020-06-30,USD,1130000000,2310000000,1180000000,1058000000,912000000,72000000,26000000,218000000,6000000,-72000000,6000000,78000000,2310000000,198000000,None,528000000,508000000,164000000,3000000,412000000,349000000,912000000,1114000000,344000000
2020-03-31,USD,2461000000,2573000000,112000000,1332000000,2854000000,65000000,27000000,-393000000,11000000,-71000000,11000000,82000000,2573000000,-189000000,None,565000000,799000000,-23000000,74000000,837000000,835000000,2854000000,1446000000,822000000
2019-12-31,USD,780000000,2967000000,196000000,22000000,780000000,89000000,48000000,295000000,13000000,-36000000,13000000,36000000,2967000000,163000000,None,28000000,694000000,129000000,36000000,537000000,565000000,730000000,758000000,565000000
2019-09-30,USD,711000000,2714000000,163000000,1392000000,2305000000,84000000,43000000,246000000,10000000,-10000000,37000000,10000000,2724000000,32000000,None,25000000,2736000000,558000000,10000000,2226000000,2170000000,2746000000,2771000000,2178000000
2019-06-30,USD,331000000,2261000000,158000000,1366000000,1796000000,81000000,32000000,307000000,13000000,-69000000,30000000,82000000,2261000000,58000000,None,487000000,-5000000,20000000,0,1000000,-13000000,1796000000,564000000,-25000000
2019-03-31,USD,483000000,1801000000,140000000,44000000,1466000000,59000000,27000000,195000000,21000000,-37000000,18000000,58000000,1801000000,44000000,None,312000000,212000000,125000000,0,113000000,102000000,1466000000,582000000,87000000
2018-12-31,USD,541000000,2048000000,156000000,51000000,541000000,63000000,46000000,147000000,17000000,None,None,54000000,2048000000,-142000000,None,336000000,262000000,260000000,None,-3000000,-36000000,541000000,652000000,2000000
2018-09-30,USD,401000000,1742000000,459000000,-32000000,779000000,59000000,37000000,504000000,15000000,None,None,51000000,1742000000,37000000,None,299000000,-142000000,3000000,None,-161000000,-133000000,779000000,208000000,-145000000
2018-06-30,USD,381000000,1676000000,164000000,54000000,1449000000,63000000,36000000,63000000,13000000,None,None,49000000,1676000000,139000000,None,279000000,310000000,18000000,None,274000000,299000000,1449000000,638000000,292000000
2018-03-31,USD,459000000,1824000000,216000000,122000000,1463000000,59000000,34000000,145000000,11000000,None,None,53000000,1824000000,21000000,None,301000000,297000000,105000000,None,170000000,200000000,1463000000,651000000,192000000
2017-12-31,USD,465000000,1935000000,237000000,98000000,487000000,66000000,44000000,193000000,9000000,None,None,54000000,1935000000,22000000,None,321000000,235000000,777000000,None,-549000000,-542000000,487000000,624000000,-542000000
