fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-09-30,USD,3314570000,2228362000,317163000,317163000,1471000,30064000,549266000,383860000,307400000,106882000,54993000,51889000,2066278000,None,None,1879664000,58524000,2238190000,1897755000,10211000,228022000,None,None,340435000,None,29000000,None,29000000,29000000,1867998000,77602000,1076380000,587751000,1117017000,625000,57867000
2022-06-30,USD,4891703000,3847992000,279039000,279039000,1647000,20298000,531754000,374940000,284816000,107858000,55969000,51889000,3702220000,None,None,3547008000,48956000,3897564000,3568472000,13475000,217760000,None,None,329092000,None,29000000,None,29000000,29000000,3537077000,73850000,994139000,587527000,1064864000,625000,57864000
2022-03-31,USD,5444574000,4434296000,360594000,360594000,732000,17945000,516748000,362505000,263278000,108888000,56999000,51889000,4304957000,None,None,4055025000,45355000,4435554000,4112531000,12192000,209632000,1775000,1775000,323023000,None,28720000,1775000,26945000,28720000,4058249000,73628000,1009020000,488300000,1007509000,623000,58015000
2021-12-31,USD,3215145000,2252038000,277978000,277978000,1131000,25903000,531096000,348953000,242652000,109917000,58028000,51889000,2124551000,None,None,1947026000,42385000,2321431000,1990410000,5772000,202852000,1775000,1775000,331021000,None,29155000,1775000,27380000,29155000,1966586000,72988000,893714000,488082000,915579000,623000,58012000
2021-09-30,USD,4218038000,3313182000,230926000,230926000,866000,23215000,474095000,329296000,224713000,110946000,59057000,51889000,None,None,None,3058175000,33853000,3392697000,3086273000,9441000,195754000,1775000,1775000,306424000,None,29590000,1775000,27815000,29590000,3058882000,71679000,825341000,483652000,866892000,622000,57997000
2021-06-30,USD,3233087000,2356522000,202362000,202362000,882000,27902000,465865000,320997000,208424000,111976000,60087000,51889000,None,None,None,2125376000,32892000,2440831000,2145208000,9220000,184916000,1775000,1775000,295623000,None,30025000,1775000,28250000,30025000,2119267000,70778000,792256000,454857000,836513000,621000,57918000
2021-03-31,USD,3406773000,2624207000,215093000,215093000,1088000,19792000,387699000,301579000,192786000,51889000,None,51889000,None,None,None,2388234000,34231000,2661297000,2425574000,12133000,177986000,1775000,1775000,235723000,None,30459000,1775000,28684000,30459000,2397475000,16901000,745476000,422879000,784235000,618000,57741000
2020-12-31,USD,2607912000,1864605000,151710000,151710000,1151000,19577000,372280000,285218000,178111000,52208000,319000,51889000,None,None,None,1692167000,34524000,1952269000,1718030000,6787000,173652000,1775000,1775000,234239000,None,30894000,1775000,29119000,30894000,1695901000,19263000,655643000,422502000,719619000,618000,57739000
2020-09-30,USD,2485199000,1778316000,156398000,156398000,924000,21635000,364820000,275624000,163865000,52262000,373000,51889000,None,None,None,1599359000,36934000,1852800000,1627801000,9237000,170774000,1775000,1775000,224999000,None,31329000,1775000,29554000,31329000,1602902000,21524000,632399000,385790000,695252000,616000,57605000
2020-06-30,USD,1921500000,1240058000,113518000,113518000,1376000,13619000,353488000,266831000,150135000,52315000,426000,51889000,None,None,None,1111545000,34342000,1335647000,1117251000,3667000,161774000,1775000,1775000,218396000,None,31764000,1775000,29989000,31764000,1099536000,21257000,585853000,382941000,667770000,616000,57588000
2020-03-31,USD,2309725000,1651561000,181827000,181827000,930000,8059000,341875000,254423000,137114000,52368000,479000,51889000,None,None,None,1460745000,35084000,1709937000,1497915000,5694000,156910000,1775000,1775000,212022000,None,32198000,1775000,30423000,32198000,1478786000,22195000,599788000,315820000,639181000,614000,57622000
2019-12-31,USD,2486917000,1871100000,133667000,133667000,1158000,13318000,351326000,238458000,124950000,52432000,532000,51889000,None,None,None,1722957000,33336000,1960289000,1753522000,5051000,152488000,12075000,1775000,206767000,None,32633000,1775000,30858000,32633000,1735591000,19553000,526628000,307652000,576166000,613000,57660000
2019-09-30,USD,1592027000,1012975000,108127000,108127000,700000,12121000,332155000,224035000,113437000,52475000,586000,51889000,None,None,None,892027000,30345000,1117129000,918478000,4693000,146730000,11375000,1775000,198651000,None,33068000,1775000,31293000,33068000,901376000,18706000,474898000,307353000,530786000,612000,57657000
2019-06-30,USD,1826192000,1287986000,94814000,94814000,767000,13465000,305115000,196371000,102521000,52539000,639000,51900000,None,None,None,1178940000,30705000,1391430000,1201278000,3622000,140008000,11075000,1775000,190152000,None,33502000,1775000,31727000,33502000,1185799000,18861000,434762000,303553000,491634000,612000,57629000
2019-03-31,USD,2062828000,1549484000,91307000,91307000,910000,3835000,266901000,187511000,92247000,52581000,692000,51889000,None,None,None,1453432000,26809000,1664275000,1483710000,4081000,67511000,1775000,1775000,180565000,None,33954000,1775000,32179000,33954000,1468182000,16619000,398553000,284793000,442872000,609000,57447346
2018-12-31,USD,1521926000,1064622000,45718000,45718000,797000,7376000,231845000,176962000,82969000,52634000,745000,51889000,None,None,None,1010731000,2994000,1187173000,1028682000,6288000,129302000,1775000,1775000,158491000,None,34389000,1775000,32614000,34389000,1011639000,None,334753000,265124000,395590000,607000,57276992
