fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-09-30,USD,1110800000,4600900000,3490100000,None,1110800000,None,None,1111500000,None,None,None,None,2751200000,None,None,None,1734200000,348700000,None,706400000,-1055000000,1110800000,1734200000,1385500000
2022-06-30,USD,3862100000,6658700000,2796600000,None,3862100000,None,None,2761600000,None,None,None,None,4413700000,None,None,None,3881900000,822500000,None,2811700000,-781900000,3862100000,3881900000,3059400000
2022-03-31,USD,145500000,3110000000,2964500000,None,145500000,None,None,2682000000,None,None,None,None,869100000,None,None,None,423500000,47300000,None,-12300000,-3155300000,145500000,423500000,376200000
2021-12-31,USD,-708300000,4091100000,4799400000,None,-917300000,None,None,4987300000,None,None,None,None,1557700000,None,None,275300000,575600000,103800000,None,-1092000000,463500000,-917300000,575600000,471800000
2021-09-30,USD,-142900000,3423700000,3566600000,None,-142900000,1196500000,None,1196000000,None,None,None,None,1042100000,None,None,None,423700000,63800000,None,-358700000,175300000,-142900000,423700000,359900000
2021-06-30,USD,-107600000,3539400000,3647000000,None,-107600000,1265100000,None,1265000000,None,None,None,None,1218100000,None,None,None,422800000,61000000,None,-209700000,1211800000,-107600000,422800000,361800000
2021-03-31,USD,444900000,3208500000,2763600000,-1374700000,444900000,1201700000,None,1201000000,None,None,None,None,942900000,151400000,None,None,614700000,97600000,None,498700000,-912200000,444900000,614700000,517100000
2020-12-31,USD,3765100000,3765100000,4569400000,-1981700000,3765100000,1161800000,None,3174000000,None,None,None,None,1506900000,133100000,None,251000,572700000,100100000,None,3765100000,1108600000,3765100000,572700000,472600000
2020-09-30,USD,-400200000,3310700000,3710900000,-1839800000,-400200000,1165900000,None,1165000,None,None,None,None,1190600000,65500000,None,None,275200000,39200000,None,-373900000,532400000,-400200000,275200000,236000000
2020-06-30,USD,-121100000,3114600000,3235700000,-1601300000,-121100000,983300000,None,2616000000,None,None,None,None,990500000,-27400000,None,None,480800000,82500000,None,-231000000,2448200000,-121100000,480800000,398300000
2020-03-31,USD,-1207900000,4551300000,5759200000,-2858700000,-1207900000,1335500000,None,4223000000,None,None,None,None,2537800000,131400000,None,None,332100000,43200000,None,-1119700000,-1348200000,-1207900000,332100000,288900000
2019-12-31,USD,4047200000,4047200000,5378300000,2453300000,4047200000,1222600000,None,156000000,None,-200000,200000,200000,1793300000,None,None,156000000,356900000,56000000,200000,4047200000,31700000,357100000,513100000,300900000
2019-09-30,USD,-1255900000,4458400000,5714300000,2870400000,-1259700000,1242300000,None,3800000,None,-300000,300000,300000,2275900000,None,None,3800000,338200000,61100000,300000,-1363200000,936500000,338500000,342300000,277100000
2019-06-30,USD,-952900000,3972600000,4925500000,2476000000,-956400000,1046300000,None,3500000,None,-200000,200000,200000,1953200000,None,None,3500000,444500000,58200000,200000,-1018600000,1452900000,444700000,448200000,386300000
2019-03-31,USD,-676000000,3743900000,4419900000,-2195100000,-676000000,992700000,None,3500000,None,-300000,None,300000,1742000000,84500000,None,3500000,503800000,73900000,300000,-665400000,1576100000,504100000,507600000,429900000
2018-12-31,USD,3770600000,3770600000,5340000000,-2440100000,3770600000,1056600000,None,3528000000,None,None,None,36800000,1953200000,-112200000,None,53200000,247700000,11200000,None,3770600000,19000000,3770600000,300900000,236500000
2018-09-30,USD,-966600000,4348100000,5314700000,-2642100000,-966600000,1105000000,None,3779000000,None,None,None,36800000,2208200000,-5500000,None,50700000,565400000,109100000,None,-1081200000,248200000,-966600000,616100000,456300000
2018-06-30,USD,-191100000,3234900000,3426000000,-1699200000,-191100000,990100000,None,2720000000,None,None,None,36700000,2244700000,67400000,None,50600000,512500000,55900000,None,-179600000,-212000000,-191100000,563100000,456600000
2018-03-31,USD,31100000,2883600000,2852500000,-1411100000,31100000,985000000,None,2427000000,None,None,None,39500000,2015900000,-25100000,None,50600000,451600000,54500000,None,-48500000,-339900000,31100000,502200000,397100000
2017-12-31,USD,3237700000,3237700000,3868800000,-1801900000,3237700000,1089100000,None,2923000000,None,None,None,37100000,2390800000,-39900000,None,50900000,313700000,-528100000,None,3237700000,960300000,3237700000,364600000,841800000
