fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-09-30,USD,8873800000,3229900000,566000000,606600000,1212100000,1094000000,5644400000,1604800000,2506300000,3621400000,1444700000,2176700000,41600000,1000000,40600000,337500000,141500000,3404800000,1226900000,274200000,None,499200000,499200000,627700000,225400000,1689900000,499200000,None,2189100000,339200000,67600000,5469000000,0,5421900000,40000000,160200000
2022-06-30,USD,8694600000,2908000000,643000000,643000000,1102000000,785600000,5786600000,1607400000,2441700000,3718500000,1541800000,2176700000,None,3000000,16200000,361200000,147900000,3400000000,1226100000,319900000,None,498800000,523300000,2173900000,214000000,1689400000,498800000,1346800000,2402200000,298400000,67200000,5294600000,893400000,5885100000,40100000,160700000
2022-03-31,USD,8511600000,2775500000,656400000,656400000,928200000,798100000,5736100000,1578400000,2387100000,3742500000,1565700000,2176800000,None,3400000,118400000,274400000,96200000,3323000000,696600000,296300000,None,None,19200000,2626400000,218100000,2187300000,None,1401400000,2405400000,278400000,30900000,5188600000,772700000,5707800000,40400000,161700000
2021-12-31,USD,8618500000,2863400000,876400000,1013400000,838500000,774000000,5755100000,1547600000,2300900000,3808300000,1631600000,2176700000,140500000,3500000,137000000,237500000,101000000,3284300000,681900000,279400000,None,None,29700000,415900000,196800000,2186500000,None,1502400000,2186500000,312600000,29700000,5334200000,351200000,5493200000,41100000,164500000
2021-09-30,USD,8590700000,2865400000,882900000,1020100000,885000000,756200000,5725300000,1501600000,2208400000,3875300000,1698600000,2176700000,144300000,7100000,137200000,204100000,55700000,3293600000,658500000,236000000,None,0,33000000,399500000,177500000,2235600000,None,1523100000,2235600000,287200000,32200000,5297100000,1700000,5185800000,41300000,165300000
2021-06-30,USD,7486200000,4521900000,2845000000,2845000000,808700000,570500000,2964300000,1452200000,2140500000,1224500000,34700000,1189800000,None,3900000,129200000,168500000,63100000,2483400000,578300000,319500000,None,None,31500000,1905100000,174200000,1487100000,None,1521700000,1661300000,150300000,31500000,5002800000,100000,4952100000,41300000,165100000
2021-03-31,USD,5734400000,2804700000,1059900000,1059900000,739800000,499000000,2929700000,1396600000,2065800000,1228900000,39100000,1189800000,None,4000000,359700000,146300000,73200000,1022100000,538400000,276200000,None,None,31300000,483700000,179600000,None,None,None,179600000,159300000,31200000,4712300000,4340500000,5489100000,41300000,165100000
2020-12-31,USD,5419800000,2575200000,617200000,617200000,718500000,689900000,2844600000,1305400000,1997200000,1236200000,46400000,1189800000,None,700000,401400000,148200000,73500000,1004900000,507600000,264600000,None,None,None,497300000,154900000,None,None,None,154900000,158000000,31800000,4414900000,4336900000,5246700000,41200000,164900000
2020-09-30,USD,5106700000,2317600000,566700000,974800000,806000000,358500000,2789100000,1249500000,1930400000,1243300000,53500000,1189800000,413300000,5200000,408100000,178400000,67900000,942500000,448400000,226900000,None,28200000,None,494100000,150700000,0,28200000,None,0,108000000,32100000,4164200000,4093500000,4820400000,41400000,165600000
2020-06-30,USD,5072400000,2337400000,791300000,1138300000,698200000,346100000,2735000000,1206900000,1876500000,1252700000,62900000,1189800000,371100000,24100000,347000000,154800000,36000000,890000000,401100000,200900000,None,24000000,None,488900000,155800000,None,24000000,None,155800000,105600000,32500000,4182400000,3860300000,4657000000,41800000,167100000
