fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-09-30,USD,36821000000,9630000000,1031000000,1031000000,5514000000,None,27191000000,8685000000,9208000000,16765000000,6252000000,10513000000,None,None,None,508000000,1741000000,17119000000,5313000000,2483000000,None,459000000,459000000,11697000000,None,7862000000,459000000,None,8321000000,2371000000,1377000000,19702000000,4683000000,20084000000,45000000,357000000
2022-06-30,USD,36245000000,9303000000,1056000000,1056000000,5332000000,None,26942000000,8393000000,9138000000,16856000000,6325000000,10531000000,None,None,None,397000000,1693000000,16890000000,4682000000,2306000000,None,67000000,67000000,12074000000,None,8261000000,67000000,None,8328000000,2309000000,1474000000,19355000000,4679000000,19708000000,45000000,359000000
2022-03-31,USD,35898000000,8997000000,1151000000,1151000000,4990000000,None,26901000000,8193000000,9016000000,16945000000,6397000000,10548000000,None,None,None,448000000,1763000000,16884000000,4657000000,2269000000,None,79000000,79000000,12085000000,None,8270000000,79000000,None,8349000000,2309000000,1518000000,19014000000,4516000000,19119000000,45000000,361000000
2021-12-31,USD,36824000000,10136000000,2956000000,2956000000,4454000000,None,26688000000,8012000000,8864000000,17009000000,6459000000,10550000000,None,None,None,635000000,1667000000,18421000000,6034000000,2115000000,None,1090000000,1090000000,12248000000,None,8274000000,1090000000,None,9364000000,2829000000,1700000000,18403000000,4394000000,18453000000,45000000,362000000
2021-09-30,USD,36309000000,9822000000,2507000000,2507000000,4382000000,2400000000,26487000000,7837000000,8679000000,17068000000,6519000000,10549000000,350000000,350000000,None,533000000,1582000000,18586000000,6325000000,2225000000,None,1067000000,1067000000,12130000000,None,120000000,1067000000,None,120000000,3033000000,1654000000,17723000000,4138000000,17502000000,45000000,363000000
2021-06-30,USD,35663000000,9208000000,1613000000,1613000000,4262000000,None,26455000000,7725000000,8558000000,17141000000,6587000000,10554000000,None,None,None,1009000000,1589000000,19102000000,6184000000,1950000000,None,1566000000,1566000000,12786000000,None,8786000000,1566000000,None,10352000000,2668000000,1692000000,16561000000,4128000000,16305000000,45000000,363000000
2021-03-31,USD,34474000000,8014000000,877000000,877000000,4128000000,None,26460000000,7661000000,8357000000,17204000000,6649000000,10555000000,None,None,None,896000000,1595000000,18543000000,4612000000,1900000000,None,580000000,580000000,13792000000,None,9784000000,580000000,None,10364000000,2132000000,1668000000,15931000000,4123000000,15716000000,45000000,363000000
2020-12-31,USD,35458000000,8544000000,2406000000,2406000000,3915000000,None,25296000000,7664000000,8189000000,17632000000,6719000000,10913000000,None,None,None,323000000,1618000000,19820000000,4849000000,1997000000,None,566000000,566000000,10791000000,None,10791000000,566000000,None,11357000000,2286000000,1706000000,15638000000,4115000000,15399000000,45000000,363000000
2020-09-30,USD,34456000000,7598000000,1420000000,1420000000,3859000000,1952000000,26858000000,7596000000,7985000000,17673000000,6774000000,10899000000,287000000,287000000,None,367000000,1589000000,19202000000,4234000000,1876000000,None,548000000,548000000,14836000000,None,111000000,548000000,None,111000000,1810000000,1728000000,15254000000,4145000000,15100000000,45000000,363000000
2020-06-30,USD,34323000000,7464000000,1365000000,1365000000,3680000000,2064000000,27399000000,7515000000,7865000000,17732000000,6842000000,10890000000,None,None,None,355000000,1612000000,19638000000,4273000000,1743000000,None,750000000,750000000,15654000000,None,122000000,750000000,None,122000000,1780000000,1632000000,14685000000,4139000000,14596000000,45000000,362000000
