fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-09-30,USD,24300411000,145146000,145146000,145146000,None,None,4400396000,2679395000,None,1394485000,351196000,1043289000,21856861000,547766000,529317000,149942000,None,13609704000,377400000,None,None,377400000,377400000,40700000,191880000,12185239000,408457000,None,12210984000,102154000,201371000,10361359000,547000,-5223902000,99914000,399646000
2022-06-30,USD,24628155000,127073000,127073000,127073000,None,None,4458560000,2695819000,None,1435693000,391184000,1044509000,22284516000,533705000,529630000,-448904000,None,13742219000,335300000,None,None,335300000,335300000,46613000,194241000,12299975000,380894000,None,12328140000,110290000,200112000,10512596000,408000,-5044569000,99913000,399592000
2022-03-31,USD,24950107000,149599000,149599000,149599000,None,None,4534273000,2728370000,None,1476072000,430409000,1045663000,22539878000,541914000,530388000,76079000,None,13843732000,636948000,None,None,636948000,636948000,52800000,195668000,12383162000,682985000,None,12413743000,101975000,204079000,10697406000,0,-4821653000,99888000,399297000
2021-12-31,USD,24717786000,149700000,149725000,149700000,None,None,4536391000,2701380000,None,1506001000,459861000,1046140000,22876951000,22870429000,530126000,-454855000,None,13491743000,280000000,None,None,280000000,280000000,59259000,197234000,12027544000,336448000,None,12027544000,117452000,12235628000,10854385000,0,-4679889000,99838000,399327000
2021-09-30,USD,25044424000,143770000,143770000,143770000,None,None,4561824000,2694733000,None,1531645000,485575000,1046070000,22300638000,507880000,41440000,369521000,None,13596935000,370000000,None,None,370000000,370000000,65196000,199551000,12043519000,419141000,None,12078835000,110531000,220069000,11076716000,40000,-4459630000,99777000,381996000
2021-06-30,USD,23504314000,233800000,233800000,233800000,None,None,4203544000,2520746000,None,1342605000,290773000,1051832000,20839319000,567304000,255962000,130933000,None,13267748000,170000000,None,None,170000000,170000000,68097000,205484000,11750560000,260232000,None,11761545000,110451000,210052000,9882699000,320000,-4340052000,93784000,375067000
2021-03-31,USD,23552263000,169661000,169661000,169661000,None,None,4260885000,2546320000,None,1359883000,308103000,1051780000,21010552000,471243000,276951000,100411000,None,13236024000,215000000,None,None,215000000,215000000,65777000,206426000,11747456000,414080000,None,11759299000,95243000,210279000,9970155000,789000,-4257001000,93750000,374669000
2020-12-31,USD,23929404000,413327000,413327000,413327000,None,None,4260466000,2527163000,None,1376944000,325294000,1051650000,21836845000,21599290000,237553000,47921000,None,13415723000,1441249000,None,None,None,0,62638000,209917000,11895412000,193493000,None,11895412000,114690000,12108575000,10180167000,0,-4030376000,93635000,374481000
2020-09-30,USD,24220483000,600000000,600000000,600000000,None,None,4611926000,2835635000,None,1389041000,338299000,1050742000,21141272000,254945000,231168000,55895000,None,13683633000,1540817000,None,None,None,0,53711000,247255000,12033911000,206069000,None,12047919000,99815000,249242000,10196852000,1275000,-3972647000,93467000,373177000
2020-06-30,USD,24589388000,1000000000,1000000000,1000000000,None,None,4543982000,2752869000,None,1401507000,351392000,1050115000,21280118000,166039000,220630000,118129000,None,13957558000,1866008000,None,None,None,0,56964000,248912000,12515092000,744362000,None,12530036000,123460000,254685000,10311212000,947000,-3816460000,93261000,372982000
2020-03-31,USD,26617828000,2848115000,2848115000,2848115000,None,None,4606453000,2749714000,None,1417336000,367199000,1050137000,21323721000,165745000,189024000,113183000,None,15703730000,4274147000,None,None,None,0,47533000,250357000,14154304000,3040586000,None,14172279000,92252000,255364000,10632942000,867000,-3491696000,93256000,372829000
2019-12-31,USD,24692208000,106363000,106363000,106363000,None,None,4650411000,2745283000,None,1472408000,421247000,1051161000,22012207000,0,237360000,131172000,None,13873078000,567450000,None,None,567450000,567450000,200831000,251196000,12158773000,848729000,None,12158773000,116578000,256659000,10445892000,132000,-3669050000,93185000,372736000
2019-09-30,USD,24803553000,148100000,148100000,148100000,None,None,4593392000,2713590000,None,1491322000,441337000,1049985000,22207352000,0,227947000,65053000,None,13730852000,305000000,None,None,305000000,305000000,147500000,249237000,12032081000,1431896000,None,12053184000,86745000,250768000,10665706000,210000,-3384421000,93164000,372426000
2019-06-30,USD,22988911000,81987000,81987000,81987000,None,None,4328062000,2514959000,None,1438784000,388314000,1050470000,20515506000,0,230618000,58063000,None,11889887000,270000000,None,None,270000000,270000000,149454000,233757000,20593782000,None,None,20863782000,112604000,10491065000,10820011000,None,-3173287000,92852000,361722000
2019-03-31,USD,22668097000,82514000,82514000,82514000,None,None,3907157000,2451859000,None,1455298000,404422000,1050876000,20397323000,0,None,63695000,None,12255698000,195000000,None,None,195000000,195000000,10963900000,214046000,21469770000,None,None,21664770000,82713000,10905169000,10149663000,None,-3088401000,89579000,356853000
2018-12-31,USD,22584555000,72277000,72277000,72277000,None,None,4204895000,2536740000,None,1668155000,617607000,1050548000,20850358000,0,None,64641000,None,12124820000,2042309000,None,None,None,0,205219000,None,10733699000,None,None,10733699000,99872000,205000,10215857000,0,-2930214000,89125000,356388000
2018-09-30,USD,22597953000,86107000,86107000,86107000,None,None,4194924000,2510942000,None,1683982000,638105000,1045877000,20815125000,0,62440000,86620000,None,11941642000,1804730000,None,None,None,578159000,10280154000,None,10478455000,None,None,10478455000,91673000,14790000,10452839000,345000,-2709293000,89100000,356318000
2018-06-30,USD,22699134000,93684000,93684000,93684000,None,None,4227097000,2532544000,None,1694553000,660279000,1034274000,20967473000,0,203760000,79986000,None,11871748000,1567067000,None,None,None,339157000,240941000,None,10402897000,10402897000,None,10402897000,94008000,896000,10616948000,573000,-2529102000,89085000,356228000
